Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.86,58,478,1307,492,186,96,127,70,27,1644,0
77.05,58,478,1300,488,185,96,127,69,27,1642,0
77.24,58,477,1292,484,184,95,127,69,27,1639,0
77.44,57,477,1286,480,182,95,126,69,27,1635,0
77.64,57,476,1279,476,181,94,126,69,27,1632,0
77.84,57,475,1272,471,179,94,126,68,27,1630,0
78.06,57,475,1264,467,178,93,125,68,27,1627,0
78.27,57,474,1257,462,177,92,125,68,26,1624,0
78.49,57,474,1249,458,175,92,125,67,26,1620,0
78.7,56,473,1242,453,174,91,124,67,26,1618,0
78.9,56,473,1234,449,172,91,124,67,26,1614,0
79.11,56,472,1227,444,171,90,124,67,26,1611,0
79.32,56,472,1219,440,169,90,123,66,26,1608,0
79.54,56,471,1212,435,168,89,123,66,26,1605,0
79.75,55,470,1203,430,166,88,123,66,25,1603,0
79.96,55,470,1195,425,165,88,122,65,25,1599,0
80.15,56,434,1198,427,166,88,120,66,25,1600,0
80.33,55,434,1187,420,164,87,120,65,25,1596,0
80.54,55,434,1174,412,161,86,119,65,25,1593,0
80.76,55,433,1159,403,158,85,119,64,25,1588,0
80.98,55,433,1142,392,155,84,118,64,24,1581,0
81.19,54,432,1123,380,151,83,117,63,24,1572,0
81.39,54,430,1102,367,147,81,116,62,24,1563,0
81.6,53,429,1082,356,143,80,115,61,23,1553,0
81.79,53,429,1060,342,139,78,114,61,23,1542,0
81.99,52,427,1039,327,134,76,113,60,22,1533,0
82.2,52,426,1014,312,129,74,112,59,22,1521,0
82.42,51,425,989,297,124,72,111,58,21,1509,0
82.65,51,424,963,281,119,70,109,57,21,1498,0
82.86,50,422,938,265,114,68,108,56,21,1486,0
83.06,50,421,913,250,109,67,107,55,20,1475,0
83.25,49,420,889,235,104,65,106,54,20,1465,0
83.44,49,419,867,222,100,63,105,53,19,1455,0
83.64,48,418,846,210,96,62,104,52,19,1445,0
83.86,48,416,829,199,92,60,103,52,19,1436,0
84.08,47,415,815,190,89,59,102,51,18,1431,0
84.29,47,415,802,182,87,58,102,51,18,1424,0
84.49,47,414,790,175,84,57,101,50,18,1420,0
84.69,47,413,779,168,82,57,100,50,18,1415,0
84.89,46,413,769,162,80,56,100,49,18,1409,0
85.11,46,412,759,156,78,55,99,49,17,1406,0
85.36,46,411,751,151,76,54,99,49,17,1401,0
85.59,46,411,742,145,74,54,99,48,17,1396,0
85.81,46,410,732,139,73,53,98,48,17,1394,0
86.0,45,409,723,134,71,52,97,48,17,1389,0
86.19,45,408,713,128,69,51,97,47,17,1383,0
86.37,45,408,704,123,67,51,96,47,16,1379,0
86.57,45,407,694,117,65,50,96,47,16,1374,0
86.79,44,406,684,111,63,49,95,46,16,1369,0
87.02,44,405,674,104,61,48,95,46,16,1364,0
87.25,44,404,664,98,59,47,95,45,16,1359,0
87.45,44,403,655,93,57,47,94,45,16,1354,0
87.64,43,403,646,87,55,46,94,45,15,1348,0
87.84,43,402,637,82,53,45,93,44,15,1342,0
88.04,43,401,629,77,52,45,93,44,15,1338,0
88.25,43,400,622,72,50,44,92,44,15,1335,0
88.48,43,399,615,68,49,44,92,43,15,1332,0
88.71,43,399,609,65,48,43,92,43,15,1329,0
88.92,42,399,605,63,47,43,92,43,15,1329,0
89.13,42,399,602,61,46,43,92,43,15,1329,0
89.32,42,399,600,59,46,43,92,43,15,1330,0
89.54,42,398,598,59,45,42,92,43,15,1331,0
89.74,42,398,597,58,45,42,92,43,15,1331,0
89.94,42,398,596,58,45,42,92,43,15,1329,0
90.15,42,397,595,57,45,42,92,43,15,1329,0
90.37,42,397,595,57,45,42,92,43,15,1330,0
90.58,42,397,595,57,45,42,92,43,15,1331,0
90.81,42,396,594,57,45,42,92,42,15,1335,0
91.03,42,395,593,56,44,42,92,42,15,1340,0
91.24,42,395,593,56,44,42,92,42,14,1340,0
91.43,43,395,592,56,44,42,92,42,15,1339,0
91.62,43,395,592,56,44,42,92,42,14,1338,0
91.82,42,395,591,56,44,42,92,42,15,1337,0
92.03,42,394,591,56,44,42,92,42,14,1337,0
92.25,42,395,590,55,44,42,92,42,14,1337,0
92.47,42,395,590,55,44,42,92,42,14,1338,0
92.7,42,395,589,55,44,42,92,42,14,1337,0
92.93,42,395,590,55,44,42,92,42,14,1332,0
93.14,42,396,590,55,44,42,92,42,15,1341,0
93.34,43,396,589,55,44,42,92,42,15,1342,0
93.52,42,396,588,55,44,42,92,42,15,1341,0
93.71,42,396,588,54,43,42,92,42,15,1342,0
93.91,42,396,587,54,43,42,92,42,15,1343,0
94.12,42,396,586,54,43,41,92,42,15,1344,0
94.35,42,395,586,54,43,41,92,42,15,1345,0
