Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.19,31,331,656,197,93,57,84,49,20,1328,1
55.36,30,324,633,177,87,54,82,47,19,1289,1
55.35,30,321,635,180,88,54,81,47,19,1275,1
55.36,30,319,636,180,88,54,81,47,19,1272,1
55.26,30,317,635,179,87,53,80,47,18,1265,1
55.29,30,317,635,178,87,53,80,47,18,1264,1
55.29,30,315,630,175,86,53,79,47,18,1254,1
55.29,30,313,629,174,85,52,79,47,18,1252,1
55.28,30,313,630,174,85,52,79,47,18,1248,1
55.28,30,313,628,173,84,52,79,47,18,1245,1
55.26,30,313,626,172,84,52,78,47,18,1241,1
55.29,30,311,625,171,84,52,78,46,18,1232,1
55.29,30,311,626,172,84,52,78,46,18,1231,1
55.28,30,311,624,169,83,51,78,46,18,1226,1
55.26,30,311,625,170,84,51,78,46,18,1226,1
55.29,30,309,621,167,83,51,77,46,18,1215,1
55.27,30,310,624,169,84,51,77,46,18,1222,1
55.29,30,310,623,169,84,51,77,46,18,1222,1
55.3,30,307,622,169,83,51,77,46,18,1220,1
55.28,30,308,621,168,83,51,77,46,18,1221,1
55.31,30,308,621,168,83,51,77,46,18,1218,1
55.3,30,308,621,168,83,51,77,46,18,1215,1
55.29,29,307,619,167,82,50,77,46,17,1208,1
55.28,30,307,621,167,82,51,77,46,17,1211,1
55.3,30,307,622,168,82,51,77,46,18,1215,1
55.33,30,307,622,168,83,51,77,46,17,1212,1
55.31,30,306,622,168,83,51,77,46,17,1211,1
55.28,30,307,623,168,82,51,77,46,17,1214,1
55.3,30,309,627,170,84,51,77,46,18,1222,1
55.29,30,308,630,171,84,51,77,46,18,1222,1
55.27,30,307,638,176,85,51,78,46,18,1227,1
55.3,30,308,651,184,87,52,78,47,18,1233,1
55.34,31,309,673,197,91,54,79,48,18,1243,1
55.31,31,310,707,217,97,56,80,49,19,1254,1
55.31,32,313,752,244,106,59,82,50,20,1279,1
55.3,34,317,810,279,118,63,85,52,21,1303,1
55.28,35,320,885,324,132,69,88,55,22,1338,1
55.3,37,326,978,381,151,75,92,58,24,1386,1
55.32,40,332,1092,448,173,83,95,62,26,1435,1
55.31,42,338,1211,519,196,92,100,66,28,1493,1
55.29,45,345,1332,593,220,100,106,71,30,1550,1
55.3,48,351,1459,667,244,109,111,75,33,1608,1
55.31,50,357,1586,743,269,117,116,79,35,1666,1
55.29,53,362,1707,816,292,125,121,84,37,1722,1
55.32,56,369,1835,892,317,134,127,88,40,1782,1
