Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.24,63,941,1092,175,101,78,143,91,22,1589,0
55.36,62,929,1070,161,96,75,142,90,22,1585,0
55.38,63,924,1082,164,98,76,144,90,22,1609,0
55.32,62,918,1072,164,97,76,143,89,22,1595,0
55.36,62,909,1068,167,98,76,142,89,22,1598,0
55.35,62,902,1065,164,97,76,140,88,22,1577,0
55.28,61,893,1052,162,95,74,139,87,21,1552,0
55.36,61,892,1054,163,95,74,139,87,21,1558,0
55.37,61,887,1052,163,95,74,139,87,21,1559,0
55.37,61,883,1055,162,95,74,138,87,21,1558,0
55.33,61,879,1050,162,94,74,138,86,21,1551,0
55.33,61,876,1049,161,94,74,138,86,21,1551,0
55.36,61,875,1046,160,94,74,138,86,21,1552,0
55.36,61,868,1045,161,95,74,138,86,21,1549,0
55.39,61,873,1047,162,95,74,138,87,21,1551,0
55.38,61,871,1043,161,94,74,138,86,21,1543,0
55.35,60,866,1039,160,94,73,138,86,21,1540,0
55.38,60,868,1039,160,93,73,137,86,21,1546,0
55.34,60,867,1039,161,94,73,137,86,21,1538,0
55.33,60,866,1035,158,93,73,137,85,21,1534,0
55.35,60,866,1034,157,92,73,137,85,21,1532,0
55.32,60,852,1024,156,91,72,136,84,21,1515,0
55.32,60,853,1025,157,92,72,136,84,21,1517,0
55.34,60,849,1023,158,92,72,135,84,21,1520,0
55.32,60,846,1021,157,92,72,135,84,21,1518,0
55.32,60,848,1022,158,92,72,136,84,21,1511,0
55.32,60,845,1028,158,93,72,136,83,21,1572,0
55.33,60,845,1029,159,93,72,136,84,21,1576,0
55.33,60,845,1028,158,93,72,136,84,21,1564,0
55.32,60,847,1031,159,93,72,136,84,21,1571,0
55.32,61,858,1039,161,94,73,138,85,22,1607,0
55.31,60,848,1037,162,95,73,137,84,21,1581,0
55.36,60,846,1045,168,96,73,136,84,21,1558,0
55.33,60,843,1051,173,97,73,136,84,21,1545,0
55.31,60,840,1065,183,100,74,136,84,22,1555,0
55.36,61,842,1098,202,106,77,138,86,22,1566,0
55.33,62,841,1144,230,115,80,140,87,23,1601,0
55.36,64,848,1212,269,127,85,143,90,25,1644,0
55.36,66,850,1291,314,141,91,146,93,26,1692,0
55.34,68,852,1396,374,160,98,151,96,28,1737,0
55.32,70,858,1507,437,180,106,155,100,31,1796,0
55.32,73,860,1632,509,202,115,160,105,33,1861,0
55.31,75,865,1773,588,227,124,165,109,35,1928,0
55.33,78,869,1908,664,251,133,171,114,39,1999,0
55.33,81,877,2054,741,277,143,177,119,40,2080,0
