Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.28,39,403,472,202,105,96,105,76,25,1533,0
55.36,39,406,488,209,109,99,106,78,25,1511,0
55.37,39,406,499,214,110,101,106,79,25,1503,0
55.38,39,399,499,217,111,102,106,79,25,1489,0
55.4,38,395,488,212,109,102,105,79,24,1468,0
55.37,38,392,494,216,111,102,105,79,24,1453,0
55.34,38,390,491,214,110,102,105,79,24,1441,0
55.37,38,393,482,207,108,102,104,78,24,1434,0
55.35,38,392,483,208,108,102,104,79,24,1428,0
55.36,38,392,482,207,108,102,104,79,24,1426,0
55.36,38,393,483,207,107,102,104,79,23,1424,0
55.36,38,394,487,209,108,103,104,79,24,1422,0
55.36,38,395,484,207,107,102,103,79,23,1421,0
55.36,38,396,483,206,106,102,103,79,23,1420,0
55.36,38,398,480,204,106,102,103,79,23,1419,0
55.35,38,397,482,205,106,103,103,79,23,1414,0
55.38,38,398,482,204,106,102,103,79,23,1413,0
55.38,38,397,480,203,105,102,103,79,23,1411,0
55.38,38,397,478,202,105,102,103,79,23,1409,0
55.4,38,399,478,202,105,102,103,79,23,1410,0
55.44,38,400,478,202,105,102,103,79,23,1407,0
55.42,38,404,477,200,104,102,102,79,23,1424,0
55.38,38,405,476,200,103,102,102,79,23,1423,0
55.4,38,405,476,199,103,102,102,79,23,1421,0
55.4,38,406,475,198,103,102,102,79,23,1420,0
55.4,38,406,476,198,103,102,102,79,23,1419,0
55.39,38,405,480,202,104,103,103,79,23,1420,0
55.35,38,405,483,203,104,103,103,79,23,1420,0
55.37,38,405,488,206,105,103,103,80,23,1420,0
55.36,38,407,497,211,107,104,103,80,23,1422,0
55.34,39,408,512,219,109,105,104,81,24,1430,0
55.39,39,410,539,234,114,107,105,82,24,1444,0
55.4,40,413,573,252,120,109,107,83,25,1460,0
55.37,41,418,620,279,129,112,109,85,26,1487,0
55.4,42,422,684,313,140,116,112,87,27,1519,0
55.39,44,426,755,353,153,120,115,90,29,1552,0
55.36,45,424,842,405,169,126,118,93,31,1589,0
55.37,48,434,950,463,188,133,123,98,33,1647,0
55.39,50,439,1053,521,206,139,128,102,35,1700,0
55.38,52,448,1175,588,228,147,133,107,38,1764,0
55.34,55,455,1284,648,247,154,138,111,40,1820,0
55.32,57,462,1400,713,267,161,143,115,42,1879,0
55.37,59,470,1526,782,289,169,149,120,44,1945,0
55.36,62,476,1650,851,311,176,154,125,47,1997,0
55.34,64,485,1764,914,331,183,159,129,50,2058,0
