Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.31,42,612,569,240,125,105,121,83,25,1296,0
55.37,41,608,518,208,113,102,118,82,23,1249,0
55.37,41,594,505,204,110,102,116,81,22,1199,0
55.4,40,586,501,202,109,102,115,81,22,1178,0
55.41,39,575,499,203,110,102,114,81,21,1162,0
55.42,39,574,504,205,111,103,114,81,21,1153,0
55.42,39,574,491,195,107,102,114,81,21,1135,0
55.41,39,575,478,187,104,101,113,80,20,1126,0
55.43,39,576,475,185,103,101,112,80,20,1128,0
55.39,39,575,475,185,103,101,112,81,20,1125,0
55.4,39,576,472,182,101,101,112,80,20,1123,0
55.45,39,573,471,182,101,101,112,80,20,1112,0
55.41,39,574,469,181,100,101,112,80,20,1112,0
55.46,39,574,470,181,100,101,112,80,20,1113,0
55.42,39,573,469,180,100,101,110,80,20,1110,0
55.41,39,573,470,181,100,101,111,81,20,1110,0
55.36,39,570,465,178,99,101,111,80,19,1104,0
55.36,39,570,465,178,99,101,111,80,19,1105,0
55.36,39,570,463,176,98,101,110,80,19,1101,0
55.38,39,569,463,177,99,101,110,80,19,1098,0
55.37,38,569,462,176,98,101,110,80,19,1097,0
55.38,38,566,462,176,98,101,110,80,19,1096,0
55.39,38,568,463,176,98,101,110,80,19,1093,0
55.4,38,567,462,176,97,101,110,80,19,1093,0
55.37,38,569,462,175,97,101,110,80,19,1091,0
55.33,38,567,461,175,97,101,109,80,19,1088,0
55.34,39,570,461,174,98,101,110,80,19,1090,0
55.4,38,570,463,175,97,101,110,80,19,1088,0
55.37,39,569,466,177,99,101,110,80,19,1088,0
55.41,39,569,468,178,99,101,110,80,19,1089,0
55.37,39,570,475,182,99,102,110,81,19,1091,0
55.32,39,572,484,187,100,102,110,81,19,1093,0
55.33,39,572,500,197,103,103,111,82,20,1100,0
55.38,40,574,527,212,108,105,112,83,20,1115,0
55.35,41,579,567,236,116,108,113,84,21,1149,0
55.37,42,581,614,265,125,111,115,86,22,1169,0
55.37,43,585,678,301,138,116,118,89,24,1214,0
55.4,45,590,750,343,151,121,121,91,25,1256,0
55.35,47,595,833,393,167,127,124,94,27,1300,0
55.41,49,600,930,451,185,134,128,98,29,1348,0
55.35,51,607,1038,515,205,141,133,102,32,1407,0
55.36,54,613,1138,574,224,148,137,105,34,1461,0
55.35,56,620,1261,646,247,156,142,110,36,1527,0
55.38,59,629,1378,716,269,165,147,114,39,1591,0
55.4,61,636,1493,782,290,173,152,118,41,1655,0
