Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.85,18,84,616,318,117,48,37,33,13,435,0
77.04,18,84,613,316,117,48,37,33,13,434,0
77.21,17,82,609,314,116,47,37,33,12,432,0
77.4,17,83,605,311,115,47,37,33,12,430,0
77.6,17,82,602,308,114,47,36,33,12,429,0
77.8,17,82,597,305,113,46,36,32,12,426,0
78.0,17,82,593,302,112,46,36,32,12,424,0
78.21,17,82,588,299,111,46,36,32,12,422,0
78.43,17,81,583,296,110,45,35,32,12,420,0
78.64,17,81,579,294,109,45,35,32,12,418,0
78.84,17,80,574,291,108,44,35,31,12,416,0
79.04,17,80,570,288,107,44,35,31,12,414,0
79.25,16,80,566,285,106,44,34,31,12,412,0
79.46,16,80,561,282,105,44,34,31,12,410,0
79.68,16,79,556,279,104,43,34,31,11,408,0
79.89,16,79,551,276,103,43,33,30,11,405,0
80.1,16,79,546,272,102,42,33,30,11,402,0
80.3,16,78,540,268,101,42,33,30,11,400,0
80.49,16,78,534,264,99,41,33,30,11,397,0
80.7,15,77,526,259,97,41,32,29,11,393,0
80.91,15,77,517,253,95,40,32,29,11,389,0
81.13,15,76,507,246,93,39,31,28,11,385,0
81.33,15,75,497,239,91,38,30,28,10,380,0
81.54,14,74,485,231,88,37,30,27,10,375,0
81.75,14,74,473,223,86,36,29,27,10,369,0
81.96,14,73,460,214,83,35,28,26,10,363,0
82.17,13,72,446,205,80,34,27,26,10,357,0
82.39,13,71,432,196,77,33,27,25,9,350,0
82.6,13,70,418,187,73,32,26,25,9,343,0
82.81,12,69,404,179,70,31,25,24,9,336,0
83.01,12,68,390,170,67,30,24,23,9,329,0
83.2,12,67,377,163,64,29,24,23,8,323,0
83.39,12,67,365,155,62,28,23,22,8,317,0
83.59,11,66,354,149,59,27,22,22,8,312,0
83.82,11,65,346,143,57,27,22,22,8,307,0
84.03,11,65,338,138,56,26,22,21,8,302,0
84.24,11,64,332,133,54,25,21,21,7,298,0
84.44,11,64,325,129,52,25,21,21,7,294,0
84.65,10,64,318,125,51,24,20,20,7,291,0
84.86,10,63,312,121,49,24,20,20,7,288,0
85.07,10,63,306,117,48,23,20,20,7,285,0
85.29,10,62,300,113,47,23,19,19,7,282,0
85.5,10,62,293,108,45,22,19,19,7,279,0
85.73,10,62,287,105,44,22,18,19,7,276,0
85.94,9,61,279,100,42,21,18,19,6,272,0
86.13,9,61,272,95,40,21,18,18,6,269,0
86.32,9,60,264,90,39,20,17,18,6,266,0
86.53,9,60,257,85,37,19,17,18,6,263,0
86.74,9,59,248,79,35,19,16,17,6,259,0
86.93,8,59,240,74,33,18,16,17,6,256,0
87.14,8,58,232,69,31,17,15,17,6,252,0
87.35,8,57,224,64,29,17,15,16,5,248,0
87.57,8,57,216,59,28,16,14,16,5,244,0
87.79,8,57,208,54,26,15,14,16,5,241,0
88.0,7,56,201,50,24,15,14,15,5,237,0
88.22,7,56,195,46,23,14,13,15,5,233,0
88.42,7,55,189,42,21,14,13,15,5,230,0
88.65,7,55,184,39,20,14,13,14,5,227,0
88.85,7,55,180,37,19,13,12,14,5,224,0
89.06,7,55,177,35,19,13,12,14,5,222,0
89.28,7,54,175,34,18,13,12,14,4,221,0
89.49,7,54,173,33,18,13,12,14,4,220,0
89.69,7,54,173,33,18,13,12,14,4,219,0
89.89,7,54,172,33,17,13,12,14,4,218,0
90.11,7,54,172,32,17,13,12,14,4,218,0
90.33,7,54,171,32,17,13,12,14,4,217,0
90.53,7,54,171,32,17,13,12,14,4,216,0
90.75,7,54,171,32,17,13,12,14,4,216,0
90.97,7,54,171,32,17,13,12,14,4,216,0
91.19,7,54,171,31,17,13,12,14,4,215,0
91.41,7,54,170,31,17,12,12,14,4,215,0
91.61,7,54,170,31,17,12,12,14,4,215,0
91.8,7,54,170,31,17,12,12,14,4,215,0
92.0,7,54,170,31,17,12,12,14,4,216,0
92.23,7,53,170,31,17,13,12,14,4,219,0
92.45,7,55,174,31,17,12,12,14,4,225,0
92.67,7,55,174,31,17,12,12,14,4,227,0
92.88,7,55,172,31,17,13,12,14,4,224,0
93.08,7,53,171,31,17,12,12,14,4,220,0
93.28,7,53,171,31,17,12,12,14,4,219,0
93.48,7,53,171,31,17,12,12,14,4,217,0
93.68,7,53,171,31,16,12,12,14,4,216,0
93.88,7,53,170,31,16,12,12,14,4,215,0
94.11,7,53,170,31,16,12,12,14,4,216,0
94.31,7,53,170,30,16,12,12,14,4,215,0
94.54,7,53,170,30,16,12,12,14,4,215,0
