Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
76.85,104,1508,1772,428,183,135,146,107,27,2027,0
77.05,104,1507,1765,425,182,135,146,107,27,2025,0
77.24,103,1503,1758,421,180,134,146,106,27,2021,0
77.42,103,1504,1750,418,179,134,145,106,27,2018,0
77.61,103,1503,1744,414,178,133,145,106,26,2014,0
77.81,103,1502,1736,410,176,133,145,105,26,2011,0
78.02,103,1501,1729,407,175,132,144,105,27,2008,0
78.23,103,1497,1721,403,174,132,144,105,26,2005,0
78.44,102,1496,1712,399,172,131,143,104,26,2003,0
78.66,102,1494,1705,396,171,131,143,104,27,2000,0
78.86,102,1496,1698,392,170,131,143,104,26,1996,0
79.08,102,1495,1691,388,168,130,142,104,26,1992,0
79.28,102,1493,1682,384,167,130,142,103,25,1989,0
79.49,102,1492,1673,380,165,129,142,103,25,1988,0
79.69,102,1491,1665,375,164,128,141,102,26,1983,0
79.9,101,1490,1655,370,162,128,141,102,25,1979,0
80.1,101,1488,1643,363,160,127,140,102,25,1974,0
80.3,101,1486,1629,356,157,126,140,101,25,1969,0
80.52,101,1485,1614,348,154,125,139,100,24,1964,0
80.74,100,1480,1598,339,151,124,138,100,25,1955,0
80.98,100,1479,1581,330,148,123,138,99,24,1948,0
81.21,100,1475,1565,322,145,122,137,98,25,1941,0
81.39,99,1474,1548,314,141,121,136,97,24,1935,0
81.57,99,1473,1532,305,138,120,135,97,23,1928,0
81.76,99,1471,1514,296,135,118,135,96,23,1922,0
81.98,98,1470,1498,287,132,117,134,95,23,1913,0
82.2,98,1467,1481,279,129,116,133,95,23,1908,0
82.41,97,1466,1465,270,126,115,132,94,22,1900,0
82.62,97,1460,1448,264,123,114,132,93,23,1889,0
82.81,97,1456,1433,257,121,113,131,92,22,1883,0
83.01,97,1453,1420,250,118,113,131,92,22,1876,0
83.23,96,1451,1409,244,117,112,130,91,22,1873,0
83.44,96,1451,1398,238,115,111,130,91,22,1869,0
83.66,96,1450,1386,232,113,110,129,91,22,1863,0
83.87,96,1448,1374,226,110,109,128,90,21,1860,0
84.08,95,1445,1362,219,108,109,128,89,21,1854,0
84.29,95,1444,1349,212,105,108,127,89,21,1851,0
84.48,95,1441,1334,204,102,107,127,88,21,1845,0
84.68,94,1437,1318,196,99,106,126,87,21,1835,0
84.88,94,1437,1303,187,96,104,125,87,20,1831,0
85.11,94,1435,1284,177,93,103,124,86,20,1825,0
85.35,93,1433,1265,167,89,102,123,85,20,1819,0
85.58,93,1428,1245,157,85,101,122,84,19,1811,0
85.79,93,1425,1227,147,81,99,122,84,19,1804,0
85.97,92,1421,1209,137,78,98,121,83,19,1793,0
86.15,92,1418,1192,128,75,97,120,82,18,1787,0
86.36,92,1415,1176,120,72,96,119,81,18,1780,0
86.56,91,1414,1159,111,69,95,118,81,18,1772,0
86.78,91,1412,1145,104,66,94,118,80,18,1767,0
86.99,91,1410,1131,96,63,93,117,79,17,1763,0
87.2,90,1407,1117,90,60,92,116,79,17,1757,0
87.4,90,1406,1104,84,58,91,116,79,17,1750,0
87.6,90,1406,1093,80,56,90,115,78,17,1744,0
87.83,89,1403,1083,76,54,90,115,77,16,1739,0
88.05,89,1401,1078,72,53,89,114,78,16,1738,0
88.25,89,1399,1073,70,52,89,114,78,16,1735,0
88.43,89,1397,1069,68,52,89,114,78,16,1735,0
88.66,89,1396,1067,67,51,89,114,78,16,1736,0
88.9,89,1396,1065,66,51,88,114,77,16,1737,0
89.17,89,1394,1064,66,51,88,113,77,16,1738,0
89.4,89,1393,1063,66,50,88,113,77,16,1737,0
89.59,89,1391,1062,65,50,88,113,77,16,1738,0
89.77,89,1390,1061,65,50,88,113,77,16,1739,0
89.96,89,1389,1061,65,50,88,113,77,16,1738,0
90.16,89,1388,1060,65,50,88,113,77,16,1739,0
90.36,89,1385,1059,64,50,88,113,76,16,1739,0
90.59,89,1384,1058,64,50,88,113,77,16,1740,0
90.82,89,1383,1057,64,50,87,113,77,16,1739,0
91.04,89,1381,1056,64,49,87,113,77,16,1740,0
91.26,88,1380,1056,64,49,87,113,77,16,1741,0
91.45,88,1379,1055,63,49,87,113,76,16,1740,0
91.64,88,1377,1054,63,49,87,113,76,16,1743,0
91.85,88,1374,1054,63,49,87,112,76,16,1748,0
92.05,88,1372,1052,63,49,87,112,75,16,1748,0
92.26,88,1371,1053,63,49,87,112,76,16,1749,0
92.48,88,1371,1052,63,49,87,113,76,16,1754,0
92.71,88,1371,1052,62,49,87,112,76,16,1755,0
92.93,88,1370,1051,62,49,87,112,76,16,1756,0
93.12,88,1368,1050,62,49,87,112,76,16,1757,0
93.31,88,1366,1049,62,48,86,112,76,16,1758,0
93.54,88,1365,1049,62,48,86,112,76,16,1758,0
93.75,88,1363,1047,62,48,86,112,75,16,1759,0
93.95,88,1360,1046,62,48,86,112,75,16,1759,0
94.16,88,1358,1045,62,48,86,112,75,16,1756,0
94.37,88,1357,1044,61,48,86,112,75,16,1759,0
94.55,88,1355,1043,61,48,86,112,75,16,1763,0
