Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.25,68,1420,1194,360,168,113,140,83,24,1035,0
55.35,66,1406,1124,319,153,108,135,80,23,986,0
55.32,66,1405,1123,319,153,108,135,80,22,981,0
55.32,66,1407,1124,319,153,108,134,80,22,977,0
55.34,66,1425,1131,317,153,108,134,80,22,977,0
55.26,66,1422,1133,319,154,108,134,81,22,974,0
55.32,67,1421,1143,323,155,109,134,81,22,980,0
55.26,67,1430,1144,322,154,108,134,81,22,980,0
55.27,67,1416,1145,329,156,109,134,81,22,978,0
55.25,67,1434,1145,323,154,108,134,81,22,976,0
55.27,67,1421,1143,326,155,109,133,81,22,972,0
55.26,67,1434,1141,321,153,108,133,81,22,970,0
55.28,67,1432,1138,319,152,108,133,81,22,967,0
55.25,67,1439,1141,319,152,108,133,81,22,966,0
55.26,67,1436,1142,322,153,108,133,81,22,965,0
55.25,67,1429,1143,323,153,108,133,81,22,967,0
55.26,67,1438,1137,316,151,107,133,81,22,963,0
55.29,67,1440,1140,318,151,108,133,81,22,963,0
55.23,67,1430,1137,319,152,108,132,81,22,959,0
55.24,67,1441,1139,317,151,107,133,81,22,960,0
55.29,67,1446,1140,316,150,107,133,81,21,959,0
55.3,67,1442,1141,316,150,107,133,81,22,960,0
55.28,67,1440,1140,317,150,107,132,81,22,958,0
55.28,67,1434,1143,320,151,108,132,81,22,961,0
55.27,67,1437,1140,316,150,107,132,81,21,953,0
55.28,67,1432,1145,319,151,107,132,81,22,959,0
55.28,67,1439,1146,319,151,107,133,81,22,958,0
55.27,68,1437,1157,328,153,108,133,81,22,962,0
55.35,68,1435,1172,337,156,109,133,82,22,970,0
55.24,69,1442,1195,351,161,111,135,83,22,980,0
55.34,70,1444,1235,377,169,113,136,85,23,997,0
55.31,71,1447,1299,419,182,117,139,87,24,1024,0
55.29,72,1456,1377,469,198,123,143,91,26,1059,0
55.28,75,1460,1480,537,219,130,148,94,28,1104,0
55.31,77,1469,1614,624,247,140,154,99,31,1163,0
55.32,81,1478,1772,725,280,151,161,106,34,1229,0
55.33,84,1490,1945,836,315,163,169,113,37,1304,0
55.31,88,1507,2139,958,355,177,179,121,41,1390,0
55.31,93,1520,2355,1096,398,192,188,130,45,1482,0
55.33,97,1535,2555,1222,439,206,198,138,49,1568,0
55.3,101,1545,2773,1359,483,222,207,147,53,1663,0
55.3,104,1568,2989,1494,527,236,217,156,57,1755,0
55.27,109,1569,3192,1622,565,252,226,164,62,1865,0
55.3,113,1592,3403,1756,608,266,236,172,65,1946,0
55.28,117,1602,3608,1887,650,280,245,181,69,2033,0
