Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.23,74,1699,1192,233,116,106,149,86,21,1740,0
55.35,73,1658,1136,201,105,102,144,84,20,1710,0
55.35,72,1659,1130,196,103,101,143,84,20,1719,0
55.4,73,1655,1138,197,104,102,143,84,20,1721,0
55.38,73,1643,1135,196,104,101,142,83,20,1700,0
55.43,72,1635,1132,191,101,100,141,83,20,1679,0
55.41,73,1636,1142,195,103,101,141,84,20,1699,0
55.4,73,1635,1142,193,102,100,141,84,19,1701,0
55.37,73,1634,1141,191,101,100,141,84,20,1694,0
55.37,73,1633,1144,190,101,100,141,84,19,1689,0
55.34,73,1630,1140,188,100,100,140,83,20,1686,0
55.36,73,1635,1148,188,100,100,140,84,19,1692,0
55.36,73,1640,1150,188,100,100,140,84,20,1693,0
55.33,73,1641,1151,184,99,99,140,84,20,1685,0
55.34,73,1649,1160,186,99,100,140,85,20,1702,0
55.35,73,1652,1162,186,99,100,140,85,20,1699,0
55.33,73,1649,1161,186,99,100,140,85,20,1702,0
55.41,73,1649,1163,186,99,100,140,85,20,1706,0
55.42,73,1647,1161,184,99,99,139,85,20,1696,0
55.42,73,1647,1163,185,99,100,139,85,20,1694,0
55.42,73,1645,1165,185,99,100,139,85,20,1689,0
55.41,73,1643,1163,185,99,99,140,84,20,1727,0
55.39,73,1649,1166,183,98,99,140,85,20,1711,0
55.42,74,1651,1170,184,99,100,140,85,20,1712,0
55.38,73,1653,1173,184,99,100,140,85,20,1708,0
55.37,74,1654,1176,185,99,100,140,85,20,1714,0
55.36,74,1653,1179,187,99,100,140,85,20,1702,0
55.38,74,1656,1187,190,100,101,140,86,20,1716,0
55.39,74,1658,1201,197,103,102,141,86,20,1720,0
55.41,75,1664,1230,210,107,103,143,88,20,1723,0
55.38,75,1664,1257,225,112,105,143,88,21,1722,0
55.34,76,1666,1300,249,119,108,145,90,20,1749,0
55.39,78,1676,1361,280,130,112,148,93,22,1773,0
55.37,79,1679,1435,320,143,116,151,95,23,1793,0
55.35,81,1689,1523,365,159,122,155,99,24,1834,0
55.39,83,1699,1628,422,178,129,159,103,26,1886,0
55.38,85,1709,1736,479,197,135,164,107,27,1922,0
55.37,88,1714,1848,538,217,142,168,111,29,1973,0
55.39,90,1726,1966,600,237,150,173,116,31,2019,0
55.37,92,1732,2078,661,258,157,178,120,32,2060,0
55.39,95,1743,2201,725,279,165,183,125,34,2107,0
55.37,97,1751,2314,785,299,172,188,129,36,2155,0
55.36,100,1762,2442,859,325,181,194,134,38,2238,0
55.39,102,1775,2566,921,346,188,198,139,40,2276,0
55.39,104,1801,2706,995,367,195,203,144,42,2327,0
