Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
55.15,45,1353,906,208,114,113,133,90,19,760,0
55.27,44,1326,854,181,105,109,129,88,18,715,0
55.3,45,1362,865,176,104,111,129,89,17,719,0
55.26,44,1337,856,178,103,111,129,89,18,714,0
55.32,45,1359,865,177,103,111,128,90,17,709,0
55.25,45,1338,862,183,104,112,127,90,17,705,0
55.24,45,1371,870,178,102,113,128,91,17,710,0
55.24,45,1377,874,178,103,113,128,91,17,712,0
55.24,45,1360,865,178,102,113,127,91,17,696,0
55.24,45,1374,869,175,102,113,129,91,17,700,0
55.27,46,1376,872,177,102,113,128,91,17,701,0
55.25,46,1444,892,169,101,114,130,93,17,718,0
55.22,46,1386,876,176,102,113,128,91,17,706,0
55.27,46,1376,873,177,102,113,128,92,17,701,0
55.25,46,1367,870,179,102,114,128,92,17,699,0
55.24,46,1369,870,178,101,114,127,92,17,697,0
55.25,46,1367,870,179,102,114,127,92,17,696,0
55.21,46,1379,873,177,101,115,128,92,17,698,0
55.23,46,1362,867,179,101,113,128,92,17,686,0
55.24,46,1377,871,176,100,114,128,92,17,689,0
55.27,46,1374,871,178,101,114,127,92,17,689,0
55.24,46,1400,876,174,100,115,128,93,17,694,0
55.23,46,1373,872,179,101,115,128,92,17,689,0
55.26,46,1379,875,178,101,114,129,93,17,685,0
55.27,46,1381,876,178,101,114,129,92,17,685,0
55.27,47,1384,877,178,101,115,129,92,17,686,0
55.27,47,1386,879,178,101,115,129,93,17,686,0
55.26,47,1383,880,180,101,116,129,93,17,685,0
55.24,47,1388,885,181,102,115,129,93,17,687,0
55.25,47,1387,891,185,103,116,128,94,17,689,0
55.26,47,1413,907,188,104,117,129,94,17,699,0
55.28,48,1389,918,202,108,118,129,94,17,695,0
55.27,48,1384,944,221,113,120,131,95,18,707,0
55.29,49,1389,985,246,120,123,132,97,19,726,0
55.32,50,1395,1035,278,131,126,134,98,20,750,0
55.27,51,1399,1097,317,143,130,137,101,21,779,0
55.26,53,1404,1171,363,157,136,141,104,23,812,0
55.26,55,1408,1264,422,176,142,145,107,24,856,0
55.26,57,1425,1356,483,195,148,149,111,26,912,0
55.25,59,1435,1459,546,215,155,153,115,28,961,0
55.22,62,1440,1564,610,235,162,158,119,31,1009,0
55.26,64,1451,1671,676,256,170,163,123,33,1058,0
55.24,66,1455,1780,747,278,177,167,127,35,1108,0
55.26,68,1464,1887,812,298,184,172,132,37,1157,0
55.25,71,1469,2002,885,321,192,177,136,39,1211,0
