Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.84,63,458,2012,994,352,148,146,99,46,2023,1
60.04,63,458,2003,987,349,147,145,99,45,2017,1
60.25,62,457,1990,979,347,146,145,98,45,2009,1
60.45,62,457,1979,971,344,145,144,98,45,2003,1
60.65,62,456,1966,962,342,144,143,97,44,1994,1
60.85,61,456,1954,954,339,143,143,97,44,1988,1
61.05,61,455,1942,944,336,142,142,96,44,1980,1
61.27,61,454,1929,936,334,141,141,96,44,1972,1
61.45,61,453,1916,927,332,140,141,95,43,1964,1
61.66,60,453,1903,918,329,139,140,95,43,1957,1
61.86,60,452,1889,909,326,137,139,94,43,1949,1
62.07,60,451,1877,901,323,137,139,94,42,1942,1
62.27,59,451,1865,892,320,136,138,93,42,1935,1
62.46,59,450,1851,884,317,135,137,93,42,1927,1
62.68,59,449,1837,875,314,133,137,92,42,1920,1
62.88,59,448,1824,866,312,132,136,92,41,1913,1
63.08,58,448,1811,857,309,131,135,91,41,1906,1
63.28,58,447,1798,848,306,130,135,91,41,1898,1
63.5,58,446,1784,840,303,129,134,90,41,1891,1
63.71,57,445,1771,832,300,128,133,90,40,1884,1
63.89,57,445,1759,824,298,127,133,89,40,1877,1
64.09,57,444,1746,815,295,126,132,89,40,1871,1
64.3,57,443,1732,807,292,125,131,88,40,1864,1
64.51,56,443,1719,799,290,124,131,88,39,1857,1
64.7,56,442,1707,791,287,123,130,87,39,1849,1
64.9,56,441,1694,783,284,122,130,87,39,1843,1
65.11,56,441,1681,775,282,121,129,87,38,1836,1
65.33,55,440,1667,766,279,120,129,86,38,1829,1
65.55,55,439,1655,759,277,119,128,86,38,1823,1
65.74,55,439,1643,751,274,119,127,85,38,1816,1
65.94,54,438,1631,743,272,119,127,85,38,1810,1
66.16,54,437,1618,736,269,118,126,84,37,1803,1
66.38,54,437,1606,728,267,117,126,84,37,1796,1
66.57,54,436,1595,721,264,116,125,83,37,1790,1
66.77,53,435,1585,715,262,115,125,83,37,1784,1
66.99,53,435,1575,708,260,114,124,83,36,1779,1
67.19,53,434,1565,702,258,114,124,82,36,1774,1
67.39,53,434,1555,696,256,113,123,82,36,1768,1
67.57,52,433,1546,690,254,112,123,82,36,1763,1
67.78,52,433,1535,684,252,112,122,81,36,1757,1
67.99,52,432,1526,678,250,111,122,81,35,1751,1
68.19,52,432,1515,671,248,110,121,80,35,1747,1
68.41,52,431,1505,665,246,109,121,80,35,1741,1
68.61,51,430,1495,659,244,109,120,80,35,1736,1
68.81,51,430,1486,653,242,108,120,79,35,1731,1
69.01,51,429,1477,647,240,107,119,79,34,1726,1
69.23,51,429,1467,641,238,107,119,79,34,1721,1
69.42,51,428,1458,635,236,106,118,78,34,1715,1
69.63,50,428,1449,631,234,105,118,78,34,1711,1
