Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.83,62,309,2129,890,318,134,165,94,38,1889,1
60.04,62,308,2117,883,316,133,165,93,38,1885,1
60.24,61,308,2103,875,313,132,164,93,38,1879,1
60.45,61,307,2088,867,311,131,163,92,37,1872,1
60.64,61,307,2074,858,308,130,163,92,37,1866,1
60.83,60,306,2060,850,305,129,162,91,37,1859,1
61.03,60,306,2047,842,302,128,161,91,37,1853,1
61.25,60,305,2032,834,300,127,161,90,36,1846,1
61.44,59,304,2020,826,297,127,160,90,36,1841,1
61.64,59,304,2006,818,294,126,159,89,36,1835,1
61.86,59,303,1992,810,292,125,159,89,36,1828,1
62.06,59,303,1979,802,289,124,158,88,35,1822,1
62.25,58,302,1966,795,287,123,157,88,35,1817,1
62.45,58,302,1953,788,284,122,157,87,35,1812,1
62.65,58,301,1940,780,282,121,156,87,35,1806,1
62.86,57,301,1927,773,279,120,156,86,35,1800,1
63.06,57,300,1914,765,276,119,155,86,34,1795,1
63.28,57,300,1900,757,274,118,154,86,34,1789,1
63.47,57,299,1887,750,271,118,154,85,34,1784,1
63.68,56,299,1874,743,269,117,153,85,34,1778,1
63.88,56,298,1861,736,266,116,153,84,34,1773,1
64.07,56,298,1849,729,264,115,152,84,33,1768,1
64.29,56,297,1836,722,262,114,151,83,33,1762,1
64.49,55,297,1824,715,259,113,151,83,33,1757,1
64.69,55,296,1812,708,257,113,150,82,33,1753,1
64.89,55,296,1799,702,255,112,150,82,33,1747,1
65.1,55,295,1788,696,253,111,149,82,32,1743,1
65.32,54,295,1776,689,251,110,149,81,32,1738,1
65.52,54,294,1765,683,248,109,148,81,32,1733,1
65.71,54,294,1753,676,246,109,147,80,32,1727,1
65.93,54,293,1742,670,244,108,147,80,32,1722,1
66.15,53,293,1731,664,242,107,146,80,32,1718,1
66.32,53,293,1721,658,240,106,146,79,31,1713,1
66.52,53,292,1711,652,238,106,145,79,31,1709,1
66.73,53,292,1700,646,236,105,145,79,31,1704,1
66.96,52,291,1690,641,234,104,144,78,31,1700,1
67.17,52,291,1681,635,233,104,144,78,31,1696,1
67.36,52,291,1671,630,231,103,144,78,31,1692,1
67.55,52,290,1662,625,229,102,143,77,31,1688,1
67.75,52,290,1652,619,227,102,143,77,30,1684,1
67.98,51,290,1643,614,225,101,142,77,30,1679,1
68.18,51,289,1633,608,223,100,142,76,30,1676,1
68.39,51,289,1623,603,222,100,141,76,30,1671,1
68.59,51,288,1613,597,220,99,141,76,30,1667,1
68.79,51,288,1605,592,218,98,140,75,30,1663,1
69.0,50,287,1596,587,216,98,140,75,29,1659,1
69.18,50,287,1586,582,215,97,140,75,29,1655,1
69.39,50,287,1576,576,213,97,139,74,29,1651,1
69.59,50,286,1567,571,211,96,139,74,29,1647,1
69.81,50,286,1559,566,209,95,138,74,29,1643,1
70.0,49,286,1549,561,208,95,138,73,29,1639,1
70.2,49,285,1541,556,206,94,137,73,28,1635,1
70.4,49,285,1532,551,204,94,137,73,28,1631,1
70.62,49,284,1523,546,203,93,136,72,28,1627,1
70.84,49,284,1514,541,201,92,136,72,28,1623,1
71.04,49,284,1506,536,199,92,136,72,28,1620,1
71.24,48,283,1498,531,198,91,135,71,28,1616,1
71.44,48,283,1489,526,196,91,135,71,28,1612,1
71.66,48,283,1481,522,194,90,134,71,28,1608,1
71.87,48,282,1472,517,193,89,134,70,27,1604,1
72.06,48,282,1464,512,191,89,134,70,27,1601,1
72.24,47,282,1456,508,190,88,133,70,27,1598,1
72.47,47,281,1447,503,188,88,133,70,27,1594,1
72.67,47,281,1439,498,187,87,132,69,27,1590,1
72.89,47,280,1432,494,185,87,132,69,27,1587,1
