Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.84,60,462,2108,851,307,133,176,97,41,1923,1
60.04,60,461,2097,845,305,132,175,97,40,1918,1
60.23,60,461,2083,836,302,131,174,96,40,1911,1
60.44,59,460,2069,828,300,130,174,96,40,1904,1
60.65,59,459,2055,820,297,129,173,95,40,1897,1
60.83,59,459,2042,812,294,128,172,95,39,1890,1
61.03,58,458,2028,804,292,127,172,94,39,1883,1
61.24,58,458,2013,795,289,126,171,94,39,1876,1
61.44,58,457,2000,788,286,125,170,93,39,1870,1
61.63,57,457,1986,780,284,124,170,93,38,1863,1
61.85,57,456,1973,772,281,123,169,92,38,1856,1
62.05,57,455,1959,764,278,122,168,92,38,1849,1
62.24,57,455,1946,757,276,121,168,91,38,1843,1
62.44,56,454,1933,749,273,120,167,91,37,1837,1
62.64,56,454,1919,741,271,120,166,90,37,1830,1
62.86,56,453,1905,734,268,119,166,90,37,1823,1
63.05,55,453,1892,726,266,118,165,89,37,1817,1
63.26,55,452,1879,719,263,117,164,89,36,1811,1
63.47,55,452,1867,712,261,116,164,88,36,1805,1
63.68,54,452,1854,705,259,115,163,88,36,1799,1
63.87,54,451,1842,699,256,114,163,88,36,1793,1
64.06,54,451,1830,692,254,113,162,87,36,1787,1
64.27,54,450,1818,686,252,113,162,87,35,1782,1
64.48,53,450,1807,679,250,112,161,86,35,1776,1
64.69,53,449,1794,672,247,111,161,86,35,1770,1
64.89,53,449,1783,666,245,110,160,86,35,1764,1
65.1,53,449,1772,659,243,109,159,85,35,1759,1
65.32,52,448,1760,653,241,109,159,85,34,1753,1
65.53,52,448,1749,647,239,108,158,84,34,1748,1
65.72,52,447,1738,640,237,107,158,84,34,1742,1
65.92,52,447,1727,634,235,106,157,84,34,1738,1
66.13,51,447,1717,628,233,106,157,83,34,1733,1
66.32,51,446,1707,623,231,105,156,83,33,1728,1
66.52,51,446,1697,617,229,104,156,82,33,1723,1
66.73,51,446,1687,611,227,104,155,82,33,1717,1
66.97,50,445,1676,605,225,103,155,82,33,1713,1
