Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.84,102,1410,2773,1239,455,222,251,169,60,3118,0
60.05,102,1409,2755,1227,451,221,250,168,60,3108,0
60.24,101,1408,2735,1216,447,219,249,167,59,3098,0
60.44,101,1407,2716,1205,443,218,248,166,59,3088,0
60.63,101,1406,2696,1193,439,216,247,166,58,3077,0
60.84,100,1405,2677,1182,435,215,246,165,58,3066,0
61.04,101,1404,2659,1171,432,214,245,164,58,3057,0
61.24,99,1403,2640,1159,428,212,245,164,57,3046,0
61.45,99,1402,2621,1148,424,211,244,163,57,3036,0
61.64,98,1401,2601,1136,421,209,243,162,57,3026,0
61.85,99,1400,2584,1125,417,208,242,161,56,3017,0
62.04,99,1399,2567,1114,413,207,241,161,56,3007,0
62.24,98,1398,2548,1103,410,205,240,160,55,2997,0
62.44,98,1397,2529,1091,406,204,240,159,55,2988,0
62.65,97,1396,2511,1080,402,203,239,159,55,2978,0
62.87,97,1395,2491,1068,398,201,238,158,54,2968,0
63.07,97,1394,2473,1057,394,200,237,157,54,2958,0
63.27,95,1393,2455,1046,391,199,236,157,54,2948,0
63.46,96,1392,2438,1036,387,197,235,156,53,2941,0
63.66,95,1391,2419,1026,384,196,235,155,53,2931,0
63.87,95,1390,2401,1015,380,195,234,154,53,2923,0
64.07,95,1389,2384,1005,377,193,233,154,52,2913,0
64.27,94,1388,2367,995,374,192,232,153,52,2905,0
64.47,94,1387,2349,985,370,191,232,153,52,2897,0
64.68,94,1386,2331,975,367,190,231,152,51,2887,0
64.9,93,1385,2313,964,363,188,230,151,51,2877,0
65.11,93,1384,2297,955,360,187,229,151,51,2869,0
65.3,92,1383,2282,946,357,186,229,150,50,2862,0
65.51,92,1383,2266,936,354,185,228,149,50,2854,0
65.72,92,1382,2250,927,351,184,227,149,50,2846,0
65.94,91,1380,2234,918,348,183,226,148,49,2838,0
66.15,91,1380,2220,909,345,182,226,148,49,2830,0
66.33,91,1379,2205,901,342,180,225,147,49,2823,0
66.52,90,1378,2191,892,340,179,225,147,49,2816,0
66.73,90,1377,2176,884,337,178,224,146,48,2808,0
