Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.84,69,502,2403,986,356,150,188,108,43,2051,1
60.04,69,501,2389,979,353,149,188,107,43,2046,1
60.23,68,501,2373,970,351,148,187,107,43,2039,1
60.43,68,500,2357,961,348,147,186,107,42,2032,1
60.64,68,499,2340,952,345,146,185,106,42,2024,1
60.84,67,499,2325,943,343,145,185,105,42,2018,1
61.05,67,498,2309,934,340,144,184,105,42,2011,1
61.24,67,498,2294,926,337,143,183,104,41,2004,1
61.43,66,497,2280,918,334,142,183,104,41,1998,1
61.64,66,497,2263,909,331,141,182,103,41,1992,1
61.85,66,496,2249,900,328,140,181,103,41,1986,1
62.06,65,495,2234,891,325,139,180,102,40,1979,1
62.24,65,495,2220,883,322,138,180,102,40,1973,1
62.43,65,494,2205,874,319,137,179,101,40,1967,1
62.65,64,494,2189,865,316,136,178,101,40,1960,1
62.87,64,493,2174,857,314,135,178,100,39,1954,1
63.07,64,493,2159,849,311,134,177,100,39,1949,1
63.26,63,492,2145,842,308,133,176,99,39,1942,1
63.47,63,492,2130,834,306,132,176,99,39,1936,1
63.68,63,491,2117,826,303,131,175,98,39,1930,1
63.86,63,491,2104,819,301,130,174,98,38,1926,1
64.05,62,490,2090,811,298,129,174,97,38,1920,1
64.28,62,490,2077,804,295,128,173,97,38,1914,1
64.49,62,489,2063,796,293,127,173,96,38,1908,1
64.67,61,489,2051,789,291,126,172,96,38,1903,1
64.88,61,488,2039,782,288,126,172,96,37,1898,1
65.09,61,488,2025,775,286,125,171,95,37,1892,1
65.32,61,487,2014,768,284,124,170,95,37,1887,1
65.52,60,487,2002,762,282,123,170,94,37,1882,1
65.71,60,486,1991,755,279,122,169,94,37,1877,1
65.9,60,486,1979,749,277,122,169,93,36,1872,1
66.11,60,486,1968,742,275,121,168,93,36,1867,1
66.33,59,485,1957,736,273,120,168,93,36,1862,1
66.53,59,485,1946,729,271,119,167,92,36,1857,1
66.73,59,484,1934,723,269,119,167,92,36,1852,1
66.95,59,484,1924,717,267,118,166,92,35,1848,1
67.18,58,483,1914,711,265,117,166,91,35,1844,1
67.36,58,483,1904,705,263,117,165,91,35,1839,1
67.55,58,483,1895,700,261,116,165,91,35,1836,1
67.76,58,482,1884,695,259,115,164,90,35,1831,1
67.96,58,482,1874,688,257,114,164,90,35,1827,1
68.17,57,482,1864,684,255,114,163,89,34,1822,1
68.37,57,481,1853,678,253,113,163,89,34,1818,1
68.58,57,481,1843,672,251,113,162,89,34,1814,1
68.78,57,480,1833,666,249,112,162,88,34,1809,1
68.99,56,480,1823,661,247,111,161,88,34,1805,1
69.19,56,480,1813,655,246,111,161,88,34,1800,1
69.39,56,479,1804,649,244,110,160,87,33,1796,1
69.59,56,479,1794,643,242,109,160,87,33,1792,1
69.81,56,479,1785,638,240,109,159,87,33,1788,1
70.01,55,478,1775,633,238,108,159,86,33,1784,1
70.2,55,478,1766,627,236,107,159,86,33,1780,1
70.41,55,477,1756,622,235,107,158,86,33,1776,1
70.61,55,477,1746,616,233,106,158,85,33,1771,1
70.82,55,476,1738,611,231,106,157,85,32,1768,1
71.04,54,476,1729,607,229,105,157,85,32,1764,1
71.21,54,476,1721,602,228,104,157,85,32,1760,1
71.41,54,475,1712,597,226,104,156,84,32,1757,1
71.63,54,475,1702,592,224,103,156,84,32,1753,1
71.84,54,475,1693,586,223,103,155,84,32,1748,1
72.04,53,474,1684,581,221,102,155,83,32,1744,1
72.24,53,474,1674,576,219,101,154,83,31,1741,1
72.46,53,473,1665,571,217,101,154,83,31,1737,1
72.66,53,473,1656,566,215,100,153,82,31,1732,1
72.87,53,473,1647,561,214,100,153,82,31,1729,1
73.08,52,472,1638,556,212,99,153,82,31,1725,1
73.27,52,472,1630,551,211,98,152,81,31,1721,1
73.46,52,471,1621,546,209,98,152,81,31,1717,1
73.68,52,471,1613,541,207,97,151,81,30,1713,1
73.89,52,471,1604,536,206,97,151,81,30,1709,1
74.11,51,470,1595,531,204,96,151,80,30,1706,1
74.31,51,470,1587,526,202,96,150,80,30,1702,1
74.5,51,470,1578,522,201,95,150,80,30,1698,1
74.71,51,469,1570,517,199,94,149,79,30,1694,1
74.9,51,469,1561,512,198,94,149,79,30,1691,1
75.13,51,469,1554,507,196,93,148,79,29,1687,1
75.35,50,468,1544,503,194,93,148,78,29,1684,1
75.54,50,468,1537,498,193,92,148,78,29,1680,1
75.74,50,468,1529,494,191,92,147,78,29,1676,1
75.94,50,467,1522,489,190,91,147,78,29,1673,1
76.15,50,467,1514,485,188,91,147,77,29,1670,1
76.35,50,467,1506,480,187,90,146,77,29,1666,1
76.56,49,466,1497,476,185,90,146,77,29,1662,1
76.76,49,466,1489,471,184,89,145,77,28,1659,1
76.96,49,466,1481,467,182,89,145,76,28,1655,1
77.17,49,465,1473,462,181,88,145,76,28,1652,1
77.39,49,465,1465,457,179,87,144,76,28,1648,1
77.59,49,465,1457,453,178,87,144,75,28,1645,1
77.78,48,464,1450,449,176,86,143,75,28,1641,1
77.99,48,464,1442,445,175,86,143,75,28,1638,1
78.18,48,463,1433,440,173,85,143,74,28,1634,1
78.37,48,463,1426,436,172,85,142,74,27,1631,1
78.58,48,463,1417,431,170,84,142,74,27,1627,1
78.8,47,462,1409,427,168,84,141,74,27,1623,1
79.03,47,462,1401,422,167,83,141,73,27,1619,1
79.22,47,462,1393,417,165,83,141,73,27,1616,1
79.42,47,461,1385,413,164,82,140,73,27,1612,1
79.61,47,461,1376,408,162,81,140,73,27,1608,1
79.82,47,461,1367,402,160,81,139,72,26,1604,1
80.04,46,460,1357,397,158,80,139,72,26,1600,1
80.24,46,460,1347,391,156,79,138,71,26,1595,1
80.44,46,459,1336,385,154,79,138,71,26,1590,1
80.64,46,459,1325,378,152,78,137,71,26,1586,1
80.85,45,458,1313,371,150,77,137,70,25,1580,1
81.05,45,458,1300,364,147,76,136,70,25,1575,1
81.26,45,457,1286,355,144,75,135,69,25,1570,1
81.46,44,456,1270,346,141,75,135,69,25,1563,1
81.67,44,456,1252,336,137,73,134,68,25,1556,1
81.86,44,455,1232,324,134,72,133,67,24,1547,1
82.06,43,454,1211,312,129,71,132,67,24,1539,1
82.27,43,453,1189,299,125,69,131,66,24,1530,1
82.48,42,453,1167,286,121,68,130,65,23,1521,1
82.69,42,452,1146,274,117,66,129,64,23,1512,1
82.9,41,451,1125,262,113,65,128,64,23,1504,1
83.11,41,450,1107,252,109,64,127,63,22,1496,1
83.32,40,449,1089,242,105,62,126,62,22,1487,1
83.52,40,449,1074,233,102,61,125,62,22,1480,1
83.71,40,448,1062,226,100,60,125,62,21,1473,1
83.91,40,448,1050,219,99,60,124,61,21,1466,1
84.13,39,447,1041,214,97,59,124,61,21,1461,1
84.34,39,447,1034,210,95,59,123,60,21,1457,1
84.55,39,447,1028,207,94,58,123,60,21,1453,1
84.75,39,446,1023,205,93,58,123,60,21,1451,1
84.97,39,446,1019,202,93,57,122,60,21,1448,1
85.19,39,446,1014,199,92,57,122,60,20,1446,1
85.39,39,446,1010,198,91,57,122,60,20,1443,1
85.58,38,445,1006,195,90,56,122,59,20,1441,1
85.8,38,445,1001,193,89,56,121,59,20,1439,1
86.03,38,445,996,190,88,56,121,59,20,1436,1
86.23,38,444,991,187,87,55,121,59,20,1435,1
86.4,38,444,986,184,86,55,121,59,20,1432,1
86.61,38,444,980,180,85,55,120,59,20,1429,1
86.84,38,443,972,176,83,54,120,58,20,1426,1
87.05,38,443,964,171,81,53,119,58,20,1422,1
87.24,37,443,955,166,80,53,119,58,19,1419,1
87.43,37,442,946,160,78,52,118,57,19,1415,1
87.65,37,442,936,154,76,51,118,57,19,1410,1
87.85,37,441,925,148,73,50,117,57,19,1406,1
88.05,36,440,912,140,71,50,117,56,19,1401,1
88.26,36,440,899,132,68,49,116,56,19,1395,1
88.47,36,439,884,124,65,48,115,55,18,1389,1
88.69,35,438,870,115,62,47,115,54,18,1383,1
88.9,35,438,856,106,59,45,114,54,18,1376,1
