Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.84,62,438,1865,871,305,136,142,92,46,2482,1
60.03,62,440,1864,871,305,136,143,92,46,2494,1
60.23,61,440,1853,864,303,135,142,92,46,2489,1
60.44,61,439,1839,855,300,134,142,91,46,2482,1
60.64,61,438,1826,846,298,133,141,91,45,2474,1
60.84,61,438,1814,838,295,132,140,91,45,2467,1
61.05,60,437,1799,829,292,131,140,90,45,2460,1
61.27,60,436,1787,820,289,130,139,89,44,2455,1
61.45,60,436,1773,811,286,129,138,89,44,2447,1
61.65,59,435,1759,802,284,128,138,88,44,2440,1
61.86,59,434,1745,793,281,127,137,88,44,2433,1
62.06,59,434,1731,784,278,126,136,87,43,2427,1
62.27,58,433,1717,775,275,125,136,87,43,2420,1
62.46,58,432,1704,767,272,124,135,86,43,2415,1
62.67,58,431,1689,758,269,123,134,86,42,2407,1
62.87,58,431,1676,749,267,122,134,85,42,2401,1
63.08,57,430,1663,741,264,121,133,85,42,2394,1
63.27,57,430,1649,733,261,120,133,84,42,2388,1
63.49,57,429,1635,725,259,119,132,84,41,2383,1
63.7,56,429,1623,717,256,119,132,84,41,2378,1
63.89,56,428,1612,710,254,118,131,83,41,2374,1
64.1,56,427,1599,702,251,117,131,83,41,2368,1
64.31,56,427,1587,695,249,115,130,82,40,2362,1
64.52,55,426,1576,688,247,115,130,82,40,2358,1
64.73,55,426,1566,681,245,114,129,82,40,2353,1
64.93,55,425,1555,674,243,113,129,81,40,2349,1
65.13,55,425,1545,667,240,112,128,81,40,2344,1
65.35,54,424,1534,661,238,112,128,80,39,2339,1
65.54,54,424,1525,655,237,111,127,80,39,2336,1
65.73,54,424,1515,649,235,110,127,80,39,2331,1
65.93,54,423,1505,643,233,109,126,79,39,2327,1
66.15,53,422,1496,638,231,109,126,79,39,2323,1
66.36,53,422,1486,632,229,108,126,79,38,2318,1
66.55,53,422,1477,626,227,107,125,78,38,2315,1
66.77,53,421,1468,620,225,107,125,78,38,2312,1
67.0,53,421,1459,614,223,106,124,78,38,2308,1
67.19,52,421,1451,610,222,105,124,77,38,2306,1
67.37,52,420,1443,604,220,105,124,77,37,2302,1
67.56,52,420,1435,599,218,104,123,77,37,2299,1
67.79,52,419,1426,594,216,103,123,76,37,2295,1
68.0,52,419,1418,588,215,103,122,76,37,2292,1
68.2,51,418,1409,583,213,102,122,76,37,2289,1
68.38,51,418,1401,578,211,102,122,75,37,2286,1
68.59,51,417,1392,573,210,101,121,75,36,2284,1
68.81,51,416,1383,567,208,100,121,75,36,2279,1
69.03,51,416,1375,562,206,100,120,75,36,2277,1
69.22,51,416,1367,557,205,99,120,74,36,2275,1
69.4,50,415,1359,552,203,98,120,74,36,2272,1
69.61,50,414,1351,547,201,98,119,74,36,2269,1
69.84,50,414,1343,542,200,97,119,73,35,2266,1
70.03,50,413,1335,537,198,97,119,73,35,2263,1
70.21,50,413,1329,532,197,96,118,73,35,2262,1
70.41,50,412,1320,528,195,95,118,72,35,2258,1
70.61,49,412,1313,523,194,95,118,72,35,2257,1
70.85,49,411,1305,518,192,94,117,72,35,2255,1
71.06,49,411,1298,513,191,94,117,72,34,2253,1
71.25,49,410,1291,509,189,93,117,71,34,2251,1
71.44,49,410,1284,504,188,93,116,71,34,2248,1
71.66,49,409,1277,500,186,92,116,71,34,2248,1
71.87,48,409,1270,496,185,92,116,71,34,2246,1
72.07,48,409,1263,491,183,91,115,70,34,2243,1
72.28,48,408,1256,487,182,91,115,70,34,2240,1
72.48,48,407,1248,482,181,90,115,70,33,2239,1
72.69,48,407,1241,478,179,89,114,70,33,2239,1
72.91,48,407,1235,474,178,89,114,69,33,2237,1
73.12,47,406,1228,469,176,88,114,69,33,2235,1
73.31,47,406,1221,466,175,88,114,69,33,2233,1
73.51,47,405,1215,461,174,87,113,69,33,2232,1
73.73,47,405,1207,457,172,87,113,68,33,2230,1
73.95,47,405,1200,452,171,86,113,68,32,2227,1
74.15,47,404,1193,448,170,86,112,68,32,2224,1
74.33,46,404,1187,444,168,85,112,68,32,2224,1
74.53,46,403,1181,440,167,85,112,67,32,2218,1
74.73,46,403,1174,436,166,85,111,67,32,2220,1
