consumableId,415,445,480,515,555,590,630,680,NIR,CLR,DARK
7b175ea1-ac37-496f-bd89-a0fc8a8e1fb9,34.2,20.6,33.8,34,34.1,36,33.9,36.6,26.9,29.1,null
f8b19293-ace2-497d-9d9d-7bc5bbf3d536,32.1,32.4,32.4,32.3,32.3,32.2,31.7,32.7,31.9,30.6,null
f5bb09cf-d614-491b-a4f6-07cc7167894c,31,27.5,32.8,32.8,32.7,32.1,30.6,32.2,31,30.6,null
7b746592-72ec-40b3-8b10-deec98c0678b,32.8,30.2,31.9,32.1,32,32.1,30.8,32.8,30.8,30.6,null
42f7169c-587a-4e8a-a50e-d14b291e5267,33.1,12.5,32.9,33,33,33.3,33.1,33.1,31.7,31.6,null
245912af-358e-4c48-9ab0-b8e8e064891d,32.1,32.9,31,31,31,31.2,31.6,31.6,31.2,20.8,null
a02ede44-9c49-4b24-9862-dddd02e63f7b,26.8,20.7,29.3,29.5,29.4,29.7,29.1,27.3,29.8,27.5,null
32acb08d-7fd9-45c9-b0ec-e537ac5cfba0,33.3,34,32.9,32.7,32.8,32.8,32.3,32.5,33.6,32.7,null
1f0a8d72-62af-4863-8f2b-acbcdaee9b92,30,26.9,30.7,31.2,30.7,31,15.5,16.1,30.6,15.1,null
c4af5013-d551-4c71-96d3-23503be62047,23.5,37.1,36.5,35.6,35.9,36.6,29.8,37.7,35.4,36,null
a91e856b-a3df-4232-a0ea-5935c4c1db94,null,30.5,31,30.9,30.9,30.9,30.8,30.9,31,30.9,null
cfeaa628-ba6d-4845-982c-7a7b90960bfe,30.4,12,30.4,30.4,30.4,30.6,31.2,31,30.2,31,null
cf017043-a73b-40f9-aa4c-edf6d1ad6fd9,30.4,29.4,30.8,30.9,30.8,31.2,31,31.8,29.9,30.2,null
896878c7-12cd-4be5-9d90-b95f7dd4a792,32.1,34.9,32.1,31.9,31.9,31.8,31,32.1,32.8,31.8,null
302b4dbd-f97a-4a51-b245-d7d912908290,34.2,30,34,34,33.9,35,33.3,35.9,32.8,33.8,null
47c2eb08-0540-46f1-9bde-863468e9da3d,32.7,32.9,33,33.1,33.1,33.5,33.7,33,32.4,34.1,null
5e23baa0-86f3-447d-adf7-44c7bfd55bba,30,19.4,30.9,30.8,30.9,30.5,31.6,30.5,31.5,30.5,null
20f7e796-3188-4406-a0e4-9db566da35be,32.5,13.2,32.4,32.8,32.8,33.1,32.4,32.9,30.9,31.2,null
9d5c1120-9410-4684-ab22-aa0c39f0fed6,30.8,23.7,30.8,30.8,30.8,30.9,30.2,30.8,31,30.2,null
9a97d5e5-961c-460b-b4b3-2446edb75c4b,31.2,12.1,31.9,31.7,31.9,32.5,27.5,27.5,28,27,null
8fa85738-74be-48f8-a481-8eac0a0df98b,31,32.7,32,31.8,31.9,31.8,31.7,32,31.8,31.9,null
dcd503db-ba6f-4d58-b3c1-1ccb9a4181c3,29.2,13,28.3,28.2,28.1,28.5,25.2,28.7,26.8,27.5,null
ccf1bd65-3595-4adb-9e09-012c76ddc91c,31.2,22.7,33.9,34.2,33.9,35.6,26.6,35.8,33.5,null,null
5fb62b05-4ff9-4516-80ca-06c6f64f1462,33.1,29.9,33.3,33.3,33.1,34,34.1,34.5,33.7,32.7,null
cc644302-e148-41a7-9d5e-f555cfe452ac,null,14.7,33.7,33.3,33.7,34,33.9,34.7,33,33.7,null
5c17a84f-7858-4f7b-9df5-5156e254da59,34.8,12,34.1,33.9,33.9,34,35.5,35.4,34.6,32.8,null
1b3cdc41-f236-4698-8155-d3694fdb321d,30.9,34.1,31.4,31.2,31.7,31.2,31.7,31.6,32,31.5,null
f8924331-427b-4943-a092-fd7ee8937aef,31.2,29.1,32.2,32.2,32.1,32,31.8,32,30.9,30.9,null
105c240e-9c5f-4bf3-88eb-60c8294303d7,32,32.1,32,31.9,32,31.6,32.3,32,32.3,32,null
2e015cb3-ab69-4d0d-8fb8-d07e08d40f5c,32.5,28.3,33.8,33.7,33.7,34.2,33.3,34.1,31.7,32.8,null
89b5ffcb-6a50-4fd5-b551-54a5f1a3a4cf,28.7,26.4,30.6,30.9,30.9,30.4,28.3,29.6,30.2,29.7,null
e26e04a3-0dbf-4b77-bbfa-382baef08070,31.2,33.8,32.7,32.4,32.8,32.5,33.1,32.3,33,29.8,null
464bbaab-1546-4a88-ab0e-d9e45ce13033,30.5,21.2,30.2,30.4,30.4,29.3,29.2,null,29.4,28.2,null
50a32dd1-86f0-49b8-b12f-3271023e39c7,31,15.7,30.2,30,30.6,31,14.8,30.6,31.6,28.9,null
8e6506d9-6481-4c00-9709-a08063cbde65,29.7,28.9,29.6,29.5,29.5,29.8,29.7,30.2,29.3,29.3,null
