Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.84,58,427,1505,716,277,159,132,115,44,1890,0
60.04,58,426,1493,710,275,158,131,114,44,1884,0
60.25,58,424,1480,703,273,157,131,114,43,1875,0
60.45,57,424,1467,696,270,156,130,113,43,1869,0
60.65,57,423,1454,689,268,155,130,113,43,1862,0
60.85,57,423,1441,682,265,154,129,112,43,1855,0
61.06,56,422,1428,675,263,154,129,111,42,1849,0
61.26,56,421,1415,668,261,153,128,111,42,1842,0
61.45,56,421,1402,661,258,152,127,110,42,1836,0
61.66,56,420,1388,653,256,151,127,110,42,1828,0
61.88,55,420,1374,646,253,150,126,109,41,1822,0
62.07,55,419,1360,639,251,149,126,109,41,1816,0
62.26,55,418,1346,632,248,148,125,108,41,1810,0
62.46,55,417,1332,624,246,147,125,108,40,1804,0
62.66,54,417,1319,617,243,146,124,107,40,1798,0
62.88,54,416,1304,610,241,146,123,106,40,1792,0
63.08,54,416,1290,603,238,145,123,106,40,1785,0
63.28,54,415,1276,596,236,144,122,105,39,1780,0
63.5,53,414,1263,589,233,143,122,105,39,1775,0
63.7,53,413,1250,583,231,142,121,104,39,1769,0
63.89,53,413,1237,576,229,141,121,104,39,1765,0
64.09,52,412,1224,570,226,140,120,103,38,1759,0
64.32,52,412,1211,563,224,140,120,103,38,1753,0
64.54,52,411,1199,557,222,139,119,102,38,1748,0
64.72,52,411,1189,552,220,138,119,102,38,1744,0
64.91,51,411,1177,546,218,138,118,101,38,1739,0
65.12,51,410,1166,541,216,137,118,101,37,1733,0
65.35,51,409,1155,536,214,136,117,101,37,1729,0
65.58,51,409,1146,531,213,135,117,100,37,1724,0
65.76,51,409,1136,526,211,135,117,100,37,1720,0
65.95,51,408,1127,521,209,134,116,99,37,1715,0
66.16,50,408,1118,517,208,134,116,99,36,1711,0
66.37,50,407,1109,512,206,133,115,99,36,1707,0
66.56,50,407,1101,507,204,133,115,98,36,1703,0
66.75,50,407,1093,503,203,132,115,98,36,1699,0
66.99,50,406,1084,498,201,131,115,98,36,1694,0
67.22,49,406,1076,494,200,131,114,97,36,1690,0
67.39,49,406,1069,490,199,130,114,97,35,1687,0
67.57,49,405,1062,486,197,130,114,97,35,1683,0
67.78,49,405,1055,482,196,129,113,96,35,1680,0
68.0,49,405,1046,477,194,129,113,96,35,1676,0
68.2,49,404,1038,473,193,128,113,96,35,1672,0
68.42,49,404,1030,468,191,128,112,95,35,1667,0
68.63,48,404,1023,464,190,127,112,95,34,1665,0
68.83,48,403,1015,460,189,127,112,95,34,1661,0
69.02,48,403,1013,459,188,127,111,95,34,1660,0
69.21,48,402,1006,455,187,126,111,94,34,1656,0
69.42,48,402,998,451,186,126,111,94,34,1653,0
69.63,48,402,990,447,184,125,110,94,34,1648,0
69.84,48,402,982,443,183,125,110,94,34,1643,0
70.06,47,401,974,439,181,124,110,93,33,1642,0
70.24,47,400,967,436,180,124,110,93,33,1636,0
70.44,47,401,960,432,179,123,109,93,33,1634,0
70.65,47,400,953,428,178,123,109,92,33,1631,0
70.87,47,400,945,424,176,122,109,92,33,1628,0
71.06,47,400,938,420,175,122,108,92,33,1624,0
71.25,46,399,931,417,174,121,108,91,33,1621,0
71.45,46,399,924,413,173,121,108,91,33,1618,0
71.68,46,398,916,409,171,120,107,91,32,1613,0
71.91,46,398,909,405,170,120,107,90,32,1610,0
72.11,46,398,902,402,169,119,107,90,32,1607,0
72.29,46,397,895,398,167,119,107,90,32,1604,0
72.5,46,397,888,394,166,118,106,90,32,1602,0
72.72,46,396,881,390,165,118,106,89,32,1598,0
72.94,45,396,874,387,164,117,106,89,32,1596,0
73.11,45,392,867,384,162,117,105,89,31,1588,0
73.33,45,392,860,380,161,117,105,88,31,1585,0
73.52,45,392,854,377,160,116,105,88,31,1582,0
73.72,45,391,847,373,159,116,105,88,31,1577,0
73.94,45,390,840,369,158,115,104,87,31,1575,0
74.17,44,390,833,365,156,115,104,87,31,1573,0
74.37,44,390,826,362,155,114,104,87,31,1569,0
74.54,44,390,820,359,154,114,103,87,30,1566,0
74.75,44,389,814,355,153,113,103,86,30,1562,0
74.95,44,388,807,352,152,113,103,86,30,1559,0
75.15,44,388,800,348,150,112,103,86,30,1556,0
75.42,44,388,794,345,149,112,102,85,30,1553,0
75.61,44,388,788,341,148,112,102,85,30,1550,0
75.79,43,387,781,338,147,111,102,85,30,1547,0
75.99,43,387,775,335,146,111,102,85,30,1545,0
76.21,43,385,768,332,145,110,101,84,29,1538,0
76.4,43,386,762,328,144,110,101,84,29,1536,0
76.59,43,384,756,326,143,109,101,84,29,1533,0
76.8,43,385,750,322,141,109,101,84,29,1530,0
77.02,43,384,744,319,140,109,100,83,29,1528,0
77.23,43,384,738,316,139,108,100,83,29,1525,0
77.4,42,384,732,313,138,108,100,83,29,1523,0
77.61,42,383,726,310,137,107,100,83,29,1520,0
77.83,42,383,720,307,136,107,99,82,28,1517,0
78.03,42,382,714,303,135,107,99,82,28,1513,0
78.23,42,382,708,300,134,106,99,82,28,1510,0
78.45,42,382,702,297,133,106,99,82,28,1507,0
78.67,42,381,696,294,132,105,98,81,28,1503,0
78.87,42,381,690,292,131,105,98,81,28,1501,0
79.06,41,380,684,289,130,105,98,81,28,1497,0
79.26,41,380,678,286,129,104,98,80,28,1494,0
79.45,41,380,672,282,128,104,98,80,28,1491,0
79.67,41,379,665,279,126,103,97,80,27,1487,0
79.9,41,378,658,275,125,103,97,80,27,1487,0
80.11,41,378,652,272,124,102,97,79,27,1484,0
80.31,41,378,645,269,123,102,96,79,27,1481,0
80.49,41,377,638,265,121,101,96,78,27,1477,0
80.69,40,369,628,262,120,101,95,78,27,1459,0
80.91,40,369,621,258,119,100,95,78,26,1457,0
81.1,40,369,613,253,117,100,95,77,26,1453,0
81.31,40,369,604,249,116,99,95,77,26,1451,0
81.5,39,369,594,244,114,98,94,77,26,1447,0
81.73,39,368,583,238,112,98,94,76,26,1441,0
81.94,39,367,572,232,110,97,93,76,25,1434,0
82.13,39,366,559,225,108,96,93,75,25,1428,0
82.34,38,365,546,218,105,95,92,75,25,1422,0
82.53,38,365,533,211,103,94,92,74,25,1415,0
82.75,38,364,520,204,100,93,91,73,24,1409,0
82.97,38,363,506,197,98,92,90,73,24,1402,0
83.15,37,362,494,190,97,91,90,72,24,1396,0
83.38,37,362,481,184,94,91,89,72,24,1390,0
83.58,37,360,470,178,92,90,89,71,23,1382,0
83.77,37,360,460,172,90,89,88,71,23,1378,0
83.96,36,359,451,167,89,89,88,71,23,1373,0
84.21,36,359,444,164,87,88,88,70,23,1369,0
84.46,36,359,438,160,86,88,88,70,23,1366,0
84.65,36,359,434,158,86,87,87,70,23,1363,0
84.83,36,358,431,156,85,88,87,70,23,1362,0
85.02,36,358,427,154,84,87,87,70,23,1361,0
85.24,36,358,423,152,84,87,87,69,22,1360,0
85.46,36,358,419,150,83,86,87,69,22,1358,0
85.65,36,358,415,148,82,87,87,69,22,1356,0
