Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.85,76,812,2294,1100,397,233,211,180,59,2419,1
60.05,76,809,2288,1097,396,232,210,179,59,2409,1
60.26,75,808,2273,1089,394,231,210,178,59,2400,1
60.45,75,807,2258,1079,391,229,209,178,58,2389,1
60.65,75,807,2240,1067,387,228,208,177,58,2380,1
60.85,74,807,2222,1054,384,227,208,176,58,2370,1
61.05,74,805,2209,1046,381,226,207,176,57,2359,1
61.26,73,804,2191,1035,377,224,206,175,57,2349,1
61.46,73,803,2173,1023,373,223,205,174,56,2338,1
61.67,73,802,2156,1011,370,222,204,174,56,2328,1
61.86,72,801,2139,1000,366,220,204,173,56,2318,1
62.07,72,801,2121,989,363,219,203,173,55,2309,1
62.27,72,799,2103,978,359,218,202,172,55,2298,1
62.47,71,799,2085,968,356,216,201,171,55,2288,1
62.67,71,798,2066,955,352,215,200,171,54,2279,1
62.87,70,797,2049,945,349,214,200,170,54,2270,1
63.07,70,796,2033,936,346,213,199,169,54,2261,1
63.27,70,795,2017,926,342,211,198,169,53,2251,1
63.5,69,795,1999,914,339,210,198,168,53,2243,1
63.71,69,794,1984,906,336,209,197,168,53,2233,1
63.89,69,793,1969,896,334,208,196,167,52,2226,1
64.09,68,792,1954,887,331,207,196,167,52,2219,1
64.29,68,792,1939,877,328,206,195,166,52,2210,1
64.52,68,791,1922,868,325,204,194,165,51,2199,1
64.72,67,790,1908,859,322,204,194,165,51,2191,1
64.92,67,789,1895,852,319,202,193,164,51,2183,1
65.13,67,788,1881,843,317,201,192,164,50,2176,1
65.36,66,788,1866,834,314,200,192,163,50,2169,1
65.57,66,787,1854,827,311,199,191,163,50,2162,1
65.76,66,786,1842,820,309,199,191,162,50,2155,1
65.95,65,786,1829,811,306,198,190,162,49,2149,1
66.16,65,786,1817,803,304,197,190,162,49,2143,1
66.37,65,785,1806,796,302,196,189,161,49,2136,1
66.57,65,784,1797,790,300,195,189,161,49,2130,1
66.77,65,783,1786,783,297,194,188,160,48,2123,1
66.98,64,783,1775,775,295,194,188,160,48,2118,1
67.2,64,782,1766,770,293,193,187,160,48,2112,1
67.38,64,782,1756,763,291,192,187,159,48,2107,1
67.59,64,781,1746,757,289,191,186,159,47,2101,1
67.79,63,781,1736,750,287,191,186,159,47,2096,1
68.0,63,780,1725,744,285,190,185,158,47,2090,1
68.2,63,780,1716,738,283,189,185,158,47,2085,1
68.4,63,779,1705,731,281,188,184,157,47,2079,1
68.62,62,778,1694,724,279,188,184,157,46,2072,1
68.82,62,778,1685,718,277,187,184,157,46,2068,1
69.03,62,777,1675,712,275,186,183,156,46,2063,1
69.23,62,776,1665,706,273,185,183,156,46,2057,1
69.42,62,776,1654,698,271,185,182,156,45,2052,1
69.63,61,777,1641,689,269,184,182,155,45,2048,1
69.85,61,774,1634,687,267,183,181,155,45,2041,1
70.05,61,774,1625,680,265,182,181,154,45,2036,1
