Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.83,75,472,1754,890,338,182,192,121,46,1644,0
60.04,74,469,1748,888,337,181,191,120,46,1634,0
60.24,74,468,1733,880,334,180,190,120,46,1624,0
60.45,74,467,1718,871,331,179,190,119,46,1613,0
60.65,73,466,1702,861,328,178,189,119,45,1603,0
60.84,73,465,1687,852,325,177,188,118,45,1594,0
61.03,73,465,1672,844,322,175,187,118,44,1584,0
61.25,72,464,1657,834,319,174,186,117,44,1574,0
61.44,72,463,1642,825,316,173,186,116,44,1565,0
61.64,71,463,1627,815,313,172,185,116,43,1556,0
61.87,71,462,1611,806,310,171,184,115,43,1546,0
62.07,71,461,1597,798,308,170,184,115,43,1537,0
62.26,71,461,1583,789,305,169,183,114,42,1528,0
62.44,70,460,1569,781,302,168,182,114,42,1521,0
62.65,70,460,1554,772,299,167,181,113,42,1511,0
62.87,70,459,1542,764,297,166,181,113,41,1503,0
63.06,69,458,1528,756,294,165,180,112,41,1495,0
63.27,69,458,1515,748,291,164,179,112,41,1486,0
63.48,69,457,1501,739,289,163,179,111,40,1478,0
63.7,68,457,1489,732,287,162,178,111,40,1470,0
63.89,68,456,1476,725,284,161,178,111,40,1462,0
64.08,68,455,1464,717,283,160,177,110,39,1454,0
64.3,67,455,1451,709,280,159,176,110,39,1446,0
64.52,67,454,1439,701,278,158,176,109,39,1438,0
64.71,67,454,1427,694,276,157,175,109,39,1431,0
64.92,67,453,1414,687,273,156,175,108,38,1423,0
65.13,66,453,1403,680,271,155,174,108,38,1416,0
65.34,66,452,1392,673,269,154,173,107,38,1409,0
65.53,66,452,1381,667,267,154,173,107,37,1402,0
65.72,66,451,1370,660,265,153,172,107,38,1395,0
65.93,65,450,1359,654,262,152,172,106,37,1388,0
66.14,65,450,1348,647,260,151,171,106,38,1381,0
66.36,65,450,1336,639,258,150,171,105,37,1374,0
66.54,65,449,1326,634,256,150,170,105,37,1367,0
66.74,64,448,1316,628,254,149,170,105,37,1360,0
66.98,64,448,1305,621,252,148,169,104,37,1354,0
67.2,64,447,1296,615,250,147,169,104,36,1347,0
67.38,64,447,1287,611,248,147,168,104,35,1341,0
67.58,63,447,1277,605,246,146,168,103,36,1335,0
67.78,63,446,1267,598,244,145,167,103,36,1330,0
67.99,63,445,1258,593,243,145,167,103,35,1323,0
68.18,63,445,1249,588,241,144,166,102,35,1317,0
68.38,63,445,1239,582,239,143,166,102,35,1311,0
68.6,62,444,1229,576,237,143,165,102,35,1305,0
68.82,62,444,1220,570,235,142,165,101,35,1299,0
69.02,62,443,1211,565,233,141,164,101,34,1294,0
69.2,62,443,1202,560,232,141,164,101,34,1288,0
69.4,62,442,1194,555,230,140,164,100,34,1284,0
69.6,61,442,1185,550,228,139,163,100,34,1277,0
69.83,61,441,1176,544,227,139,163,100,34,1271,0
70.04,61,441,1167,539,225,138,162,99,33,1266,0
70.22,61,440,1159,534,223,137,162,99,33,1262,0
70.42,61,440,1150,529,222,137,161,99,33,1256,0
70.61,60,439,1142,524,220,136,161,99,33,1251,0
70.84,60,439,1134,519,219,136,161,98,33,1246,0
71.06,60,438,1126,514,217,135,160,98,32,1241,0
71.24,60,438,1119,510,216,135,160,98,32,1236,0
71.49,60,437,1109,504,214,134,159,97,32,1229,0
71.72,59,437,1100,499,212,133,159,97,32,1224,0
71.94,59,436,1091,494,210,133,158,97,32,1219,0
72.12,59,436,1084,489,209,132,158,97,31,1214,0
72.31,59,435,1076,485,207,132,158,96,31,1209,0
72.53,59,435,1068,480,206,131,157,96,31,1204,0
72.75,58,434,1060,475,204,130,157,96,31,1198,0
72.97,58,434,1053,471,203,130,156,95,31,1193,0
73.16,58,434,1048,469,202,129,156,95,31,1189,0
73.36,58,434,1041,465,201,129,156,95,30,1184,0
73.56,58,433,1034,461,200,128,155,95,30,1179,0
73.76,58,433,1026,456,198,128,155,94,30,1174,0
73.98,57,432,1019,452,197,127,155,94,30,1169,0
74.18,57,432,1012,448,195,127,154,94,30,1165,0
74.38,57,431,1005,444,194,126,154,94,29,1160,0
74.57,57,431,998,439,193,126,154,93,29,1155,0
74.78,57,430,991,435,191,125,153,93,29,1151,0
74.99,57,430,983,431,190,125,153,93,29,1146,0
75.21,56,430,976,426,188,124,152,93,29,1141,0
75.45,56,429,969,422,187,124,152,92,29,1136,0
75.64,56,429,962,418,186,123,152,92,28,1132,0
75.81,56,428,955,414,185,123,151,92,28,1128,0
76.0,56,428,949,410,183,122,151,92,28,1124,0
76.22,56,427,942,406,182,122,151,91,28,1119,0
76.44,55,427,935,402,181,121,150,91,28,1114,0
76.64,55,426,928,398,179,121,150,91,28,1110,0
76.83,55,426,921,393,178,120,150,91,27,1106,0
77.02,55,425,914,389,176,120,149,91,27,1101,0
77.23,55,425,907,385,175,119,149,90,27,1096,0
77.47,55,424,899,380,174,119,149,90,27,1092,0
77.67,54,424,892,376,172,118,148,90,27,1087,0
77.86,54,423,884,372,171,118,148,90,27,1083,0
78.05,54,423,877,367,169,117,147,89,26,1078,0
78.25,54,422,870,364,168,117,147,89,26,1074,0
78.47,54,422,862,360,166,116,147,89,26,1069,0
78.67,54,421,854,355,165,116,146,89,26,1065,0
78.89,53,420,847,351,163,115,146,88,26,1060,0
79.09,53,420,839,346,162,115,146,88,26,1055,0
79.28,53,419,832,342,161,114,145,88,25,1051,0
79.49,53,419,825,338,159,114,145,88,25,1047,0
79.69,53,418,817,333,158,113,144,87,25,1042,0
79.92,53,418,811,329,156,113,144,87,25,1037,0
80.12,52,417,804,325,155,112,144,87,25,1034,0
80.31,52,417,797,321,154,112,143,87,25,1029,0
80.52,52,416,789,316,152,111,143,86,24,1025,0
80.71,52,415,781,312,151,111,142,86,24,1020,0
80.93,52,415,773,307,149,110,142,86,24,1015,0
81.13,51,414,764,301,147,109,142,86,24,1010,0
81.34,51,413,755,296,145,109,141,85,24,1004,0
81.54,51,413,745,290,144,108,141,85,23,999,0
81.73,51,412,734,283,141,107,140,84,23,992,0
81.94,50,411,722,275,139,106,139,84,23,984,0
82.15,50,410,707,266,136,105,139,83,22,976,0
82.37,50,409,689,256,132,104,138,83,22,965,0
82.57,49,406,668,245,129,102,137,82,22,957,0
82.77,49,405,647,232,125,101,136,81,21,944,0
83.0,48,403,627,219,121,99,135,80,21,932,0
83.21,48,403,606,207,117,98,134,80,20,920,0
83.41,47,401,587,195,113,96,133,79,20,908,0
83.61,47,400,566,182,109,94,132,78,19,895,0
83.8,46,399,547,170,105,93,131,78,19,882,0
84.01,46,398,527,158,101,91,130,77,18,868,0
84.23,45,397,507,146,97,90,129,76,18,854,0
84.45,45,395,487,134,93,88,128,75,17,841,0
84.65,44,394,469,124,90,87,127,75,17,829,0
84.84,44,393,455,117,87,86,126,74,17,819,0
85.04,44,393,444,111,85,85,125,74,16,811,0
85.27,44,392,437,106,83,85,125,74,16,806,0
85.5,44,391,433,104,82,85,125,74,16,803,0
85.7,43,391,430,102,82,85,125,74,16,800,0
85.93,43,390,428,101,81,84,124,74,16,798,0
86.11,43,390,426,100,81,84,124,74,16,796,0
86.33,43,389,424,99,80,84,124,73,16,795,0
86.54,43,389,423,98,80,84,124,73,16,794,0
86.71,44,389,421,97,80,84,124,73,16,793,0
86.9,43,388,419,96,79,84,124,73,16,792,0
87.12,43,388,417,94,79,84,124,73,16,790,0
87.35,43,387,415,93,78,84,124,73,15,790,0
87.55,43,387,413,92,78,84,123,73,15,788,0
87.76,43,386,411,91,77,83,123,73,15,786,0
87.94,43,386,408,89,77,83,123,73,15,786,0
88.12,43,385,406,88,76,83,123,73,15,784,0
88.34,43,385,403,86,76,83,123,73,15,782,0
88.56,43,384,400,84,75,83,123,73,15,779,0
88.78,43,384,396,82,74,82,122,73,15,778,0
88.98,42,383,393,80,74,82,122,73,15,775,0
89.19,43,383,389,77,73,82,122,73,15,773,0
89.38,42,382,385,75,72,82,122,72,15,771,0
89.59,42,381,381,73,71,81,121,72,15,768,0
89.8,42,381,377,70,70,81,121,72,15,766,0
90.0,42,380,373,68,69,81,121,72,14,763,0
90.19,42,380,369,65,69,81,121,72,14,760,0
90.39,42,379,365,63,68,80,120,72,14,757,0
90.6,41,378,361,61,67,80,120,72,14,754,0
90.8,42,377,357,58,66,80,120,72,14,751,0
91.01,41,377,353,56,65,80,119,72,14,749,0
91.23,42,376,349,54,64,79,119,71,14,746,0
91.45,42,375,346,52,64,79,119,71,14,744,0
91.65,41,375,344,51,63,79,119,71,14,742,0
91.82,42,374,342,50,63,79,119,71,14,741,0
92.02,42,374,341,49,63,79,119,71,14,739,0
92.22,42,373,340,49,62,79,118,71,13,739,0
92.47,42,373,339,48,62,79,118,71,13,738,0
92.67,42,372,338,48,62,79,118,71,13,737,0
92.88,41,371,338,48,62,79,118,71,13,736,0
93.1,42,371,337,47,62,79,118,71,13,736,0
93.28,42,370,336,47,61,79,118,71,13,734,0
93.5,42,369,336,47,61,79,118,71,13,734,0
93.71,42,369,336,47,61,79,118,71,13,734,0
93.9,41,368,335,47,61,79,117,71,13,733,0
94.1,41,367,335,47,61,79,117,71,13,732,0
94.3,40,367,334,46,61,79,117,71,13,732,0
94.49,41,366,334,46,61,79,117,71,13,732,0
