Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.85,64,348,1403,711,277,163,164,108,38,1464,0
60.04,63,346,1397,709,276,162,163,108,38,1454,0
60.24,63,345,1384,701,274,161,162,107,37,1445,0
60.45,63,344,1370,692,271,160,161,107,36,1437,0
60.65,62,343,1356,684,268,159,160,106,37,1428,0
60.85,62,342,1343,676,265,158,160,106,37,1419,0
61.04,62,342,1329,668,263,157,159,105,37,1411,0
61.25,62,341,1316,660,260,156,158,105,36,1402,0
61.45,61,341,1303,652,257,155,158,105,36,1394,0
61.65,61,340,1290,644,254,154,157,104,36,1386,0
61.87,61,339,1278,636,252,153,156,104,35,1378,0
62.08,60,339,1265,628,249,152,156,103,35,1370,0
62.27,60,339,1252,621,247,151,155,103,35,1363,0
62.45,60,338,1241,614,245,151,154,102,35,1356,0
62.65,59,337,1229,607,242,150,154,102,34,1348,0
62.87,59,337,1217,600,240,149,153,102,34,1341,0
63.07,59,336,1205,593,238,148,153,101,34,1334,0
63.27,59,336,1194,586,236,147,152,101,33,1327,0
63.49,58,335,1182,579,234,146,151,100,33,1320,0
63.7,58,334,1172,573,232,145,151,100,33,1312,0
63.9,58,333,1162,567,230,145,150,99,33,1305,0
64.09,58,333,1152,561,228,144,150,99,32,1299,0
64.32,57,332,1142,555,226,143,149,99,32,1292,0
64.51,57,332,1133,549,224,142,149,99,32,1286,0
64.7,57,331,1123,543,222,142,148,98,32,1281,0
64.92,57,331,1114,537,220,141,147,98,31,1275,0
65.13,56,331,1105,532,218,140,147,98,31,1268,0
65.35,56,330,1096,527,216,140,147,97,31,1263,0
65.53,56,330,1088,522,215,139,146,97,31,1258,0
65.71,56,329,1079,516,213,138,146,97,31,1252,0
65.93,56,329,1070,510,211,138,145,96,31,1246,0
66.15,55,328,1061,505,209,137,145,96,30,1240,0
66.36,55,328,1055,501,208,137,144,96,30,1234,0
66.54,55,327,1047,496,207,136,144,95,30,1229,0
66.75,55,327,1039,491,205,135,143,95,30,1223,0
66.97,55,326,1031,486,203,135,143,95,30,1218,0
67.19,54,326,1023,481,202,134,142,95,29,1213,0
67.39,54,325,1016,477,200,134,142,94,29,1208,0
67.56,54,325,1009,472,199,133,142,94,29,1201,0
67.77,54,325,1001,468,197,133,141,94,29,1196,0
67.98,54,325,994,463,196,132,141,94,29,1192,0
68.18,53,324,986,459,194,131,140,93,28,1187,0
68.4,53,324,978,454,193,131,140,93,28,1182,0
68.59,53,323,970,449,191,130,139,93,28,1177,0
68.81,53,323,962,445,190,130,139,93,28,1172,0
69.01,53,322,954,440,188,129,139,92,28,1167,0
69.21,53,321,945,435,186,129,138,92,27,1161,0
69.39,52,321,938,431,185,128,138,92,27,1154,0
69.6,52,320,931,427,184,128,137,91,27,1150,0
69.83,52,320,924,423,182,127,137,91,27,1145,0
70.04,52,319,917,418,181,127,136,91,27,1141,0
70.23,52,319,910,414,179,126,136,91,27,1136,0
70.41,51,318,903,410,178,126,136,90,26,1132,0
70.61,51,318,896,406,177,125,135,90,26,1127,0
70.86,51,317,889,402,175,125,135,90,26,1123,0
71.07,51,317,882,397,174,124,135,90,26,1119,0
71.25,51,317,876,394,173,124,134,89,26,1115,0
71.43,51,317,874,392,172,124,134,89,26,1102,0
71.66,51,316,867,388,171,123,134,89,26,1101,0
71.86,51,316,860,384,169,123,134,89,25,1097,0
72.06,51,315,854,380,168,122,133,89,25,1093,0
72.27,50,315,847,377,167,122,133,88,25,1089,0
72.47,50,314,841,373,166,122,132,88,25,1085,0
72.7,50,314,834,369,164,121,132,88,25,1081,0
72.92,50,314,827,366,163,121,132,88,25,1077,0
73.11,50,313,821,363,162,120,131,87,25,1073,0
73.3,50,312,815,359,161,120,131,87,24,1070,0
73.5,49,312,810,355,159,119,131,87,24,1065,0
73.72,49,311,803,352,158,119,130,87,24,1062,0
73.94,49,311,798,348,157,118,130,87,24,1057,0
74.14,49,311,792,345,156,118,130,86,24,1053,0
74.33,49,310,786,341,155,118,129,86,24,1049,0
74.52,49,310,780,338,153,117,129,86,23,1046,0
74.73,48,309,774,334,152,117,129,86,23,1042,0
74.91,48,309,768,331,151,116,128,85,23,1039,0
75.13,48,308,762,327,150,116,128,85,23,1034,0
75.37,48,308,756,324,149,116,127,85,23,1030,0
75.58,48,308,750,320,148,115,127,85,23,1027,0
75.76,48,307,745,317,146,115,127,85,23,1025,0
75.96,48,307,740,314,145,114,127,84,23,1021,0
76.18,47,306,734,310,144,114,126,84,22,1018,0
76.37,47,306,728,307,143,114,126,84,22,1014,0
76.57,47,306,723,304,142,113,126,84,22,1010,0
76.78,47,305,717,300,141,113,125,84,22,1007,0
76.98,47,305,711,297,140,112,125,84,22,1003,0
77.2,47,304,706,294,139,112,125,83,22,999,0
77.4,46,304,700,291,138,112,124,83,22,995,0
77.59,46,303,695,288,137,111,124,83,22,993,0
77.79,46,303,690,285,136,111,124,83,21,989,0
78.0,46,302,684,282,135,111,123,83,21,985,0
78.21,46,302,678,278,133,110,123,82,21,981,0
78.4,46,301,673,275,132,110,123,82,21,978,0
78.62,46,301,667,272,131,109,122,82,21,974,0
78.85,46,302,663,270,130,109,122,82,21,963,0
79.04,46,302,657,267,129,108,121,82,21,960,0
79.22,46,301,652,264,128,108,121,81,21,956,0
79.41,45,301,646,261,127,108,121,81,20,953,0
79.64,45,301,640,257,126,107,120,81,20,950,0
79.84,45,300,635,254,125,107,120,81,20,946,0
80.07,45,299,629,251,124,106,120,81,20,943,0
80.28,45,299,623,248,123,106,119,80,20,940,0
80.46,45,298,618,245,122,106,119,80,20,937,0
80.67,45,298,612,241,121,105,119,80,20,933,0
80.89,44,297,606,237,119,105,118,80,20,929,0
81.09,44,297,599,234,118,104,118,80,19,926,0
81.29,44,296,593,230,117,104,118,79,19,922,0
81.49,44,295,586,226,116,103,117,79,19,918,0
81.7,44,295,578,221,114,103,117,79,19,914,0
81.88,43,294,571,216,112,102,116,79,19,909,0
82.08,44,294,561,210,110,102,116,78,18,903,0
82.3,44,293,549,203,108,101,115,78,18,896,0
82.51,43,292,536,195,105,100,114,77,18,889,0
82.72,43,291,523,187,103,99,114,77,18,881,0
82.93,43,289,509,178,100,98,113,76,17,871,0
83.14,41,289,496,170,97,97,112,76,17,862,0
83.35,41,288,482,162,95,96,111,75,17,854,0
83.54,42,287,469,154,92,95,111,75,16,846,0
83.74,41,286,455,146,89,94,110,74,16,837,0
83.95,41,285,440,137,86,93,109,74,16,827,0
84.18,41,284,425,128,83,92,108,73,15,816,0
84.39,39,283,411,121,81,91,108,73,15,807,0
84.6,40,282,397,114,78,90,107,72,15,798,0
84.8,40,281,386,107,76,89,106,72,14,790,0
84.99,40,280,377,102,74,88,106,72,14,785,0
85.21,39,280,370,98,73,88,105,72,14,781,0
85.42,39,280,366,95,72,88,105,71,14,778,0
85.63,39,279,363,94,71,88,105,71,14,775,0
85.84,39,279,361,92,71,87,105,71,14,773,0
86.05,39,278,359,91,70,87,105,71,14,772,0
86.29,39,278,358,90,70,87,104,71,14,771,0
86.5,39,277,356,90,70,87,104,71,14,770,0
86.67,39,277,354,89,69,87,104,71,14,768,0
86.85,39,276,352,88,69,87,104,71,14,766,0
87.03,39,276,351,87,69,87,104,71,14,765,0
87.25,39,276,349,86,68,87,104,71,14,764,0
87.49,39,275,347,85,68,87,104,71,14,763,0
87.7,39,275,344,83,67,87,103,71,13,761,0
87.89,38,274,342,82,67,86,103,71,13,759,0
88.07,38,274,340,81,66,86,103,70,13,757,0
88.29,38,273,337,79,66,86,103,70,13,755,0
88.51,38,272,334,78,65,86,102,70,13,752,0
88.72,38,272,331,76,65,86,102,70,13,750,0
88.94,38,271,328,74,64,86,102,70,13,747,0
89.14,38,271,324,72,63,85,102,70,13,745,0
89.35,38,270,322,70,62,85,101,70,13,743,0
89.55,38,269,317,68,62,85,101,70,13,741,0
89.73,38,269,315,66,61,85,101,70,13,739,0
89.93,37,268,311,64,60,84,101,69,13,736,0
90.12,37,268,307,62,60,84,101,69,13,734,0
90.35,37,267,303,59,59,84,100,69,12,731,0
90.59,37,267,300,57,58,84,100,69,12,729,0
90.77,37,266,296,55,57,84,100,69,12,726,0
90.96,37,265,292,53,57,83,99,69,12,724,0
91.15,37,265,289,51,56,83,99,69,12,721,0
91.38,37,264,285,49,55,83,99,69,12,719,0
91.59,37,264,282,48,55,83,99,69,12,717,0
91.76,36,263,280,47,54,83,99,68,12,716,0
91.99,36,263,279,46,54,83,98,68,12,714,0
92.2,36,262,277,45,53,83,98,68,12,712,0
92.4,36,262,276,45,53,83,98,68,12,711,0
92.59,36,260,275,44,53,83,98,68,12,709,0
92.8,36,260,274,44,53,82,98,68,12,709,0
93.02,36,256,272,44,53,82,97,68,12,708,0
93.25,36,256,271,43,52,82,97,68,12,706,0
93.45,36,255,271,43,52,82,97,68,12,705,0
93.63,36,255,270,43,52,82,97,68,12,705,0
93.85,36,255,269,43,52,82,97,68,12,704,0
94.06,36,254,269,43,52,82,97,68,12,703,0
94.26,36,254,268,42,52,82,97,68,12,702,0
94.46,36,254,267,42,52,82,96,68,12,696,0
