Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.87,88,848,2863,1409,491,275,233,210,71,2949,1
60.05,88,843,2884,1429,493,274,232,208,72,2945,1
60.25,88,842,2867,1419,489,273,231,208,71,2935,1
60.43,88,841,2844,1406,485,272,230,207,72,2924,1
60.64,88,840,2828,1396,482,270,230,206,70,2913,1
60.85,87,839,2805,1381,478,269,229,206,71,2901,1
61.06,86,837,2786,1370,474,267,228,205,69,2889,1
61.27,87,837,2768,1359,471,266,227,204,70,2879,1
61.45,85,836,2749,1347,467,265,226,204,69,2867,1
61.66,86,835,2729,1335,463,263,225,203,69,2856,1
61.87,85,834,2707,1320,459,262,225,202,69,2845,1
62.06,85,833,2690,1310,456,260,224,202,68,2834,1
62.27,85,832,2669,1295,451,259,223,201,68,2824,1
62.47,84,831,2650,1283,448,257,222,200,67,2813,1
62.68,84,830,2632,1272,444,256,221,200,67,2803,1
62.89,83,830,2608,1256,440,254,220,199,66,2792,1
63.08,83,828,2593,1248,436,253,220,198,66,2782,1
63.28,83,827,2575,1236,433,252,219,198,66,2772,1
63.49,82,826,2549,1222,428,250,218,197,65,2756,1
63.71,82,825,2532,1212,425,249,217,196,65,2746,1
63.89,81,824,2515,1201,422,247,216,196,64,2738,1
64.09,81,823,2497,1191,419,246,216,195,64,2729,1
64.3,81,822,2479,1180,415,245,215,194,64,2720,1
64.51,80,822,2458,1168,412,244,214,194,63,2710,1
64.73,80,821,2443,1159,408,242,213,193,63,2701,1
64.92,79,820,2425,1148,405,241,213,193,63,2691,1
65.14,79,819,2407,1137,402,240,212,192,62,2683,1
65.37,79,819,2390,1127,399,239,211,191,62,2673,1
65.54,78,817,2376,1118,396,238,210,191,62,2664,1
65.74,78,816,2361,1110,393,237,210,190,61,2655,1
65.95,78,816,2342,1098,390,235,209,190,61,2648,1
66.17,77,815,2329,1091,387,234,209,189,60,2639,1
66.37,77,814,2314,1082,384,233,208,189,60,2630,1
66.56,77,813,2300,1073,381,232,207,188,60,2623,1
66.76,76,813,2285,1062,379,231,207,188,59,2614,1
66.99,76,812,2271,1054,376,230,206,187,59,2606,1
67.21,76,811,2258,1046,373,229,205,187,59,2599,1
67.4,75,810,2244,1038,371,228,205,186,59,2592,1
67.58,75,809,2231,1030,368,227,204,186,58,2584,1
67.8,75,809,2217,1021,366,226,204,185,58,2577,1
68.0,74,808,2201,1011,363,225,203,185,58,2570,1
68.2,74,807,2190,1004,361,224,203,184,57,2562,1
68.4,74,807,2177,996,358,223,202,184,57,2555,1
68.62,74,806,2171,993,357,223,202,184,57,2561,1
68.83,73,806,2156,983,354,222,201,183,57,2554,1
69.03,73,805,2144,976,352,221,201,183,57,2547,1
69.22,73,804,2130,968,349,220,200,182,56,2540,1
69.42,72,803,2118,960,347,219,200,182,56,2533,1
69.62,72,803,2105,952,344,218,199,181,56,2526,1
69.84,72,802,2090,943,342,217,198,181,55,2520,1
70.04,72,801,2077,935,340,216,198,181,55,2511,1
70.25,71,801,2065,928,337,216,197,180,55,2505,1
70.45,71,800,2051,918,335,215,197,180,55,2498,1
70.65,71,800,2036,910,333,214,196,179,54,2492,1
70.87,70,799,2025,903,331,213,196,179,54,2484,1
71.08,70,798,2015,897,329,212,195,178,54,2478,1
71.27,70,797,2002,889,326,211,195,178,53,2471,1
71.48,70,797,1990,882,324,210,194,177,53,2464,1
71.69,69,796,1977,875,322,209,194,177,53,2457,1
71.9,69,796,1963,866,319,208,193,177,53,2452,1
72.1,69,795,1952,859,317,207,193,176,52,2445,1
72.29,69,794,1940,853,315,207,192,176,52,2439,1
72.5,68,793,1928,845,313,206,192,175,52,2431,1
72.71,68,793,1915,837,310,205,191,175,52,2427,1
72.9,68,792,1903,829,308,204,191,175,51,2420,1
73.13,68,791,1892,823,306,203,190,174,51,2414,1
73.33,67,791,1880,816,304,202,190,174,51,2408,1
73.53,67,790,1869,809,302,202,189,173,51,2403,1
73.72,67,789,1857,802,299,201,189,173,50,2397,1
73.95,67,789,1844,793,297,200,188,173,50,2391,1
74.17,66,788,1833,787,295,199,188,172,50,2385,1
74.37,66,788,1821,779,292,198,187,172,50,2380,1
74.56,66,787,1810,773,291,197,187,171,49,2374,1
74.77,66,786,1798,766,288,196,186,171,49,2368,1
74.97,65,786,1786,758,286,196,186,171,49,2363,1
75.17,65,785,1775,752,284,195,185,170,48,2356,1
75.4,65,784,1764,745,282,194,185,170,48,2351,1
75.59,65,783,1752,738,280,193,184,169,48,2346,1
75.79,64,783,1741,731,277,192,184,169,48,2341,1
76.02,64,782,1727,723,275,191,184,168,47,2336,1
