Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.84,69,661,2018,971,346,208,188,160,53,2141,1
60.03,69,657,2027,982,347,208,187,159,53,2138,1
60.24,69,654,2010,972,345,206,187,159,53,2125,1
60.44,68,653,2001,966,342,206,186,158,52,2117,1
60.64,68,652,1988,958,340,205,185,158,52,2109,1
60.84,68,651,1975,950,337,204,185,157,52,2101,1
61.04,67,651,1962,941,335,202,184,157,51,2092,1
61.24,67,650,1948,931,333,201,183,156,51,2084,1
61.44,67,649,1934,922,330,200,183,156,51,2075,1
61.65,66,648,1922,915,327,199,182,155,51,2066,1
61.86,66,647,1908,905,324,198,181,155,50,2057,1
62.06,66,646,1893,896,321,197,180,154,50,2048,1
62.26,65,646,1880,887,319,196,180,154,49,2039,1
62.44,65,645,1864,875,316,195,179,153,49,2030,1
62.66,65,644,1849,867,313,194,178,153,49,2021,1
62.87,64,643,1833,857,309,192,177,152,48,2012,1
63.06,64,642,1820,848,307,191,177,152,48,2004,1
63.27,64,642,1804,838,303,190,176,152,48,1996,1
63.48,63,640,1789,829,300,189,175,150,48,1987,1
63.69,63,639,1776,820,297,188,174,150,47,1979,1
63.88,63,639,1762,811,295,187,174,150,47,1973,1
64.08,62,638,1747,802,292,186,173,150,47,1965,1
64.29,62,638,1734,795,289,185,172,149,46,1958,1
64.49,62,637,1721,787,287,184,172,149,46,1951,1
64.7,62,636,1708,778,284,183,171,149,46,1943,1
64.91,61,635,1695,771,282,182,171,148,46,1936,1
65.12,61,635,1682,762,279,181,170,148,45,1929,1
65.34,61,634,1672,756,277,180,170,147,45,1923,1
65.54,60,634,1660,748,275,179,169,146,45,1916,1
65.73,60,633,1649,741,273,179,168,146,45,1910,1
65.94,60,632,1638,735,271,178,168,146,44,1903,1
66.15,60,631,1628,729,269,177,167,145,44,1896,1
66.36,60,630,1618,723,267,176,167,146,44,1890,1
66.55,59,630,1608,716,265,176,166,145,44,1884,1
66.76,59,629,1597,709,263,175,166,144,44,1877,1
67.0,59,628,1587,704,261,174,165,144,43,1871,1
67.2,59,628,1579,698,259,173,165,144,43,1866,1
67.39,58,627,1570,693,257,173,164,144,43,1860,1
67.57,58,626,1561,687,256,172,164,143,43,1854,1
67.79,58,626,1551,680,254,171,163,143,42,1848,1
68.0,58,625,1543,674,252,170,163,143,42,1842,1
68.2,58,624,1533,669,250,170,162,142,42,1836,1
68.39,57,624,1524,663,248,169,162,142,42,1830,1
68.61,57,623,1515,656,246,168,161,142,42,1825,1
68.82,57,623,1505,651,244,168,161,141,41,1819,1
69.02,57,622,1496,644,242,167,160,141,41,1814,1
69.22,57,622,1488,639,241,166,160,141,41,1809,1
69.41,56,621,1479,634,239,166,160,141,41,1803,1
69.62,56,621,1469,627,237,165,159,140,41,1799,1
69.82,56,620,1461,622,236,164,159,140,40,1793,1
70.03,56,619,1453,618,234,164,158,140,40,1787,1
70.24,55,619,1444,613,232,163,158,139,40,1782,1
70.42,55,618,1435,607,230,162,157,139,40,1776,1
70.64,55,619,1426,601,229,162,157,139,40,1772,1
70.87,55,618,1416,594,227,161,157,138,39,1766,1
71.07,55,617,1409,590,225,161,156,138,39,1761,1
71.25,55,617,1401,585,224,160,156,138,39,1756,1
71.46,54,616,1393,580,222,159,155,138,39,1751,1
71.67,54,615,1384,574,221,159,155,137,39,1746,1
71.88,54,614,1376,569,219,158,154,137,38,1740,1
72.1,54,613,1368,565,217,157,154,137,38,1734,1
72.29,54,613,1360,559,216,157,154,136,38,1729,1
72.49,53,611,1352,554,214,156,153,136,38,1724,1
72.68,53,611,1343,547,212,156,153,136,38,1720,1
72.9,53,611,1336,544,211,155,152,136,38,1714,1
73.12,53,611,1328,538,209,155,152,135,37,1709,1
73.32,53,610,1320,534,208,154,152,135,37,1705,1
73.51,53,610,1313,528,206,153,152,135,37,1701,1
73.71,52,609,1306,524,205,153,151,135,37,1696,1
73.95,52,608,1297,519,203,152,151,134,37,1691,1
74.17,52,609,1289,513,202,152,150,134,37,1687,1
74.35,52,608,1282,509,200,151,150,134,36,1682,1
74.54,52,607,1274,504,199,151,149,134,36,1678,1
74.74,51,607,1266,499,197,150,149,133,36,1673,1
74.95,51,606,1258,494,195,149,149,133,36,1668,1
75.16,51,605,1250,489,194,149,148,133,36,1661,1
75.37,51,605,1242,484,192,148,148,132,35,1656,1
75.58,51,604,1235,480,191,148,147,132,35,1652,1
75.78,51,604,1227,474,189,147,147,132,35,1649,1
75.99,50,603,1220,470,188,146,147,132,35,1643,1
76.21,50,602,1212,465,186,146,146,131,35,1638,1
76.41,50,602,1205,461,185,145,146,131,35,1633,1
76.6,50,601,1198,457,184,145,146,131,34,1630,1
76.79,50,600,1190,452,182,144,145,131,34,1624,1
77.01,49,599,1183,447,181,144,145,130,34,1619,1
77.22,49,599,1175,443,179,143,144,130,34,1614,1
77.41,49,598,1168,438,178,143,144,130,34,1611,1
77.63,49,597,1161,434,177,142,144,129,34,1605,1
77.84,49,596,1154,430,175,142,143,129,34,1599,1
78.03,49,596,1147,425,174,141,143,129,33,1595,1
78.24,48,595,1140,421,172,141,142,129,33,1591,1
78.44,48,595,1133,416,171,140,142,128,33,1587,1
78.64,48,595,1126,412,170,140,142,128,33,1583,1
78.85,48,594,1118,406,168,139,141,128,33,1577,1
79.06,48,593,1111,402,167,139,141,128,33,1572,1
79.25,48,593,1104,398,165,138,140,127,32,1568,1
79.45,47,592,1097,394,164,137,140,127,32,1563,1
79.67,47,591,1089,389,162,137,140,127,32,1558,1
79.89,47,591,1081,384,161,136,139,127,32,1554,1
80.09,47,590,1075,380,160,136,139,126,32,1548,1
80.3,47,589,1067,376,158,135,139,126,32,1544,1
80.5,47,589,1060,370,157,135,138,126,31,1539,1
80.7,47,598,1058,366,156,135,142,126,31,1534,1
80.89,46,596,1049,360,154,134,141,126,31,1528,1
81.09,46,595,1040,355,152,133,141,125,31,1523,1
81.33,46,594,1030,348,150,133,140,125,31,1516,1
81.53,46,593,1019,341,148,132,139,124,30,1510,1
81.72,45,592,1007,334,146,131,139,124,30,1502,1
81.92,45,591,995,326,143,130,138,124,30,1496,1
82.11,45,590,980,317,140,129,137,123,30,1486,1
82.34,44,588,963,306,137,127,136,122,29,1475,1
82.55,44,587,947,295,133,126,135,122,29,1464,1
82.74,44,585,930,285,130,125,134,121,29,1454,1
82.94,43,584,913,274,126,123,133,120,28,1444,1
83.18,43,582,893,261,123,122,132,120,28,1430,1
83.39,42,581,874,249,119,120,131,119,27,1420,1
83.59,42,579,857,239,115,119,130,118,27,1409,1
83.79,42,578,841,228,112,119,129,118,27,1399,1
83.98,41,576,826,219,109,117,129,117,26,1388,1
84.2,41,574,810,210,106,117,128,117,26,1375,1
84.41,41,572,798,203,104,116,127,116,26,1366,1
84.62,40,572,789,197,102,114,127,116,25,1362,1
84.81,40,571,782,193,100,114,126,116,25,1356,1
85.03,40,570,775,189,99,114,126,115,25,1352,1
85.24,40,570,770,185,98,114,125,115,25,1349,1
85.45,40,570,765,182,97,113,125,115,25,1348,1
85.65,40,569,760,179,96,113,125,115,25,1344,1
85.86,39,568,754,176,95,112,124,115,25,1339,1
86.12,39,567,750,173,94,112,124,114,25,1337,1
86.33,39,566,745,170,93,112,124,114,24,1334,1
86.5,39,566,740,167,92,111,123,114,24,1331,1
86.69,39,565,735,164,91,111,123,114,24,1328,1
86.91,39,565,729,160,90,111,123,114,24,1326,1
87.14,39,564,723,156,89,110,122,114,24,1322,1
87.33,39,563,717,153,88,110,122,113,24,1318,1
87.52,38,563,712,149,87,109,121,113,24,1314,1
87.72,38,563,705,145,86,109,121,113,24,1312,1
87.93,38,561,697,141,84,108,121,113,23,1307,1
88.14,38,561,689,135,83,107,120,112,23,1303,1
88.36,38,561,681,130,81,107,120,112,23,1299,1
88.55,37,560,671,124,79,106,119,112,23,1294,1
88.75,37,559,662,118,77,105,118,111,23,1289,1
88.95,37,558,652,111,75,104,118,111,22,1284,1
89.16,37,557,642,105,73,104,117,110,22,1277,1
89.37,36,556,632,98,71,103,117,110,22,1271,1
89.6,36,556,622,92,69,102,116,110,22,1266,1
89.77,36,554,612,86,67,101,115,109,22,1259,1
89.98,36,554,604,80,65,101,115,109,21,1255,1
90.2,36,552,596,75,63,100,114,108,21,1248,1
90.38,35,551,588,70,61,99,114,108,21,1242,1
90.59,35,550,580,65,60,99,113,108,21,1235,1
90.78,35,548,573,61,58,98,113,108,21,1229,1
91.0,35,546,567,58,57,98,113,107,20,1224,1
91.23,35,545,564,55,56,97,112,107,20,1222,1
91.42,35,549,562,54,56,97,113,107,20,1220,1
91.64,35,551,561,53,56,97,114,107,20,1223,1
91.83,35,551,560,52,56,97,114,107,20,1223,1
92.03,35,549,559,51,55,97,114,107,20,1222,1
92.25,35,549,557,51,55,97,114,107,20,1222,1
92.44,35,547,556,50,55,97,113,107,20,1221,1
92.65,35,546,555,50,55,97,113,107,20,1221,1
92.85,34,545,553,50,55,97,113,107,20,1221,1
93.06,34,544,553,49,55,97,113,107,20,1220,1
93.29,34,543,552,49,54,97,113,107,20,1220,1
93.49,34,543,552,49,54,97,112,107,20,1222,1
93.68,34,542,554,49,54,97,112,107,20,1226,1
93.87,34,541,552,49,54,97,112,107,20,1225,1
94.09,34,541,551,48,54,97,112,106,20,1224,1
94.28,34,541,551,48,54,97,112,107,20,1225,1
94.5,34,540,550,48,54,97,112,106,20,1224,1
