Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
59.84,67,520,1919,987,356,188,160,134,51,1992,0
60.05,67,519,1902,977,353,187,159,133,51,1982,0
60.25,66,518,1885,968,350,186,158,132,50,1973,0
60.44,66,517,1869,959,347,185,158,131,50,1964,0
60.63,66,516,1853,950,344,184,157,131,50,1955,0
60.86,65,515,1835,940,342,183,156,130,50,1945,0
61.07,65,514,1819,931,339,182,155,129,50,1937,0
61.25,65,513,1803,922,336,181,155,129,49,1928,0
61.45,64,512,1787,913,333,180,154,128,48,1919,0
61.66,64,511,1773,904,330,179,153,128,49,1910,0
61.86,64,510,1756,895,327,178,152,127,48,1902,0
62.06,63,509,1742,887,324,177,152,126,48,1893,0
62.26,63,509,1727,879,322,176,151,126,48,1886,0
62.46,63,508,1711,871,319,175,150,125,47,1878,0
62.67,62,507,1696,862,316,174,150,124,47,1869,0
62.88,62,506,1681,854,313,173,149,124,47,1861,0
63.05,62,505,1666,846,311,172,148,123,46,1853,0
63.26,61,504,1652,838,308,171,148,123,46,1845,0
63.49,61,503,1637,830,305,170,147,122,46,1837,0
63.7,61,502,1623,823,303,169,146,122,46,1830,0
63.91,61,501,1610,815,301,168,146,121,45,1822,0
64.09,60,500,1597,809,298,167,145,120,45,1815,0
64.29,60,500,1583,801,296,167,145,120,45,1808,0
64.51,60,499,1569,793,293,166,144,119,45,1800,0
64.73,59,498,1557,787,291,165,143,119,44,1794,0
64.93,59,497,1544,780,289,164,143,118,44,1787,0
65.13,59,497,1532,774,287,163,142,118,44,1780,0
65.34,59,496,1520,767,284,162,142,117,43,1773,0
65.55,58,495,1507,760,282,162,141,117,43,1767,0
65.74,58,494,1495,753,280,161,140,116,43,1760,0
65.94,58,494,1484,747,278,160,140,116,43,1754,0
66.15,58,493,1471,740,276,159,139,115,42,1747,0
66.37,57,492,1459,734,274,158,139,115,42,1740,0
66.55,57,491,1449,728,272,158,138,114,42,1734,0
66.74,57,490,1437,721,269,157,138,114,42,1727,0
66.98,57,490,1425,715,267,156,137,113,41,1721,0
67.22,57,489,1414,708,265,156,137,113,41,1714,0
67.4,56,489,1404,703,264,155,136,113,41,1709,0
67.57,56,488,1394,698,262,154,136,112,41,1704,0
67.77,56,487,1383,691,260,153,135,112,40,1698,0
67.98,56,487,1372,686,258,153,135,111,40,1691,0
68.21,55,486,1361,679,256,152,134,111,40,1685,0
68.4,55,485,1351,674,254,151,134,111,40,1680,0
68.6,55,484,1339,668,252,151,133,110,39,1674,0
68.82,55,484,1329,662,250,150,133,110,39,1667,0
69.0,55,487,1320,657,248,150,133,109,39,1672,0
69.21,54,484,1310,651,246,149,132,109,39,1663,0
69.43,54,483,1299,645,245,148,132,108,39,1656,0
69.63,54,482,1289,639,243,148,131,108,38,1649,0
69.83,54,481,1279,634,241,147,131,108,38,1644,0
70.03,54,480,1269,628,239,146,130,107,38,1638,0
70.24,53,480,1259,622,237,146,130,107,38,1632,0
70.44,53,479,1249,617,235,145,129,106,38,1626,0
70.64,53,478,1239,611,234,144,129,106,37,1621,0
70.86,53,477,1229,606,232,144,128,106,37,1615,0
71.05,53,477,1220,601,230,143,128,105,37,1610,0
71.23,52,476,1210,596,228,142,127,105,37,1604,0
71.47,52,475,1200,590,226,142,127,104,36,1598,0
71.69,52,474,1189,584,225,141,126,104,36,1592,0
71.91,52,474,1180,579,223,140,126,103,36,1587,0
72.08,52,473,1171,574,221,140,126,103,36,1582,0
72.27,51,472,1162,569,220,139,125,103,36,1577,0
72.49,51,472,1153,564,218,139,125,102,36,1572,0
72.7,51,471,1144,559,216,138,124,102,35,1567,0
72.9,51,470,1135,554,215,138,124,102,35,1563,0
73.12,51,470,1126,549,213,137,124,101,35,1557,0
73.31,50,469,1117,545,212,136,123,101,35,1552,0
73.52,50,468,1108,541,210,136,123,101,35,1548,0
73.74,50,468,1099,536,208,135,122,100,34,1543,0
73.93,50,468,1090,531,207,135,122,100,34,1538,0
74.13,50,467,1081,526,205,134,122,99,34,1533,0
74.36,49,466,1073,521,203,133,121,99,34,1528,0
74.56,49,466,1063,516,202,133,121,99,34,1523,0
74.75,49,465,1055,512,200,132,120,98,33,1518,0
74.94,49,465,1047,507,199,132,120,98,33,1514,0
75.16,49,464,1038,502,197,131,120,98,33,1509,0
75.4,49,464,1029,497,196,131,119,97,33,1504,0
75.59,48,463,1021,492,194,130,119,97,33,1499,0
75.77,48,463,1013,488,193,130,118,97,32,1494,0
75.97,48,462,1004,483,191,129,118,96,32,1490,0
76.18,48,461,995,478,189,128,118,96,32,1484,0
76.39,48,461,986,473,188,128,117,95,32,1479,0
76.6,48,460,977,468,186,127,117,95,32,1474,0
76.79,47,459,969,464,185,127,116,95,32,1470,0
77.01,47,459,960,459,183,126,116,94,31,1465,0
77.23,47,458,951,454,182,126,116,94,31,1460,0
77.41,47,458,943,449,180,125,115,94,31,1456,0
77.63,47,457,934,444,178,124,115,93,31,1451,0
77.83,46,456,925,440,177,124,114,93,31,1445,0
78.01,46,456,917,435,175,123,114,93,30,1441,0
78.22,46,455,908,430,174,123,114,92,30,1436,0
78.43,46,455,899,425,172,122,113,92,30,1432,0
78.67,46,454,891,420,171,122,113,91,30,1426,0
78.88,46,454,882,416,169,121,112,91,30,1422,0
79.04,45,453,874,411,168,121,112,91,29,1417,0
79.22,45,452,865,406,166,120,112,90,29,1412,0
79.44,45,452,856,401,164,119,111,90,29,1407,0
79.69,45,451,846,396,162,119,111,90,29,1401,0
79.9,45,451,836,390,161,118,110,89,29,1396,0
80.08,44,450,826,385,159,117,110,89,28,1390,0
80.28,44,449,816,379,157,117,109,88,28,1384,0
80.5,44,449,805,373,155,116,109,88,28,1378,0
80.71,44,448,794,366,153,115,108,87,28,1372,0
80.89,44,447,782,360,150,114,108,87,27,1367,0
81.09,43,446,769,353,148,113,107,86,27,1359,0
81.31,43,445,755,345,145,113,107,86,27,1353,0
81.5,43,444,740,336,142,111,106,85,27,1344,0
81.7,42,443,722,327,139,110,105,84,26,1335,0
81.93,42,442,703,316,136,109,104,84,26,1325,0
82.14,42,441,685,306,132,108,103,83,25,1316,0
82.34,41,440,667,296,129,107,103,82,25,1307,0
82.53,41,438,650,288,126,106,102,82,25,1297,0
82.74,40,437,633,278,123,104,101,81,24,1288,0
82.97,40,436,616,268,119,103,100,80,24,1278,0
83.17,40,435,600,259,116,102,99,79,24,1269,0
83.38,39,434,584,251,114,101,99,79,23,1260,0
83.58,39,433,571,243,111,100,98,78,23,1252,0
83.79,39,433,559,236,109,99,97,78,23,1245,0
83.98,39,432,549,231,107,99,97,77,22,1239,0
84.18,39,432,541,226,105,98,97,77,22,1236,0
84.41,38,432,534,222,104,98,96,77,22,1230,0
84.62,38,431,529,219,103,97,96,76,22,1227,0
84.83,38,431,524,217,102,97,96,76,22,1224,0
85.03,38,431,519,214,101,97,96,76,22,1221,0
85.2,38,430,515,211,100,96,96,76,22,1218,0
85.45,38,431,509,208,99,96,95,76,22,1219,0
85.68,38,430,504,205,99,96,95,75,22,1215,0
85.88,38,430,499,203,97,95,95,75,21,1213,0
86.04,38,430,493,199,96,95,95,75,21,1209,0
86.29,37,429,487,196,95,94,94,75,21,1205,0
86.52,37,429,480,192,95,94,94,74,21,1200,0
86.72,37,428,472,188,93,93,94,74,21,1195,0
86.89,37,428,465,183,92,93,93,74,21,1191,0
87.08,37,428,456,179,90,92,93,73,20,1186,0
87.3,37,427,446,173,88,91,92,73,20,1180,0
87.53,36,426,435,167,86,91,92,72,20,1174,0
87.73,36,425,423,160,84,91,91,72,20,1168,0
87.89,36,425,411,152,81,90,91,71,20,1161,0
88.09,36,424,395,144,79,88,90,71,19,1153,0
88.33,35,423,379,134,75,87,89,70,19,1144,0
88.55,35,422,362,125,72,86,89,69,18,1134,0
88.74,35,421,346,116,69,84,88,69,18,1125,0
88.95,34,420,331,107,66,84,87,68,18,1116,0
89.14,34,419,318,99,63,83,86,67,18,1107,0
89.35,34,418,305,91,61,82,86,67,17,1099,0
89.57,33,418,292,84,58,81,85,66,17,1091,0
89.76,33,417,280,77,56,81,85,66,17,1084,0
90.0,33,416,269,71,54,80,84,65,16,1076,0
90.19,33,416,260,65,52,79,85,65,16,1071,0
90.37,33,415,253,61,51,79,83,65,16,1067,0
90.57,32,415,247,58,50,78,83,64,16,1062,0
90.8,32,415,242,55,49,78,83,64,16,1059,0
91.02,32,415,239,53,48,78,83,64,16,1055,0
91.22,32,415,237,52,48,77,84,64,16,1053,0
91.43,32,415,236,51,48,77,83,64,16,1052,0
91.62,32,414,235,51,47,77,83,64,15,1052,0
91.81,32,414,234,51,47,77,84,64,15,1050,0
92.01,32,415,234,50,47,77,83,64,15,1049,0
92.22,32,415,233,50,47,77,83,63,15,1048,0
92.46,32,415,233,50,47,77,84,63,15,1047,0
92.65,32,415,232,51,47,77,84,63,15,1047,0
92.83,32,415,232,49,47,77,83,63,15,1046,0
93.05,32,416,232,49,47,77,84,63,15,1046,0
93.28,32,416,231,49,47,76,83,63,15,1045,0
93.48,32,416,231,49,47,76,83,63,15,1046,0
93.68,32,416,231,49,47,76,83,63,15,1045,0
93.86,32,417,231,49,47,76,84,63,15,1046,0
94.11,32,417,230,49,47,76,83,63,15,1045,0
94.3,32,417,230,48,47,76,83,63,15,1045,0
94.49,32,417,230,48,47,76,83,63,15,1044,0
