Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.36,36,464,441,193,96,96,105,75,20,1185,0
65.23,35,459,409,172,90,94,102,74,19,1127,0
65.29,34,455,406,170,89,94,102,74,18,1104,0
65.37,34,454,401,167,88,93,101,73,18,1080,0
65.34,35,466,402,164,88,94,102,74,18,1092,0
65.36,35,465,405,167,88,94,102,74,18,1084,0
65.36,35,466,407,167,87,94,101,75,18,1076,0
65.44,34,462,408,169,89,94,102,74,18,1067,0
65.33,34,456,411,174,89,94,100,74,18,1068,0
65.31,34,456,414,172,89,95,100,74,18,1066,0
65.33,35,460,413,171,88,95,101,74,18,1134,0
65.35,34,456,411,172,88,95,100,74,18,1152,0
65.33,34,460,410,168,88,95,100,74,17,1093,0
65.37,34,458,414,170,88,95,100,75,17,1074,0
65.36,34,461,417,172,89,95,100,75,17,1074,0
65.42,34,455,411,170,88,94,100,74,17,1061,0
65.36,35,471,421,172,90,96,102,76,18,1112,0
65.4,35,478,419,169,89,96,103,76,18,1124,0
65.35,34,446,414,169,87,94,99,73,17,1053,0
65.38,34,455,411,169,88,95,100,74,17,1074,0
65.35,34,456,410,167,87,96,101,75,17,1074,0
65.4,34,450,408,168,87,94,99,74,17,1057,0
65.41,34,455,407,165,87,95,100,74,17,1073,0
65.44,34,468,415,169,88,95,102,75,17,1113,0
65.4,34,466,414,169,88,95,102,75,17,1120,0
65.45,34,461,415,172,88,95,101,74,17,1108,0
65.44,34,465,411,168,87,95,101,74,17,1119,0
65.41,34,460,411,169,87,95,101,74,17,1103,0
65.47,34,464,416,171,88,95,102,74,17,1122,0
65.42,33,441,408,168,87,93,99,72,16,993,0
65.46,33,433,405,169,86,93,98,71,16,971,0
65.48,33,434,407,169,87,93,98,72,16,972,0
65.46,33,434,410,171,87,93,98,72,16,970,0
65.46,33,433,412,172,88,93,98,72,16,964,0
65.47,34,451,426,177,89,94,99,73,17,989,0
65.49,34,444,433,185,91,94,98,73,17,975,0
65.51,34,454,449,193,94,96,101,74,17,992,0
65.47,35,457,460,201,95,97,101,74,18,1006,0
65.49,35,459,480,215,100,99,102,75,18,1014,0
65.47,36,458,514,238,106,101,103,76,19,1028,0
65.49,37,457,553,266,114,104,105,77,20,1047,0
65.48,38,465,595,290,124,108,108,80,20,1068,0
65.5,39,462,649,329,134,112,110,81,22,1084,0
65.47,40,468,715,372,147,117,113,84,23,1108,0
65.45,42,472,766,408,158,121,116,86,24,1142,0
