Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.28,39,393,756,259,133,79,122,67,33,1534,1
65.19,40,403,788,268,138,83,128,70,33,1586,1
65.27,41,389,805,285,144,86,129,71,32,1540,1
65.32,42,391,837,299,149,89,132,73,32,1547,1
65.38,42,391,855,305,152,91,134,74,32,1544,1
65.41,42,387,872,315,155,93,136,75,32,1553,1
65.33,42,384,879,323,156,94,136,75,31,1510,1
65.3,42,381,846,302,148,91,133,73,30,1482,1
65.29,41,380,804,271,139,89,134,72,29,1506,1
65.34,41,375,790,266,135,88,131,71,29,1461,1
65.31,40,369,778,261,134,87,130,71,28,1444,1
65.34,40,367,771,258,132,87,130,71,28,1426,1
65.34,40,369,776,258,132,87,131,71,28,1414,1
65.33,40,366,764,247,130,87,131,71,28,1460,1
65.35,40,364,769,253,130,87,130,71,27,1418,1
65.33,41,376,800,270,137,90,132,73,29,1424,1
65.37,41,381,781,250,132,89,132,73,28,1453,1
65.35,40,377,774,247,130,89,130,72,28,1444,1
65.36,41,373,784,257,133,91,129,73,28,1477,1
65.33,41,375,778,247,132,90,132,73,28,1456,1
65.38,41,372,773,245,131,89,131,73,28,1456,1
65.4,41,369,776,251,131,89,130,73,27,1431,1
65.39,41,364,777,252,131,90,131,73,28,1443,1
65.37,41,365,777,252,131,90,131,74,27,1455,1
65.4,41,371,781,248,130,90,132,74,27,1457,1
65.44,41,368,782,250,131,90,133,74,27,1442,1
65.38,42,374,780,240,130,90,135,75,27,1495,1
65.44,41,361,791,257,133,91,133,74,28,1423,1
65.41,42,373,826,273,139,94,136,76,28,1459,1
65.44,42,375,839,278,139,94,138,77,29,1485,1
65.46,43,370,869,298,146,95,137,77,29,1487,1
65.46,43,365,902,321,151,98,135,78,29,1515,1
65.45,44,370,933,330,157,100,138,79,30,1541,1
65.42,45,369,996,370,167,103,140,81,31,1537,1
65.43,46,369,1051,402,176,107,142,82,32,1555,1
65.48,48,368,1116,439,188,111,145,84,33,1581,1
65.47,49,370,1183,480,199,115,146,87,34,1642,1
65.37,51,373,1259,520,212,120,149,89,35,1658,1
65.35,53,371,1331,561,226,125,151,92,37,1666,1
65.37,54,373,1403,598,237,129,154,94,38,1694,1
65.4,56,378,1480,641,250,134,157,96,39,1729,1
65.36,57,376,1555,686,264,139,159,99,40,1742,1
65.39,59,376,1621,722,276,143,161,100,41,1770,1
65.36,61,381,1705,767,290,148,167,104,43,1816,1
65.41,63,390,1773,800,301,153,170,107,44,1868,1
