Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.33,37,557,496,218,107,106,114,82,23,1152,0
65.21,35,541,459,195,100,102,112,80,22,1108,0
65.24,35,538,453,189,98,102,112,80,21,1094,0
65.31,35,535,449,186,97,101,112,80,21,1084,0
65.37,35,534,443,180,96,100,111,79,21,1082,0
65.41,35,534,441,178,96,101,112,80,21,1086,0
65.38,35,549,450,180,97,101,113,80,21,1095,0
65.39,35,542,453,183,97,101,111,80,21,1084,0
65.43,35,549,453,180,97,101,114,81,21,1094,0
65.36,35,541,453,182,96,100,113,80,21,1080,0
65.39,35,539,452,181,96,100,112,80,21,1076,0
65.4,35,538,452,181,96,100,112,80,21,1074,0
65.39,35,537,451,180,95,100,112,80,20,1072,0
65.46,35,535,451,181,96,100,112,80,20,1069,0
65.43,35,535,450,180,96,100,112,80,20,1059,0
65.43,35,539,448,177,96,100,113,81,20,1064,0
65.4,35,536,447,177,95,99,113,80,20,1060,0
65.42,34,535,446,179,95,96,107,78,20,1084,0
65.43,35,538,444,179,95,97,112,79,20,1062,0
65.4,34,537,444,179,95,97,111,79,20,1058,0
65.45,35,546,445,177,94,98,113,80,20,1074,0
65.45,35,540,445,179,95,97,112,79,20,1064,0
65.48,35,547,448,179,95,98,114,80,20,1082,0
65.49,35,549,445,176,95,98,114,80,20,1084,0
65.48,35,549,446,176,95,98,114,80,20,1087,0
65.39,35,547,444,175,94,98,114,80,20,1083,0
65.39,35,548,445,176,93,98,114,80,20,1092,0
65.4,35,542,445,176,94,98,113,80,20,1087,0
65.46,35,536,445,178,94,97,113,79,20,1078,0
65.37,35,550,447,174,94,98,114,81,20,1101,0
65.43,35,541,448,177,94,98,114,80,20,1092,0
65.43,36,542,451,177,95,98,113,80,20,1128,0
65.4,36,544,457,183,96,99,114,81,20,1124,0
65.42,36,543,466,186,98,99,114,81,20,1134,0
65.41,36,539,474,195,99,99,114,81,20,1126,0
65.41,37,544,490,203,101,101,116,82,21,1151,0
65.47,38,549,520,221,107,103,117,83,21,1175,0
65.49,38,550,547,238,112,105,117,84,22,1193,0
65.43,40,554,595,268,122,109,120,86,23,1223,0
65.44,41,559,644,298,132,112,121,88,24,1262,0
65.45,42,555,711,344,145,117,124,90,26,1281,0
65.44,44,567,777,384,158,122,127,92,27,1329,0
65.47,46,574,870,437,175,128,133,96,29,1383,0
65.44,49,584,945,484,190,135,135,99,31,1445,0
65.45,51,584,1049,550,210,142,140,104,33,1502,0
