Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.3,57,1648,1053,47,63,83,187,138,16,1646,0
65.19,56,1623,1046,47,62,82,186,136,16,1641,0
65.3,56,1605,1039,46,61,82,185,135,16,1640,0
65.21,56,1592,1032,46,61,81,185,134,16,1638,0
65.34,56,1577,1027,46,60,81,184,133,15,1632,0
65.35,56,1567,1023,46,60,80,184,132,15,1631,0
65.28,56,1555,1019,45,60,80,184,131,15,1626,0
65.26,56,1547,1016,45,60,80,184,130,15,1625,0
65.32,55,1537,1014,45,59,80,183,130,15,1620,0
65.3,55,1531,1012,45,59,79,183,129,15,1619,0
65.34,55,1527,1010,45,59,79,183,129,15,1618,0
65.32,55,1521,1009,45,59,79,182,129,15,1615,0
65.33,55,1516,1007,44,58,79,182,128,15,1613,0
65.33,55,1510,1006,44,58,79,182,128,15,1610,0
65.34,55,1506,1005,44,58,79,182,128,15,1609,0
65.34,55,1504,1003,44,58,79,182,128,15,1608,0
65.36,55,1501,1002,44,58,78,182,127,15,1606,0
65.37,55,1497,1002,44,58,78,181,127,15,1603,0
65.39,55,1495,1001,44,58,78,181,127,15,1602,0
65.34,55,1493,1000,44,58,78,181,127,15,1602,0
65.34,55,1489,999,44,57,78,181,127,15,1601,0
65.3,55,1488,998,44,57,78,181,126,15,1599,0
65.3,55,1487,998,44,57,78,181,126,15,1599,0
65.39,55,1485,997,44,57,78,181,126,15,1597,0
65.39,55,1483,997,43,57,78,181,126,15,1596,0
65.33,54,1482,996,43,57,78,181,126,15,1595,0
65.34,54,1480,996,43,57,78,181,126,15,1595,0
65.36,54,1478,996,43,57,78,181,126,15,1593,0
65.33,54,1478,996,43,57,78,181,126,15,1593,0
65.31,54,1476,996,43,57,78,181,126,15,1592,0
65.39,54,1476,995,43,57,78,181,126,15,1592,0
65.29,54,1474,995,43,57,78,181,126,15,1590,0
65.31,54,1473,995,44,57,77,181,125,15,1590,0
65.34,54,1472,994,43,57,77,180,125,15,1589,0
65.3,54,1471,994,43,57,77,180,125,15,1588,0
65.31,54,1471,994,43,57,77,181,125,15,1589,0
65.28,54,1470,994,43,56,77,180,125,15,1587,0
65.28,54,1470,994,44,56,77,180,125,15,1587,0
65.27,54,1469,993,43,56,77,180,125,15,1586,0
65.39,54,1469,994,44,56,77,180,125,15,1587,0
65.42,54,1467,993,44,56,77,180,125,15,1585,0
65.33,54,1468,993,43,56,77,180,125,15,1585,0
65.32,54,1465,993,43,56,77,180,125,15,1583,0
65.39,54,1467,993,44,56,77,180,125,15,1585,0
65.37,54,1466,992,43,56,77,180,125,15,1584,0
