Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.25,32,582,688,33,37,42,131,46,14,2000,0
65.08,32,558,675,33,36,41,128,45,14,1972,0
65.18,31,540,664,32,35,40,128,43,14,1966,0
65.05,31,530,658,32,34,40,127,43,14,1944,0
65.24,31,526,657,32,35,39,126,43,14,1951,0
65.19,31,558,677,32,36,41,128,44,14,1941,0
65.08,31,532,662,32,34,40,127,43,14,1907,0
65.16,31,527,662,31,35,40,127,43,14,1902,0
65.16,31,538,673,31,35,40,128,44,14,1926,0
65.16,30,519,651,31,34,39,126,42,14,1911,0
65.16,31,547,670,31,35,40,128,44,14,1952,0
65.15,30,519,652,31,34,39,127,42,14,1927,0
65.14,31,523,657,31,34,39,126,43,14,1923,0
65.14,30,511,653,31,34,39,126,42,14,1899,0
65.18,31,525,661,31,34,39,126,43,14,1915,0
65.17,31,526,661,31,34,39,126,43,14,1905,0
65.17,31,536,671,31,34,39,127,43,14,1947,0
65.22,31,520,659,31,34,39,126,43,14,1961,0
65.23,31,514,661,31,34,39,126,42,14,1934,0
65.25,31,507,657,30,34,38,125,42,14,1919,0
65.23,30,503,653,30,33,38,126,42,14,1884,0
65.22,31,509,657,30,34,38,126,42,14,1847,0
65.25,31,519,667,30,34,39,127,43,14,1888,0
65.27,31,518,668,30,34,39,126,43,14,1868,0
65.26,31,508,664,30,34,39,126,42,14,1860,0
65.26,32,533,678,31,34,39,128,43,14,1862,0
65.22,31,513,664,30,34,39,126,42,14,1856,0
65.29,31,512,660,30,33,38,127,42,14,1905,0
65.25,31,512,663,30,33,38,126,42,13,1826,0
65.24,32,519,674,30,34,39,127,43,14,1889,0
65.3,32,521,673,30,34,39,127,43,14,1863,0
65.29,31,522,673,30,34,39,127,43,14,1862,0
65.31,31,516,667,30,33,39,127,42,14,1879,0
65.2,31,511,659,30,33,38,126,42,14,1866,0
65.27,32,521,669,30,34,39,127,43,14,1895,0
65.19,31,522,669,30,34,39,127,43,14,1885,0
65.24,31,519,665,30,33,39,127,43,14,1927,0
65.22,31,511,661,30,33,38,126,42,14,1823,0
65.22,31,509,660,30,33,38,126,42,13,1852,0
65.23,31,514,661,30,33,38,127,42,13,1847,0
65.19,31,517,667,30,33,39,127,43,14,1850,0
65.24,31,517,667,30,33,38,126,43,13,1857,0
65.19,32,523,671,30,33,39,127,43,14,1933,0
65.23,31,517,667,30,33,39,127,43,14,1923,0
65.2,32,533,677,30,34,39,128,43,14,1940,0
