Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.26,76,1881,1147,54,66,76,183,122,16,1491,0
65.17,75,1859,1144,54,65,75,183,121,16,1473,0
65.18,75,1841,1139,53,65,75,182,120,16,1462,0
65.29,75,1826,1134,53,64,74,182,120,16,1449,0
65.24,74,1814,1130,52,64,74,181,119,16,1440,0
65.23,74,1804,1127,52,63,73,181,119,16,1430,0
65.25,74,1791,1122,52,63,73,180,118,16,1421,0
65.31,74,1782,1119,51,63,72,180,117,16,1412,0
65.23,74,1773,1115,51,62,73,180,117,16,1405,0
65.29,73,1766,1113,51,62,72,179,117,15,1398,0
65.33,73,1759,1111,51,62,73,179,116,15,1393,0
65.27,73,1753,1109,51,62,73,179,116,15,1388,0
65.33,73,1749,1107,51,62,72,179,116,15,1383,0
65.3,73,1743,1106,51,61,72,179,116,15,1380,0
65.3,73,1742,1105,50,61,72,179,115,15,1378,0
65.33,73,1740,1105,50,61,72,179,115,15,1374,0
65.35,73,1738,1104,50,61,72,178,115,15,1372,0
65.26,73,1736,1104,50,61,72,178,115,15,1369,0
65.3,73,1732,1103,50,61,72,178,115,15,1366,0
65.29,73,1732,1103,50,61,72,178,115,15,1364,0
65.29,73,1730,1102,50,61,72,178,115,15,1362,0
65.29,73,1728,1102,50,61,72,178,115,15,1359,0
65.26,73,1726,1101,50,61,72,178,115,15,1357,0
65.3,73,1725,1101,50,61,72,178,115,15,1356,0
65.24,73,1723,1100,50,60,71,178,115,15,1352,0
65.31,73,1724,1101,50,60,72,178,115,15,1359,0
65.25,73,1721,1099,50,60,71,178,115,15,1348,0
65.27,73,1721,1099,50,60,70,178,115,15,1346,0
65.3,73,1721,1100,50,60,71,178,115,15,1346,0
65.33,73,1719,1098,49,60,71,178,115,15,1343,0
65.27,73,1716,1099,49,60,70,178,115,15,1342,0
65.36,73,1718,1098,49,60,71,178,115,15,1340,0
65.34,73,1715,1098,49,60,71,177,114,15,1340,0
65.35,73,1716,1097,49,60,71,178,114,15,1336,0
65.32,73,1715,1097,49,60,71,178,114,15,1336,0
65.33,73,1715,1097,49,60,71,178,114,15,1336,0
65.35,73,1714,1098,49,60,71,177,114,15,1334,0
65.36,73,1713,1097,49,60,70,177,114,15,1332,0
65.34,73,1712,1097,49,60,71,177,114,15,1331,0
65.37,73,1712,1096,49,60,71,177,114,15,1330,0
65.3,72,1711,1096,49,60,71,177,114,15,1329,0
65.32,73,1711,1096,49,60,71,177,114,15,1329,0
65.36,73,1712,1096,49,60,71,177,114,15,1328,0
65.31,73,1710,1096,49,60,71,177,114,15,1328,0
65.33,73,1711,1096,49,60,71,177,114,15,1327,0
