Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,66,1624,1405,54,76,103,224,172,21,2467,0
65.11,65,1606,1396,54,75,102,222,170,20,2417,0
65.27,65,1609,1393,53,75,101,222,170,20,2419,0
65.19,64,1599,1387,53,74,100,220,170,20,2401,0
65.27,64,1587,1381,53,74,100,220,169,20,2395,0
65.22,64,1583,1379,53,74,100,219,168,20,2389,0
65.24,64,1565,1366,52,73,99,218,167,20,2370,0
65.27,64,1563,1367,52,73,99,217,167,20,2371,0
65.25,64,1559,1364,52,73,99,217,167,20,2362,0
65.31,63,1539,1352,52,72,98,215,165,19,2337,0
65.34,63,1531,1346,52,72,98,215,164,19,2328,0
65.23,63,1533,1348,52,72,98,214,164,19,2333,0
65.33,63,1530,1348,51,72,97,214,164,19,2329,0
65.36,63,1525,1345,51,72,97,213,164,19,2326,0
65.22,63,1524,1346,51,72,97,214,164,19,2332,0
65.24,63,1517,1341,51,71,97,213,163,19,2322,0
65.26,63,1512,1338,51,71,97,212,163,19,2320,0
65.24,63,1508,1334,51,71,97,212,162,19,2309,0
65.28,63,1510,1337,51,71,97,212,163,19,2319,0
65.3,63,1504,1332,51,71,97,212,162,19,2311,0
65.29,63,1507,1337,51,71,97,211,163,19,2314,0
65.31,63,1505,1334,51,71,97,211,162,19,2305,0
65.29,63,1491,1324,50,70,96,210,161,19,2281,0
65.29,63,1490,1325,50,70,96,210,161,19,2294,0
65.31,62,1458,1304,50,69,95,208,158,18,2238,0
65.36,62,1455,1301,50,69,95,208,158,18,2236,0
65.37,62,1455,1302,50,69,95,208,158,18,2242,0
65.33,62,1454,1301,50,69,95,208,158,18,2243,0
65.37,62,1451,1301,50,69,95,208,158,18,2236,0
65.33,62,1451,1302,50,69,95,207,158,18,2239,0
65.29,62,1449,1301,50,69,95,207,158,18,2233,0
65.3,62,1448,1301,50,69,95,207,157,18,2233,0
65.38,62,1447,1299,50,69,95,207,157,18,2233,0
65.34,62,1446,1298,50,69,95,207,157,18,2233,0
65.34,62,1445,1298,50,69,95,207,157,18,2234,0
65.39,62,1444,1298,49,69,94,207,157,18,2231,0
65.37,62,1444,1297,49,69,94,207,157,18,2236,0
65.39,62,1445,1298,50,69,95,207,157,18,2241,0
65.31,62,1442,1297,49,69,94,207,157,18,2231,0
65.35,62,1443,1298,49,69,94,207,157,18,2237,0
65.33,62,1443,1299,49,69,95,207,157,18,2241,0
65.36,61,1438,1295,49,68,94,206,156,18,2219,0
65.3,61,1436,1294,49,68,94,206,156,18,2216,0
65.27,62,1432,1292,49,68,94,206,156,18,2215,0
65.31,61,1428,1288,49,68,94,205,156,17,2199,0
