Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.22,23,267,312,30,28,26,55,32,14,1059,0
65.18,23,265,309,30,28,26,54,32,14,1056,0
65.27,23,262,307,29,28,25,54,32,14,1052,0
65.34,22,259,305,29,27,25,53,32,14,1048,0
65.34,22,258,304,29,27,25,53,31,14,1042,0
65.38,22,255,303,29,27,25,52,31,14,1036,0
65.36,22,254,302,29,26,25,52,31,14,1033,0
65.29,22,252,301,29,26,25,52,31,14,1029,0
65.31,22,252,301,29,26,25,52,31,14,1029,0
65.26,22,251,300,28,26,25,51,31,14,1020,0
65.32,22,250,300,28,26,24,51,31,13,1017,0
65.3,21,249,300,28,25,24,51,30,13,1009,0
65.25,21,249,299,28,25,24,51,30,13,1012,0
65.36,21,248,298,28,25,24,51,30,13,1009,0
65.32,21,248,298,28,25,24,50,30,13,1008,0
65.33,21,246,299,28,25,24,50,30,13,999,0
65.33,21,247,298,28,25,24,50,30,13,1004,0
65.36,21,247,298,28,25,24,50,30,13,1003,0
65.39,21,244,299,27,25,24,50,30,13,989,0
65.35,21,246,298,28,25,24,50,30,13,999,0
65.42,21,246,298,27,25,24,50,30,13,998,0
65.43,21,245,298,27,24,24,49,30,13,991,0
65.43,21,244,297,27,25,24,50,30,13,995,0
65.3,21,244,297,27,25,24,49,30,13,990,0
65.34,21,243,297,27,24,24,49,30,13,983,0
65.33,21,243,296,27,24,24,49,30,13,987,0
65.29,21,243,296,27,24,24,49,30,13,986,0
65.3,21,243,296,27,24,24,49,30,13,985,0
65.32,21,243,296,27,24,24,49,30,13,984,0
65.28,21,243,296,27,24,24,49,30,13,983,0
65.27,21,243,296,27,24,24,49,30,13,983,0
65.37,21,242,297,27,24,23,49,29,13,977,0
65.32,21,243,296,27,24,24,49,30,13,982,0
65.34,21,242,296,27,24,23,49,29,13,981,0
65.33,21,242,296,27,24,23,49,30,13,981,0
65.32,21,242,296,27,24,23,49,29,13,980,0
65.29,21,242,297,27,24,23,49,29,13,974,0
65.34,21,242,296,27,24,23,49,29,13,978,0
65.32,21,242,296,27,24,23,49,29,13,978,0
65.32,21,242,296,27,24,23,49,29,13,977,0
65.38,21,241,296,27,24,23,48,29,12,971,0
65.36,21,242,296,27,24,23,49,29,13,976,0
65.33,21,241,296,27,24,23,48,29,12,970,0
65.36,20,241,297,27,24,23,48,29,12,970,0
65.32,21,241,297,26,24,23,48,29,12,969,0
