Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.29,76,1568,863,46,56,68,159,84,15,1344,0
65.15,76,1536,859,46,56,67,160,82,15,1346,0
65.19,75,1514,854,45,55,66,158,82,15,1329,0
65.27,75,1483,844,45,55,66,156,80,15,1325,0
65.31,75,1550,844,44,55,66,156,81,15,1306,0
65.23,76,1571,839,44,56,67,159,82,15,1306,0
65.27,76,1540,837,44,56,66,158,81,15,1293,0
65.25,76,1541,835,44,56,67,159,81,15,1290,0
65.26,76,1519,830,44,55,66,158,80,15,1288,0
65.25,76,1521,834,44,55,66,158,80,15,1290,0
65.25,76,1516,838,44,55,66,157,80,15,1275,0
65.29,76,1509,830,44,55,66,156,80,15,1271,0
65.24,76,1524,836,44,55,66,157,80,15,1265,0
65.31,76,1502,831,43,54,66,156,79,15,1259,0
65.28,76,1538,845,44,55,67,159,81,15,1259,0
65.27,76,1524,844,44,55,67,158,80,15,1260,0
65.33,77,1544,846,44,55,67,159,81,15,1257,0
65.33,77,1534,842,44,55,67,157,81,15,1260,0
65.27,77,1531,847,43,55,67,157,81,15,1256,0
65.27,76,1529,845,43,55,67,157,81,15,1247,0
65.21,76,1539,851,43,55,67,158,82,15,1248,0
65.28,76,1537,850,43,54,67,158,81,15,1246,0
65.23,76,1600,843,43,55,68,159,85,15,1249,0
65.32,77,1601,844,43,55,68,160,85,15,1249,0
65.27,76,1597,843,43,54,68,159,85,15,1245,0
65.28,76,1603,844,43,55,68,159,85,15,1245,0
65.26,76,1594,843,43,54,68,159,85,15,1242,0
65.33,76,1597,844,43,55,68,160,85,15,1244,0
65.27,76,1594,843,43,54,68,160,85,15,1241,0
65.29,76,1605,844,43,54,68,160,85,15,1238,0
65.28,76,1593,843,43,54,68,159,85,15,1239,0
65.27,77,1624,850,43,54,69,160,86,15,1244,0
65.31,77,1630,850,43,54,69,160,86,15,1237,0
65.33,76,1619,851,43,54,69,159,86,15,1228,0
65.25,77,1622,849,43,54,69,160,86,15,1234,0
65.2,77,1625,849,43,54,69,160,86,15,1234,0
65.28,77,1625,849,43,54,69,160,86,15,1234,0
65.27,77,1625,849,43,54,69,160,86,15,1231,0
65.24,77,1625,849,43,54,69,160,86,15,1231,0
65.21,77,1625,849,43,54,69,159,86,15,1230,0
65.26,77,1644,853,43,54,69,159,87,15,1230,0
65.2,77,1645,853,43,54,69,160,87,15,1228,0
65.17,77,1648,853,43,54,69,160,87,15,1226,0
65.27,77,1650,854,43,54,69,160,87,15,1227,0
65.3,77,1660,857,43,54,69,159,87,15,1224,0
