Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.3,84,1898,1144,57,67,85,224,119,27,3563,1
65.27,84,1889,1138,56,67,85,224,119,27,3529,1
65.25,84,1879,1133,56,66,84,223,118,27,3497,1
65.35,84,1871,1131,56,66,84,222,118,27,3471,1
65.37,84,1864,1127,56,65,84,221,117,27,3450,1
65.34,84,1860,1124,55,65,83,221,117,26,3431,1
65.37,84,1856,1122,55,65,83,220,117,26,3414,1
65.33,84,1855,1121,55,64,83,220,117,26,3401,1
65.33,84,1853,1120,55,64,83,219,117,26,3382,1
65.33,84,1854,1118,55,64,83,219,117,26,3374,1
65.39,84,1852,1117,55,64,83,218,116,26,3362,1
65.32,84,1852,1116,55,64,83,218,116,26,3354,1
65.32,84,1851,1115,54,63,83,218,116,26,3345,1
65.35,84,1853,1115,54,63,83,217,116,26,3337,1
65.37,84,1852,1114,54,63,83,217,116,26,3324,1
65.4,84,1851,1113,54,63,83,217,116,26,3316,1
65.43,84,1849,1112,54,63,83,216,116,26,3308,1
65.4,84,1853,1113,54,63,83,216,116,26,3306,1
65.43,83,1835,1107,54,63,82,216,115,26,3285,1
65.44,83,1839,1107,54,63,82,216,115,26,3283,1
65.33,83,1839,1107,54,62,82,215,115,25,3275,1
65.36,83,1840,1107,54,62,82,215,115,25,3274,1
65.35,83,1839,1110,53,62,82,215,115,25,3249,1
65.31,83,1842,1108,54,62,82,215,115,25,3262,1
65.31,83,1843,1108,53,62,82,215,115,25,3260,1
65.37,83,1843,1108,53,62,82,215,115,25,3257,1
65.36,83,1843,1108,53,62,82,215,115,25,3253,1
65.31,83,1841,1110,53,62,82,214,115,25,3233,1
65.33,83,1840,1106,53,62,82,214,115,25,3237,1
65.34,83,1837,1104,53,62,82,214,115,25,3229,1
65.35,83,1839,1104,53,62,82,214,115,25,3229,1
65.38,83,1840,1105,53,62,82,214,115,25,3227,1
65.39,83,1840,1104,53,62,82,214,115,25,3225,1
65.32,83,1840,1104,53,62,82,214,115,25,3218,1
65.41,83,1840,1108,53,61,82,213,115,25,3201,1
65.42,83,1842,1106,53,61,82,214,115,25,3223,1
65.4,83,1841,1108,53,61,82,213,115,25,3197,1
65.38,83,1841,1108,53,61,82,213,115,25,3195,1
65.35,83,1843,1106,53,61,82,213,115,25,3210,1
65.4,83,1845,1106,53,61,82,213,115,25,3210,1
65.4,83,1846,1106,53,61,82,213,115,25,3208,1
65.42,83,1849,1107,53,61,82,213,115,25,3211,1
65.4,84,1846,1106,53,61,82,213,115,25,3205,1
65.36,84,1846,1106,53,61,82,213,115,25,3204,1
65.37,84,1845,1106,53,61,82,213,115,25,3201,1
