Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.26,86,1834,1109,56,64,79,198,109,38,5698,1
65.08,93,2004,1207,57,64,87,208,118,37,5440,1
65.33,93,2048,1232,57,65,85,206,125,36,5395,1
65.27,95,2149,1255,58,66,88,215,129,36,5375,1
65.31,98,2180,1299,58,66,89,211,134,36,4969,1
65.4,103,2363,1417,60,69,94,217,145,36,4888,1
65.25,106,2520,1456,60,70,96,221,152,38,4927,1
65.23,104,2359,1435,61,72,95,232,142,38,4965,1
65.31,105,2493,1465,62,75,96,243,147,39,5010,1
65.36,104,2413,1432,62,74,95,240,145,37,4885,1
65.37,104,2427,1381,62,75,94,243,143,36,4820,1
65.4,102,2380,1375,63,75,95,250,139,36,4822,1
65.4,105,2450,1362,63,76,96,254,141,36,4826,1
65.28,102,2447,1354,63,76,96,252,141,36,4879,1
65.38,105,2506,1388,64,77,97,254,143,37,4851,1
65.29,100,2370,1344,62,74,94,243,137,35,4687,1
65.31,102,2407,1354,63,75,95,248,140,35,4737,1
65.38,103,2410,1394,63,75,95,249,142,37,4782,1
65.4,101,2567,1434,64,77,98,258,149,37,4985,1
65.41,103,2573,1436,64,79,99,258,150,37,5079,1
65.34,102,2594,1427,64,77,100,257,152,36,4979,1
65.37,101,2554,1406,64,77,100,261,150,36,4959,1
65.41,103,2589,1424,64,77,100,256,151,36,5052,1
65.42,96,2416,1360,60,73,94,244,143,34,4737,1
65.42,94,2339,1333,61,73,93,247,138,34,4775,1
65.41,97,2407,1373,62,75,96,256,143,35,4862,1
65.41,99,2475,1391,63,76,98,259,145,36,4879,1
65.45,97,2448,1385,62,76,96,258,143,35,4859,1
65.42,99,2455,1412,62,77,97,258,145,37,4929,1
65.39,99,2467,1410,62,77,96,258,145,37,4934,1
65.43,99,2471,1397,62,76,96,254,145,37,5028,1
65.45,101,2496,1418,63,77,97,259,146,38,5100,1
65.46,99,2518,1415,63,77,99,262,148,37,5100,1
65.36,100,2494,1407,63,78,98,262,147,37,5049,1
65.38,99,2463,1388,62,76,97,261,145,36,5161,1
65.36,98,2449,1390,62,76,96,260,145,36,5128,1
65.33,98,2580,1372,63,76,97,254,149,35,4967,1
65.33,97,2503,1375,62,76,95,252,144,36,4956,1
65.35,98,2488,1402,61,75,96,255,144,37,5153,1
65.38,94,2375,1326,60,72,92,245,140,34,4820,1
65.41,97,2631,1383,62,75,94,253,145,34,5187,1
65.36,97,2508,1414,61,75,92,255,144,34,5181,1
65.33,96,2581,1380,61,75,94,251,142,34,5181,1
65.37,99,2584,1454,62,77,94,257,148,35,4826,1
65.35,98,2574,1385,62,77,94,256,142,34,4777,1
