Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.29,85,1581,1178,58,71,88,234,114,30,4316,0
65.17,85,1552,1173,58,70,87,235,113,30,4383,0
65.27,84,1515,1166,57,69,87,234,112,30,4371,0
65.33,84,1470,1166,57,68,86,231,110,30,4315,0
65.4,84,1445,1162,57,68,87,224,109,30,4292,0
65.26,83,1421,1153,56,67,86,224,108,30,4310,0
65.26,83,1415,1144,56,67,85,226,106,30,4296,0
65.29,81,1407,1127,55,66,85,225,105,30,4281,0
65.28,81,1390,1115,55,66,84,222,104,30,4253,0
65.32,81,1373,1102,55,65,84,223,103,29,4101,0
65.26,84,1494,1145,56,67,87,227,110,30,4238,0
65.34,82,1444,1131,55,66,84,223,107,29,4085,0
65.35,82,1450,1139,56,66,86,226,108,30,4210,0
65.3,80,1352,1098,54,64,82,218,101,29,4000,0
65.34,81,1375,1114,55,65,83,221,104,29,4064,0
65.3,80,1387,1104,54,64,82,220,102,28,3979,0
65.41,80,1376,1090,53,63,81,218,100,28,3904,0
65.33,79,1373,1075,53,63,81,218,100,28,3905,0
65.3,80,1372,1080,53,63,81,218,100,28,3966,0
65.34,80,1386,1090,53,63,82,219,102,28,3944,0
65.38,80,1358,1081,53,63,81,218,100,28,3908,0
65.35,79,1350,1083,53,63,81,217,100,28,3887,0
65.42,79,1347,1080,53,62,80,216,99,28,3831,0
65.37,79,1347,1084,53,62,80,215,99,27,3743,0
65.4,79,1365,1082,53,62,81,217,100,27,3736,0
65.43,79,1386,1094,53,63,81,219,102,27,3727,0
65.43,79,1379,1091,53,62,81,219,102,27,3564,0
65.45,83,1526,1151,55,66,85,229,111,28,3821,0
65.43,84,1530,1168,54,66,85,228,111,27,3640,0
65.34,84,1536,1168,54,66,84,229,112,27,3613,0
65.36,84,1544,1170,54,66,84,229,112,27,3570,0
65.3,84,1532,1165,54,66,85,228,111,27,3565,0
65.36,84,1526,1164,54,66,85,228,111,27,3525,0
65.33,82,1475,1148,53,65,83,222,109,26,3496,0
65.38,82,1485,1153,54,65,83,223,110,27,3510,0
65.39,83,1493,1156,54,65,84,224,110,27,3538,0
65.36,83,1493,1155,54,65,83,224,110,27,3524,0
65.34,83,1504,1161,54,66,84,225,111,27,3556,0
65.35,84,1508,1162,54,66,84,225,111,27,3550,0
65.31,83,1482,1153,53,65,83,223,109,27,3514,0
65.31,83,1486,1154,53,65,83,224,109,27,3500,0
65.39,83,1492,1157,54,65,83,224,110,27,3504,0
65.35,83,1492,1158,54,65,83,224,110,27,3499,0
65.34,82,1487,1152,53,65,83,224,109,26,3489,0
65.36,83,1496,1155,53,65,84,225,110,26,3500,0
