Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.27,83,1532,1167,56,68,85,225,111,26,3408,0
65.19,83,1526,1161,56,68,85,225,112,26,3379,0
65.15,82,1509,1153,56,67,84,224,111,26,3346,0
65.32,82,1503,1155,55,67,84,224,111,26,3324,0
65.36,82,1494,1150,55,66,84,223,110,26,3300,0
65.34,82,1488,1152,55,66,84,223,110,26,3278,0
65.26,82,1480,1149,55,66,84,222,110,26,3258,0
65.29,82,1476,1149,55,66,84,222,110,26,3243,0
65.29,82,1465,1147,54,65,84,221,109,25,3227,0
65.29,82,1464,1147,55,65,84,222,109,25,3212,0
65.28,82,1453,1140,54,65,83,221,109,25,3172,0
65.34,81,1448,1135,54,64,83,220,108,25,3150,0
65.34,81,1446,1135,54,64,83,220,108,25,3132,0
65.41,82,1442,1134,54,64,83,221,108,25,3125,0
65.35,81,1439,1133,54,64,83,220,108,25,3104,0
65.37,81,1432,1126,53,63,82,219,108,24,3057,0
65.31,81,1428,1123,53,63,82,219,107,24,3049,0
65.41,81,1427,1123,53,63,82,219,107,24,3042,0
65.36,81,1425,1123,53,63,82,219,107,24,3040,0
65.35,80,1424,1122,53,63,82,219,107,24,3028,0
65.38,81,1423,1122,53,63,82,219,107,24,3028,0
65.42,81,1421,1122,53,63,82,219,107,24,3024,0
65.33,80,1421,1125,53,63,82,218,107,24,3007,0
65.37,81,1419,1123,53,63,82,219,107,24,3016,0
65.36,81,1418,1121,53,63,82,219,107,24,3012,0
65.41,80,1414,1118,53,62,82,218,107,24,2995,0
65.43,80,1414,1118,53,62,82,218,107,24,2995,0
65.42,80,1412,1117,53,62,81,218,107,24,2987,0
65.43,80,1412,1117,53,62,81,218,107,24,2986,0
65.44,80,1411,1117,52,62,81,218,107,24,2986,0
65.35,80,1412,1117,52,62,82,218,107,24,2983,0
65.37,80,1410,1116,52,62,81,218,107,24,2975,0
65.34,80,1409,1116,52,62,81,218,107,24,2974,0
65.37,80,1409,1116,52,62,81,218,107,24,2971,0
65.37,80,1408,1115,52,62,81,218,107,24,2966,0
65.31,80,1407,1115,52,62,81,218,107,24,2965,0
65.41,80,1407,1115,52,62,81,218,107,24,2964,0
65.41,80,1406,1114,52,62,81,218,107,24,2963,0
65.38,80,1406,1115,52,62,81,218,107,24,2959,0
65.42,80,1406,1115,52,62,81,218,107,24,2959,0
65.36,80,1405,1114,52,62,81,218,107,24,2954,0
65.41,80,1406,1117,52,61,81,217,107,24,2941,0
65.42,80,1405,1114,52,62,81,217,107,24,2950,0
65.38,80,1405,1114,52,61,81,218,107,24,2952,0
65.42,80,1405,1114,52,61,81,218,107,24,2948,0
