Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.28,23,313,328,30,28,27,58,33,14,1162,0
65.28,23,311,327,30,28,27,58,33,15,1183,0
65.34,24,326,334,31,28,27,58,34,15,1218,0
65.35,24,329,340,31,28,27,59,35,15,1238,0
65.4,24,326,343,31,28,28,59,35,15,1224,0
65.25,25,337,350,31,28,28,60,36,15,1226,0
65.29,25,333,349,31,28,28,59,35,15,1219,0
65.31,25,334,351,31,28,28,60,36,15,1236,0
65.33,25,328,346,30,28,28,59,35,15,1203,0
65.32,25,337,351,30,28,28,59,36,15,1235,0
65.32,25,321,344,30,27,27,58,35,15,1189,0
65.34,25,335,351,30,27,28,60,36,15,1242,0
65.39,24,328,343,30,27,27,58,35,15,1179,0
65.36,25,336,351,30,27,28,60,36,15,1221,0
65.34,24,327,345,30,27,27,58,35,15,1194,0
65.33,24,325,344,30,27,27,58,35,14,1180,0
65.34,25,329,345,30,27,27,59,35,15,1199,0
65.33,24,330,343,30,27,27,59,35,15,1190,0
65.39,24,330,343,30,27,27,59,35,14,1185,0
65.38,25,335,348,30,27,28,60,36,15,1232,0
65.41,24,320,341,29,26,27,57,35,14,1163,0
65.37,24,323,341,29,26,27,58,35,14,1168,0
65.37,24,322,343,29,26,27,58,35,14,1181,0
65.42,24,325,342,29,26,27,58,35,14,1195,0
65.41,24,327,343,29,26,27,58,35,14,1198,0
65.43,25,353,356,30,27,28,60,37,15,1269,0
65.36,24,334,340,29,26,27,58,35,14,1189,0
65.38,24,332,343,29,26,27,58,35,14,1206,0
65.43,25,335,349,30,26,28,59,36,15,1237,0
65.43,23,297,334,29,25,26,53,33,13,1093,0
65.43,23,300,333,29,25,26,55,34,14,1103,0
65.43,23,293,337,29,25,26,54,33,14,1090,0
65.42,23,297,335,29,25,26,54,34,14,1103,0
65.44,24,295,336,29,25,26,54,34,14,1124,0
65.38,23,296,336,29,25,26,54,33,13,1115,0
65.38,23,289,336,29,25,26,53,33,13,1112,0
65.36,24,293,336,29,25,26,54,34,14,1129,0
65.31,23,290,336,29,25,26,53,33,13,1114,0
65.37,23,292,340,29,25,26,53,33,14,1122,0
65.3,23,290,336,28,25,26,53,33,13,1097,0
65.26,24,292,340,29,25,26,54,34,14,1124,0
65.35,23,290,339,29,25,26,53,34,13,1116,0
65.31,23,288,339,29,25,26,53,34,13,1120,0
65.26,23,287,338,29,25,26,53,33,13,1122,0
65.39,25,301,354,29,26,27,55,35,14,1168,0
