Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.31,104,2044,1518,67,81,107,288,154,35,4357,0
65.23,105,2051,1547,67,82,109,289,157,35,4357,0
65.28,107,2123,1601,68,84,110,290,162,37,4620,0
65.33,106,2187,1549,68,84,110,298,160,35,4393,0
65.35,107,2227,1563,68,84,111,304,162,36,4442,0
65.28,107,2259,1580,69,84,113,309,163,36,4598,0
65.25,109,2293,1599,69,85,115,312,165,37,4725,0
65.26,110,2434,1628,71,87,118,325,169,36,4416,0
65.28,103,2073,1440,69,82,113,309,148,36,4745,0
65.3,104,2077,1480,70,83,114,310,152,37,4952,0
65.32,108,2116,1507,72,86,120,323,155,39,5288,0
65.34,110,2136,1542,73,87,121,324,157,41,5577,0
65.36,113,2154,1587,74,89,123,332,160,41,5916,0
65.38,112,2059,1597,74,88,118,324,155,43,5910,0
65.42,116,2083,1598,74,88,122,323,159,45,6023,0
65.32,113,2004,1593,72,86,118,311,156,42,5413,0
65.38,110,1901,1545,71,84,115,299,149,40,5219,0
65.32,108,1878,1558,70,82,112,291,147,39,4755,0
65.34,108,1841,1561,69,81,111,286,145,37,4490,0
65.38,92,1672,1368,61,73,97,258,129,30,3445,0
65.39,88,1623,1293,59,71,94,257,124,28,3290,0
65.41,89,1639,1326,60,71,95,261,126,28,3284,0
65.42,90,1637,1332,60,71,96,259,127,28,3283,0
65.43,90,1611,1314,59,70,95,257,127,28,3245,0
65.44,90,1658,1333,60,71,99,265,129,28,3230,0
65.45,88,1559,1312,59,69,93,249,123,27,3199,0
65.36,88,1627,1339,60,71,97,257,126,27,3194,0
65.35,88,1599,1302,59,70,94,254,124,27,3192,0
65.39,88,1617,1306,60,70,96,259,126,27,3194,0
65.34,87,1611,1295,59,70,94,255,127,27,3173,0
65.35,88,1594,1303,59,69,97,253,128,26,3108,0
65.4,88,1575,1292,59,69,95,254,125,27,3165,0
65.43,88,1596,1302,60,70,97,255,129,27,3112,0
65.28,88,1592,1276,59,70,94,254,127,27,3134,0
65.38,88,1576,1285,59,69,95,255,128,27,3123,0
65.44,86,1547,1259,59,68,93,246,124,27,3106,0
65.37,88,1540,1287,59,69,93,247,126,26,3081,0
65.41,87,1522,1276,58,69,91,246,124,27,3107,0
65.37,88,1558,1307,59,70,94,252,126,27,3126,0
65.4,88,1552,1295,59,69,93,251,126,27,3117,0
65.44,87,1500,1258,58,68,92,246,123,26,3084,0
65.42,88,1545,1281,59,70,93,250,124,27,3123,0
65.42,78,1319,1106,51,60,80,210,101,26,3066,0
65.4,81,1357,1154,54,63,82,228,105,27,3114,0
65.41,81,1320,1155,54,62,82,228,103,27,3103,0
