Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.28,24,293,328,30,29,26,57,32,15,1095,0
65.27,24,297,329,30,28,26,57,33,15,1108,0
65.32,24,294,329,30,28,26,57,33,15,1102,0
65.34,24,291,327,29,28,26,56,33,14,1109,0
65.4,23,290,327,29,27,26,55,32,14,1100,0
65.27,23,289,326,29,27,26,55,32,14,1103,0
65.24,24,287,326,29,27,26,55,32,14,1098,0
65.4,23,286,324,29,27,26,55,32,14,1100,0
65.31,23,284,324,29,27,25,54,32,14,1098,0
65.32,23,281,324,28,26,25,54,32,14,1084,0
65.34,23,279,325,28,26,25,53,32,14,1080,0
65.41,23,279,324,28,26,25,53,32,14,1095,0
65.42,22,265,310,28,25,24,52,31,13,1019,0
65.41,22,269,311,28,26,25,52,31,13,1021,0
65.37,22,270,313,28,25,25,52,31,13,1019,0
65.37,22,271,312,28,25,25,52,31,13,1021,0
65.4,22,268,312,28,25,24,52,31,13,1021,0
65.38,22,265,309,28,25,24,51,31,13,1003,0
65.41,22,265,310,28,25,24,51,31,13,999,0
65.35,22,266,310,28,25,24,51,31,13,999,0
65.38,22,265,310,27,25,24,51,31,13,996,0
65.35,22,266,309,27,25,24,51,31,13,1003,0
65.35,22,264,310,27,25,24,51,31,13,997,0
65.33,22,266,309,27,25,24,51,31,13,1004,0
65.34,21,259,307,27,24,24,50,30,13,959,0
65.32,22,262,307,27,25,24,51,30,13,970,0
65.39,21,259,306,27,24,24,50,30,13,961,0
65.35,21,260,307,27,24,24,50,30,13,968,0
65.41,21,260,307,27,24,24,50,30,13,963,0
65.41,21,257,306,27,24,24,50,30,13,963,0
65.39,21,257,306,27,24,24,50,30,13,951,0
65.41,21,258,306,27,24,24,50,30,13,958,0
65.4,21,258,305,27,24,24,50,30,13,957,0
65.37,21,258,306,27,24,24,50,30,13,958,0
65.38,21,258,306,27,24,24,50,30,13,957,0
65.35,21,258,307,27,24,24,50,30,13,956,0
65.36,21,258,307,27,24,24,50,30,13,953,0
65.4,21,259,308,27,24,24,50,30,13,961,0
65.4,21,259,307,27,24,24,50,30,13,957,0
65.39,21,261,309,27,24,24,50,30,13,962,0
65.43,21,261,308,27,24,24,50,30,13,962,0
65.42,21,263,308,27,24,24,50,30,13,969,0
65.42,21,256,305,27,24,23,49,30,12,935,0
65.34,21,257,306,27,24,23,49,30,12,934,0
65.34,21,257,306,26,24,23,49,30,12,934,0
