Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.27,86,1926,1016,51,64,76,190,104,22,2115,0
65.16,86,1896,1010,51,63,76,189,104,23,2098,0
65.16,87,1891,1005,51,63,77,191,105,22,2033,0
65.26,86,1897,1001,51,62,78,188,104,22,2025,0
65.2,87,1927,998,51,62,77,188,104,22,2005,0
65.19,87,1961,1007,51,62,77,192,106,22,2005,0
65.14,86,1980,995,52,62,77,192,103,22,2036,0
65.18,89,2025,1032,52,63,79,191,107,22,2047,0
65.17,90,2000,1035,51,63,79,189,106,22,2051,0
65.26,91,2060,1051,52,63,81,189,109,22,2058,0
65.23,89,2004,1020,51,62,79,187,104,21,1992,0
65.23,88,1937,1002,50,61,77,182,103,21,1926,0
65.24,89,1969,1014,51,62,79,186,104,21,1921,0
65.31,88,1962,1006,51,61,79,185,102,21,1933,0
65.16,87,1944,1003,51,61,78,185,102,21,1915,0
65.19,86,1966,983,50,61,76,182,101,21,1945,0
65.18,85,1931,970,50,61,76,183,100,20,1908,0
65.14,86,1932,984,50,61,76,182,100,22,1952,0
65.28,87,1934,982,50,61,76,183,101,21,1929,0
65.31,87,1934,973,50,61,76,180,101,21,1895,0
65.3,87,1920,973,51,61,78,188,101,22,1921,0
65.32,87,1924,974,50,61,78,187,101,22,1929,0
65.31,87,1926,977,50,61,78,186,102,22,1927,0
65.32,87,1914,968,50,61,78,186,101,22,1935,0
65.3,86,1876,951,50,60,77,183,99,22,1929,0
65.3,87,1891,969,50,61,78,188,101,23,1953,0
65.34,85,1795,934,49,58,77,175,98,21,1745,0
65.23,86,1875,955,50,60,78,183,99,23,1944,0
65.2,87,1879,960,50,60,78,183,100,23,1976,0
65.27,87,1878,965,50,60,78,186,100,23,2002,0
65.25,87,1875,966,51,61,79,187,100,23,2016,0
65.22,86,1876,958,50,60,78,184,99,23,2060,0
65.28,86,1876,960,50,60,78,185,100,23,2094,0
65.24,86,1872,957,50,60,78,186,99,23,2067,0
65.27,83,1779,914,48,58,74,175,95,20,1769,0
65.32,83,1826,931,49,59,74,180,96,21,1871,0
65.32,84,1797,924,49,59,75,178,95,22,1956,0
65.27,84,1811,930,49,59,75,179,96,23,2059,0
65.26,84,1794,921,49,58,76,177,95,22,1897,0
65.26,84,1783,918,49,58,76,175,95,21,1831,0
65.26,83,1793,917,49,58,75,177,95,22,1916,0
65.31,83,1780,914,49,58,76,175,95,21,1819,0
65.27,83,1781,915,49,58,76,175,95,21,1810,0
65.33,84,1787,919,49,58,76,176,95,22,1852,0
65.32,83,1812,918,49,58,76,176,96,21,1815,0
