Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.29,82,1867,917,49,60,76,170,98,16,1374,0
65.07,83,1844,913,49,60,76,170,97,16,1367,0
65.14,83,1824,907,49,59,76,169,97,16,1355,0
65.26,83,1804,903,49,59,75,169,96,16,1352,0
65.23,82,1779,897,48,58,74,167,95,16,1336,0
65.16,82,1765,892,48,58,74,166,94,16,1320,0
65.16,81,1750,889,48,58,73,166,94,16,1314,0
65.21,81,1731,884,47,57,73,165,93,16,1299,0
65.18,81,1729,882,47,57,73,165,93,16,1299,0
65.21,81,1720,880,47,57,73,164,93,16,1295,0
65.2,81,1715,879,47,57,72,164,92,16,1293,0
65.18,81,1710,878,47,57,72,164,92,16,1294,0
65.24,80,1700,875,46,56,72,163,92,16,1281,0
65.26,79,1666,864,46,55,71,161,90,15,1254,0
65.29,79,1665,864,46,55,71,161,90,15,1255,0
65.22,79,1662,864,46,55,71,161,90,15,1254,0
65.24,79,1658,862,46,55,71,160,90,15,1249,0
65.27,79,1657,863,46,55,71,161,90,15,1252,0
65.23,79,1652,862,46,55,71,160,89,15,1247,0
65.33,78,1633,852,45,54,70,159,89,15,1219,0
65.31,78,1627,850,45,54,70,159,88,15,1211,0
65.33,78,1620,848,45,54,70,158,88,15,1205,0
65.31,78,1624,850,45,54,70,158,88,15,1211,0
65.34,77,1617,850,44,54,69,158,88,15,1204,0
65.17,78,1618,849,45,54,69,158,88,15,1205,0
65.17,78,1619,849,45,54,70,158,88,15,1208,0
65.32,78,1619,849,45,54,70,158,88,15,1208,0
65.27,78,1617,850,45,54,70,158,88,15,1209,0
65.31,78,1616,849,44,54,69,158,88,15,1207,0
65.35,78,1609,847,44,54,69,157,87,15,1199,0
65.35,78,1610,847,44,54,69,157,87,15,1200,0
65.35,78,1611,848,44,54,69,157,87,15,1202,0
65.2,78,1609,847,44,54,69,157,87,15,1200,0
65.27,78,1605,846,44,53,69,157,87,15,1194,0
65.22,78,1607,847,44,53,69,157,87,15,1197,0
65.25,78,1606,847,44,53,69,157,87,15,1198,0
65.29,78,1606,848,44,53,69,157,87,15,1199,0
65.33,77,1600,847,44,53,69,157,87,15,1191,0
65.26,78,1601,846,44,53,69,157,87,15,1190,0
65.28,78,1599,845,44,53,69,157,87,15,1188,0
65.31,78,1601,846,44,53,69,157,87,15,1191,0
65.24,78,1599,845,44,53,69,157,87,15,1188,0
65.23,78,1600,846,44,53,69,157,87,15,1190,0
65.22,78,1599,846,44,53,69,157,87,15,1189,0
65.22,78,1596,844,44,53,69,157,87,15,1185,0
