Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,24,329,309,21,22,23,47,24,9,634,0
65.23,24,324,311,21,21,23,47,23,9,643,0
65.3,24,319,313,20,21,23,47,23,9,647,0
65.4,24,317,313,20,21,22,46,23,9,651,0
65.41,23,315,313,20,21,22,46,23,9,656,0
65.39,23,314,313,20,21,22,46,23,9,657,0
65.35,23,310,313,20,20,22,46,23,9,654,0
65.42,23,308,313,20,20,22,46,23,9,656,0
65.39,23,307,312,20,20,22,46,22,9,654,0
65.39,23,307,312,20,20,22,46,22,9,653,0
65.44,23,304,312,20,20,22,46,22,9,653,0
65.4,23,304,312,20,20,22,46,22,9,660,0
65.45,23,305,313,19,20,22,46,22,9,660,0
65.36,23,303,312,19,20,21,46,22,9,662,0
65.35,23,303,312,19,20,21,46,22,9,660,0
65.4,23,303,312,19,19,21,46,22,9,664,0
65.41,23,304,313,19,19,21,46,22,9,667,0
65.42,23,302,312,19,19,21,46,22,9,666,0
65.43,23,302,312,19,19,21,46,22,9,667,0
65.46,22,300,312,19,19,21,45,22,9,666,0
65.4,22,301,312,19,19,21,45,22,9,669,0
65.41,22,299,313,19,19,21,45,22,9,664,0
65.44,22,298,312,19,19,21,45,22,9,661,0
65.45,22,288,307,19,19,21,44,21,9,626,0
65.43,22,289,307,19,19,21,44,21,9,628,0
65.46,22,288,307,19,19,20,44,21,9,627,0
65.46,22,288,308,19,19,20,44,21,9,628,0
65.39,22,287,307,19,19,20,44,21,9,629,0
65.35,22,287,307,19,18,20,44,21,9,630,0
65.35,22,285,308,18,18,20,44,21,9,628,0
65.4,22,287,309,18,18,20,44,21,9,631,0
65.41,22,286,308,18,18,20,44,21,9,632,0
65.42,22,286,309,18,18,20,44,21,9,632,0
65.37,22,286,308,18,18,20,44,21,9,636,0
65.41,22,286,307,18,18,20,44,21,9,639,0
65.36,22,285,308,18,18,20,44,21,9,641,0
65.42,22,286,307,18,18,20,44,21,9,643,0
65.38,22,285,308,18,18,20,44,21,9,646,0
65.39,22,285,308,18,18,20,44,21,9,660,0
65.39,22,285,309,18,18,20,44,21,9,660,0
65.41,22,285,309,18,18,20,44,21,9,677,0
65.39,22,282,305,18,18,20,43,21,9,618,0
65.45,21,282,304,18,18,20,43,21,9,618,0
65.44,22,282,305,18,18,20,43,21,9,618,0
65.42,22,282,305,18,18,20,43,21,9,618,0
