Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.26,88,1654,1248,60,73,91,242,120,28,3506,0
65.1,88,1645,1249,60,72,91,243,120,28,3472,0
65.2,88,1634,1249,60,72,91,242,120,28,3461,0
65.22,88,1615,1241,59,71,91,242,119,28,3425,0
65.25,88,1613,1241,59,71,91,243,119,28,3400,0
65.34,88,1601,1239,59,70,90,241,118,28,3385,0
65.31,87,1596,1237,59,70,90,241,119,28,3352,0
65.36,87,1589,1239,58,70,90,241,118,28,3346,0
65.37,87,1587,1236,58,70,90,241,118,28,3322,0
65.41,87,1586,1237,58,69,90,240,118,28,3318,0
65.3,87,1578,1237,58,69,90,241,118,28,3304,0
65.29,87,1579,1240,58,69,90,241,118,28,3300,0
65.29,87,1577,1241,58,69,90,240,118,27,3291,0
65.34,86,1564,1221,57,68,89,238,118,27,3232,0
65.3,87,1566,1226,57,68,89,238,118,27,3232,0
65.34,87,1566,1225,57,68,89,239,118,27,3222,0
65.4,86,1558,1220,57,68,89,237,117,27,3220,0
65.31,87,1560,1223,57,68,89,238,118,27,3212,0
65.39,86,1556,1224,57,68,89,238,117,27,3219,0
65.35,86,1557,1224,57,68,89,237,117,27,3212,0
65.32,84,1521,1198,56,66,89,240,114,26,3199,0
65.36,86,1545,1222,57,67,90,244,117,27,3194,0
65.36,86,1536,1220,57,67,90,243,117,27,3170,0
65.35,86,1548,1226,57,67,90,243,117,27,3174,0
65.39,86,1550,1229,57,68,90,244,117,27,3201,0
65.39,87,1559,1234,57,68,91,245,118,27,3169,0
65.41,86,1555,1226,57,67,90,246,117,27,3155,0
65.43,86,1561,1231,57,67,91,245,118,27,3168,0
65.4,86,1551,1224,56,67,91,245,117,26,3150,0
65.36,85,1528,1214,56,66,88,243,116,26,3147,0
65.37,86,1545,1218,56,67,90,244,117,26,3134,0
65.43,86,1540,1222,56,67,90,243,117,27,3172,0
65.4,86,1555,1228,57,67,91,245,118,26,3153,0
65.43,86,1532,1216,56,66,89,242,117,26,3137,0
65.41,86,1561,1228,56,67,92,245,118,26,3146,0
65.42,85,1549,1223,56,66,89,242,117,26,3125,0
65.41,85,1557,1226,56,67,90,245,117,26,3114,0
65.43,86,1558,1231,56,67,90,242,117,26,3127,0
65.32,86,1556,1225,56,66,90,245,117,26,3112,0
65.34,86,1561,1232,56,66,91,243,117,26,3125,0
65.3,86,1565,1236,56,67,90,243,117,26,3134,0
65.41,86,1556,1233,56,67,90,243,118,26,3123,0
65.32,85,1552,1227,56,66,89,242,117,26,3106,0
65.34,86,1560,1231,56,66,90,242,118,26,3106,0
65.34,85,1551,1226,56,66,89,240,117,26,3116,0
