Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.29,61,1636,1375,50,75,94,195,178,18,2493,0
65.15,61,1608,1368,49,74,94,193,175,18,2517,0
65.26,61,1588,1364,49,73,93,193,173,18,2553,0
65.31,61,1583,1360,49,73,94,193,173,18,2448,0
65.15,61,1572,1354,49,72,93,192,172,18,2429,0
65.19,61,1570,1356,48,72,93,193,172,18,2430,0
65.19,61,1564,1355,48,72,93,193,171,18,2423,0
65.21,61,1559,1355,48,72,93,193,171,18,2412,0
65.22,61,1545,1354,48,72,93,192,170,18,2409,0
65.23,61,1540,1351,48,71,93,192,169,18,2407,0
65.26,61,1526,1344,48,71,92,191,168,18,2401,0
65.18,61,1518,1340,47,71,92,191,167,18,2390,0
65.23,61,1508,1338,47,70,92,190,167,18,2388,0
65.25,61,1457,1329,47,69,92,190,163,17,2378,0
65.3,61,1493,1337,47,70,92,192,165,17,2382,0
65.26,61,1501,1339,47,70,92,192,166,17,2380,0
65.36,61,1502,1334,47,71,92,195,166,17,2378,0
65.19,60,1500,1331,47,70,92,194,166,17,2369,0
65.15,61,1503,1333,47,70,92,195,166,17,2368,0
65.29,61,1505,1333,47,70,92,195,166,17,2363,0
65.29,61,1506,1332,47,70,92,196,165,17,2357,0
65.39,61,1528,1334,48,71,93,200,166,17,2353,0
65.36,61,1530,1335,48,71,93,201,166,17,2352,0
65.38,61,1533,1336,48,71,94,202,166,17,2350,0
65.19,61,1527,1332,48,71,94,203,166,17,2350,0
65.19,61,1528,1334,48,71,95,204,166,17,2346,0
65.21,61,1525,1331,48,71,95,206,166,17,2346,0
65.26,61,1528,1334,48,71,96,206,166,17,2344,0
65.2,61,1527,1333,48,71,96,206,166,17,2342,0
65.33,61,1522,1332,48,71,95,206,165,17,2341,0
65.36,61,1522,1331,48,71,95,206,165,17,2340,0
65.33,61,1526,1333,48,71,95,206,166,17,2335,0
65.35,61,1524,1332,48,71,95,206,166,17,2334,0
65.33,61,1523,1331,48,71,95,206,166,17,2334,0
65.36,61,1522,1332,48,71,95,206,166,17,2338,0
65.39,61,1522,1331,48,71,95,206,166,17,2337,0
65.31,61,1524,1332,48,71,95,206,166,17,2332,0
65.31,61,1524,1331,48,71,95,206,166,17,2334,0
65.33,61,1511,1328,48,71,95,204,165,17,2340,0
65.37,61,1516,1330,48,71,95,205,165,17,2334,0
65.33,61,1516,1332,48,71,95,205,165,17,2337,0
65.29,61,1519,1333,48,71,95,205,165,17,2341,0
65.31,61,1519,1334,48,71,95,205,165,17,2343,0
65.3,61,1519,1334,48,71,95,205,165,17,2343,0
65.33,61,1517,1334,48,71,95,205,165,17,2344,0
