Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.29,57,1287,787,45,57,65,151,80,16,1431,0
65.19,57,1271,785,44,57,64,150,80,16,1428,0
65.28,57,1258,781,44,56,64,150,79,16,1425,0
65.29,57,1247,778,44,56,64,150,78,16,1423,0
65.43,57,1238,776,43,56,64,150,78,16,1420,0
65.33,56,1229,774,43,55,63,149,77,16,1418,0
65.39,56,1222,772,43,55,63,149,77,15,1414,0
65.45,56,1215,771,43,55,63,149,77,15,1412,0
65.48,56,1210,770,43,55,62,149,77,15,1409,0
65.46,56,1206,769,42,55,62,149,76,15,1408,0
65.45,56,1202,768,42,54,62,148,76,15,1406,0
65.48,56,1199,767,42,54,62,148,76,15,1405,0
65.35,56,1195,767,42,54,62,148,76,15,1403,0
65.41,56,1191,771,42,54,62,148,76,15,1404,0
65.37,56,1189,768,42,54,62,148,75,15,1400,0
65.42,56,1186,766,42,54,62,148,75,15,1398,0
65.42,56,1183,765,42,53,61,148,75,15,1396,0
65.41,56,1181,765,42,53,61,148,75,15,1396,0
65.42,56,1179,764,41,53,61,148,75,15,1394,0
65.42,56,1177,763,41,53,61,148,75,15,1394,0
65.46,56,1176,763,41,53,61,148,75,15,1394,0
65.47,55,1174,763,41,53,61,148,75,15,1392,0
65.48,55,1172,763,41,53,61,148,75,15,1390,0
65.51,55,1171,763,41,53,61,148,75,15,1392,0
65.38,55,1169,762,41,53,61,148,75,15,1389,0
65.38,55,1168,762,41,53,61,148,75,15,1388,0
65.37,55,1167,762,41,53,61,148,75,15,1387,0
65.4,55,1165,761,41,53,61,148,74,15,1386,0
65.42,55,1165,761,41,53,61,148,74,15,1386,0
65.39,55,1163,761,41,53,61,148,74,15,1384,0
65.39,55,1162,761,41,53,61,148,74,15,1384,0
65.42,55,1161,760,41,53,61,148,74,15,1384,0
65.39,55,1160,760,41,53,61,148,74,15,1383,0
65.42,55,1160,760,41,53,61,148,74,15,1383,0
65.36,55,1159,760,41,52,61,148,74,15,1384,0
65.42,55,1158,760,41,52,61,148,74,15,1381,0
65.46,55,1157,760,41,52,61,148,74,15,1381,0
65.39,55,1157,760,41,52,61,148,74,15,1381,0
65.4,55,1156,760,40,52,61,148,74,15,1380,0
65.44,55,1155,760,40,52,60,148,74,15,1379,0
65.42,55,1155,759,40,52,60,148,74,15,1379,0
65.38,55,1154,759,40,52,60,148,74,15,1379,0
65.39,55,1154,759,40,52,60,148,74,15,1379,0
65.43,55,1153,759,40,52,60,148,74,15,1378,0
65.39,55,1152,759,40,52,60,148,74,15,1378,0
