Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.24,52,1246,1163,44,55,70,189,85,18,2162,0
65.14,52,1232,1162,44,54,70,188,85,18,2136,0
65.17,52,1219,1158,44,54,69,187,84,17,2119,0
65.22,52,1207,1153,43,53,69,187,84,17,2107,0
65.13,52,1200,1151,43,53,68,187,83,17,2109,0
65.09,52,1192,1149,43,53,68,186,83,17,2085,0
65.07,52,1186,1147,43,52,68,185,83,17,2077,0
65.17,52,1181,1145,43,52,68,185,82,17,2070,0
65.17,52,1176,1144,42,52,67,185,82,17,2062,0
65.16,52,1175,1143,42,52,67,185,82,17,2069,0
65.16,52,1170,1141,42,52,67,184,82,17,2056,0
65.2,52,1167,1140,42,51,67,184,82,17,2050,0
65.21,52,1162,1138,42,51,67,184,81,17,2046,0
65.19,52,1160,1139,42,51,67,184,81,17,2042,0
65.25,52,1158,1137,42,51,67,184,81,17,2039,0
65.21,51,1155,1137,42,51,66,183,81,17,2033,0
65.19,51,1153,1136,42,51,66,183,81,17,2033,0
65.22,51,1152,1136,42,51,66,183,81,17,2033,0
65.23,51,1150,1135,42,51,66,183,81,17,2030,0
65.28,51,1149,1135,41,51,66,183,81,17,2029,0
65.19,51,1145,1135,41,50,66,182,81,17,2013,0
65.26,51,1147,1135,41,50,66,183,81,17,2023,0
65.23,51,1146,1134,41,50,66,183,80,17,2019,0
65.25,51,1142,1132,41,50,66,183,80,17,2011,0
65.3,51,1140,1132,41,50,66,182,80,17,2006,0
65.13,51,1140,1132,41,50,66,182,80,17,2008,0
65.19,51,1138,1132,41,50,66,182,80,17,2005,0
65.24,51,1137,1131,41,50,66,182,80,17,2003,0
65.19,51,1137,1131,41,50,66,182,80,17,2003,0
65.24,51,1136,1131,41,50,66,182,80,16,2000,0
65.19,51,1135,1130,41,50,66,182,80,16,1998,0
65.28,51,1134,1130,41,50,66,182,80,16,1996,0
65.26,51,1134,1130,41,50,66,182,80,16,1996,0
65.28,51,1132,1129,41,50,66,182,80,16,1992,0
65.23,51,1133,1129,41,50,66,182,80,16,1992,0
65.27,51,1132,1129,41,50,66,182,80,16,1991,0
65.27,51,1131,1129,41,50,66,182,80,16,1990,0
65.29,51,1130,1129,41,49,66,181,80,16,1988,0
65.24,51,1131,1128,41,49,65,182,80,16,1990,0
65.21,51,1130,1129,41,49,65,181,80,16,1987,0
65.29,51,1130,1129,41,49,65,182,80,16,1990,0
65.18,51,1129,1128,40,49,65,182,80,16,1987,0
65.21,51,1128,1128,40,49,65,181,80,16,1987,0
65.17,51,1128,1128,40,49,65,181,80,16,1985,0
65.19,51,1127,1128,40,49,65,181,80,16,1983,0
