Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.34,25,366,313,21,22,24,52,25,9,648,0
65.23,25,357,316,20,22,24,51,25,9,653,0
65.32,24,352,317,20,22,23,51,24,9,659,0
65.41,24,349,319,20,21,23,51,24,9,664,0
65.43,24,344,319,20,21,23,51,24,9,667,0
65.41,24,342,320,20,21,23,51,24,9,670,0
65.41,24,339,320,20,21,23,50,23,9,673,0
65.39,24,336,321,19,21,22,50,23,9,673,0
65.38,24,335,321,19,21,22,50,23,9,676,0
65.39,24,334,321,19,21,22,50,23,9,678,0
65.46,23,332,321,19,20,22,50,23,9,678,0
65.41,23,330,321,19,20,22,50,23,9,679,0
65.43,23,329,321,19,20,22,50,23,9,681,0
65.4,23,328,321,19,20,22,49,22,9,682,0
65.47,23,326,321,19,20,22,49,22,9,682,0
65.48,23,325,321,19,20,22,49,22,9,682,0
65.48,23,324,321,19,20,22,49,22,9,684,0
65.51,23,324,321,19,20,22,49,22,9,684,0
65.42,23,323,321,19,20,22,49,22,9,684,0
65.43,23,321,321,19,20,22,49,22,9,684,0
65.42,23,321,320,19,20,22,49,22,9,685,0
65.41,23,320,321,18,20,21,49,22,9,684,0
65.36,23,319,320,18,20,21,49,22,9,684,0
65.42,23,319,320,18,19,21,49,22,9,685,0
65.39,23,319,320,18,19,21,49,22,9,686,0
65.44,23,318,320,18,19,21,49,22,9,686,0
65.46,23,317,320,18,19,21,49,22,9,686,0
65.41,23,317,320,18,19,21,49,22,9,686,0
65.45,23,317,320,18,19,21,49,22,9,686,0
65.44,22,316,320,18,19,21,48,21,9,686,0
65.46,22,316,320,18,19,21,49,22,9,686,0
65.42,22,315,320,18,19,21,49,22,9,686,0
65.49,22,315,320,18,19,21,48,22,9,686,0
65.49,22,315,320,18,19,21,48,22,9,686,0
65.44,22,314,319,18,19,21,48,22,9,686,0
65.46,22,314,319,18,19,21,48,21,9,686,0
65.42,22,313,319,18,19,21,48,21,9,686,0
65.46,22,313,319,18,19,21,48,21,9,686,0
65.46,22,313,319,18,19,21,48,21,9,686,0
65.39,22,313,319,18,19,21,48,21,9,686,0
65.44,22,312,319,18,19,21,48,21,9,686,0
65.46,22,312,319,18,19,21,48,21,9,685,0
65.44,22,312,319,18,19,21,48,21,9,686,0
65.44,22,312,319,18,19,21,48,21,9,685,0
65.42,22,311,319,18,19,21,48,21,9,685,0
