Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.35,59,1508,829,46,62,69,165,90,16,1462,0
65.25,59,1487,828,46,61,68,165,88,16,1486,0
65.36,58,1471,827,45,61,68,165,87,16,1507,0
65.41,58,1456,826,45,61,67,165,87,16,1512,0
65.52,58,1440,823,45,60,67,164,86,15,1500,0
65.39,58,1429,822,44,60,67,164,85,15,1513,0
65.42,58,1419,822,44,60,67,164,85,15,1504,0
65.35,58,1419,824,44,60,67,164,85,15,1527,0
65.39,58,1413,823,44,60,67,164,84,15,1533,0
65.38,58,1401,821,44,59,66,164,84,15,1531,0
65.34,58,1396,821,44,59,66,163,84,15,1519,0
65.36,58,1392,820,43,59,65,164,83,15,1531,0
65.37,58,1393,822,43,59,65,164,83,15,1518,0
65.44,57,1379,819,43,59,66,163,83,15,1521,0
65.4,57,1384,822,43,59,66,163,83,15,1534,0
65.44,57,1375,820,43,59,66,163,83,15,1532,0
65.37,58,1379,822,43,59,66,164,83,15,1536,0
65.41,57,1376,821,43,59,65,163,82,15,1529,0
65.46,57,1370,821,43,59,65,163,82,15,1530,0
65.45,57,1365,819,42,59,65,163,82,15,1532,0
65.46,57,1371,821,42,59,65,163,82,15,1534,0
65.43,57,1365,821,42,58,65,163,82,15,1530,0
65.44,57,1366,822,42,59,65,163,82,15,1537,0
65.46,57,1356,820,42,58,65,163,81,15,1528,0
65.48,57,1358,820,42,58,65,163,81,15,1538,0
65.43,57,1356,820,42,58,65,162,81,15,1524,0
65.5,57,1357,821,42,58,65,163,81,15,1526,0
65.46,57,1357,821,42,58,65,163,81,15,1530,0
65.46,57,1354,821,42,58,65,163,81,15,1532,0
65.46,57,1356,822,42,58,65,163,81,15,1537,0
65.51,57,1350,820,42,58,64,162,81,15,1534,0
65.49,57,1349,820,42,58,64,162,81,15,1547,0
65.52,57,1352,822,42,58,64,163,81,15,1536,0
65.49,57,1348,820,42,58,64,162,81,15,1529,0
65.55,57,1344,820,42,58,64,162,81,15,1530,0
65.57,57,1348,821,42,58,64,162,81,15,1536,0
65.44,57,1347,821,42,58,64,162,81,15,1523,0
65.47,57,1343,820,42,58,64,162,81,15,1530,0
65.45,57,1344,821,41,58,64,162,81,15,1531,0
65.45,57,1344,821,41,58,64,162,81,15,1533,0
65.41,57,1342,820,41,58,64,162,80,15,1527,0
65.48,57,1342,821,41,58,64,162,80,14,1531,0
65.48,57,1340,821,41,58,64,162,80,14,1529,0
65.46,57,1338,820,41,58,64,162,80,14,1527,0
65.5,57,1339,821,41,58,64,162,80,14,1525,0
