Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.31,56,1315,796,45,58,64,157,82,16,1492,0
65.18,56,1288,792,44,57,64,157,80,16,1499,0
65.3,56,1266,788,44,57,64,156,79,16,1502,0
65.39,55,1248,785,44,57,63,156,78,16,1504,0
65.44,55,1233,782,43,56,63,155,77,15,1504,0
65.36,55,1220,780,43,56,62,155,77,15,1503,0
65.39,55,1210,779,43,56,62,155,76,15,1504,0
65.36,55,1201,777,42,55,62,155,76,15,1504,0
65.35,54,1193,776,42,55,61,155,75,15,1504,0
65.36,54,1186,775,42,55,61,154,75,15,1504,0
65.33,54,1179,773,42,55,61,154,75,15,1504,0
65.38,54,1174,772,42,55,61,154,74,15,1504,0
65.38,54,1168,772,41,54,61,154,74,15,1503,0
65.37,54,1164,771,41,54,60,154,74,15,1504,0
65.36,54,1160,770,41,54,60,154,73,15,1503,0
65.4,54,1156,769,41,54,60,153,73,15,1504,0
65.39,54,1152,768,41,54,60,153,73,15,1503,0
65.45,54,1149,768,41,54,60,153,73,15,1503,0
65.4,53,1145,767,41,54,60,153,73,15,1502,0
65.39,53,1143,766,41,54,60,153,73,15,1502,0
65.4,53,1140,766,41,54,59,153,73,15,1502,0
65.39,53,1138,766,40,53,59,152,72,15,1501,0
65.41,53,1135,765,40,53,59,152,72,14,1500,0
65.44,53,1133,764,40,53,59,152,72,14,1501,0
65.43,53,1131,764,40,53,59,152,72,14,1500,0
65.41,53,1130,763,40,53,59,152,72,14,1500,0
65.47,53,1128,763,40,53,59,152,72,14,1499,0
65.48,53,1126,763,40,53,59,152,72,14,1499,0
65.42,53,1125,762,40,53,59,152,72,14,1498,0
65.44,53,1123,762,40,53,59,152,72,14,1498,0
65.47,53,1122,762,40,53,59,152,71,14,1498,0
65.4,53,1121,762,40,53,59,151,71,14,1497,0
65.35,53,1120,762,40,53,59,151,71,14,1497,0
65.47,53,1119,761,40,53,58,151,71,14,1497,0
65.52,53,1117,761,40,53,58,151,71,14,1497,0
65.33,53,1116,761,39,53,58,151,71,14,1496,0
65.44,53,1115,760,39,53,58,151,71,14,1496,0
65.48,53,1115,760,39,53,58,151,71,14,1496,0
65.5,53,1114,760,39,53,58,151,71,14,1496,0
65.4,53,1113,760,39,53,58,151,71,14,1495,0
65.4,53,1112,760,39,52,58,151,71,14,1494,0
65.41,53,1111,760,39,52,58,151,71,14,1495,0
65.41,53,1110,759,39,52,58,151,71,14,1495,0
65.48,53,1110,760,39,52,58,151,71,14,1495,0
65.47,53,1109,759,39,52,58,150,71,14,1495,0
