Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.33,95,1997,1404,66,84,100,285,137,34,5430,0
65.22,96,1965,1401,65,83,99,282,136,34,5254,0
65.28,99,1952,1405,65,83,99,285,135,34,5390,0
65.38,94,1936,1403,64,83,98,285,135,34,5334,0
65.34,94,1916,1401,64,82,97,283,133,34,5320,0
65.29,95,1910,1394,63,81,97,281,134,34,5237,0
65.29,95,1894,1392,63,81,97,280,132,34,5208,0
65.36,95,1880,1390,62,80,96,278,132,34,5164,0
65.29,94,1874,1387,62,81,96,281,132,34,5178,0
65.29,95,1878,1389,63,80,96,282,132,34,5077,0
65.38,94,1856,1383,62,80,96,280,131,34,5037,0
65.33,94,1858,1388,62,80,95,282,131,34,4985,0
65.35,94,1847,1380,62,80,95,280,131,33,4879,0
65.35,94,1854,1379,62,80,95,281,131,33,4776,0
65.42,93,1839,1376,61,79,95,278,130,34,4718,0
65.26,94,1840,1379,61,79,95,280,131,34,4734,0
65.32,94,1843,1390,61,79,95,281,131,34,4709,0
65.3,95,1840,1374,61,79,95,278,131,34,4652,0
65.32,93,1831,1370,61,79,94,277,130,34,4580,0
65.32,93,1823,1374,61,79,94,278,129,34,4615,0
65.32,93,1820,1371,61,78,94,276,130,34,4584,0
65.32,93,1827,1376,61,78,94,276,130,34,4542,0
65.33,93,1825,1376,61,78,94,277,130,34,4523,0
65.33,94,1825,1379,61,78,94,278,131,33,4530,0
65.43,94,1822,1364,61,78,94,277,130,33,4499,0
65.34,93,1812,1368,60,78,94,276,130,33,4518,0
65.39,94,1810,1375,60,78,94,276,130,32,4480,0
65.34,93,1804,1357,60,78,93,275,129,32,4445,0
65.42,93,1804,1352,60,77,93,275,129,32,4429,0
65.4,94,1804,1362,60,77,93,274,129,32,4407,0
65.42,93,1797,1352,60,77,93,273,129,31,4392,0
65.37,93,1810,1358,60,77,93,276,129,31,4383,0
65.41,93,1800,1355,60,77,93,275,129,31,4409,0
65.41,93,1790,1350,60,77,92,275,128,31,4404,0
65.38,93,1808,1365,60,77,94,277,129,31,4366,0
65.42,93,1799,1356,60,77,93,277,129,31,4356,0
65.39,93,1795,1359,60,77,94,276,129,31,4334,0
65.39,94,1797,1376,60,77,93,277,129,31,4360,0
65.37,93,1792,1361,60,77,93,276,129,31,4330,0
65.42,94,1791,1366,60,77,92,276,129,31,4331,0
65.39,94,1787,1365,59,77,92,276,128,31,4313,0
65.45,94,1790,1370,60,77,93,278,129,31,4345,0
65.42,94,1801,1373,60,77,93,278,129,31,4315,0
65.45,94,1793,1364,60,77,93,276,129,31,4301,0
65.35,94,1788,1364,60,77,93,276,129,31,4295,0
