Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.31,83,1720,1205,59,74,89,244,119,26,3793,0
65.2,83,1699,1205,59,74,87,244,118,26,3789,0
65.28,82,1691,1207,58,73,88,244,118,26,3785,0
65.38,82,1679,1205,58,73,88,244,117,26,3782,0
65.26,82,1669,1205,58,73,87,243,117,26,3778,0
65.31,82,1661,1207,57,72,87,243,116,26,3769,0
65.3,82,1653,1205,57,72,87,243,116,26,3767,0
65.29,82,1646,1205,57,72,86,243,116,26,3762,0
65.34,82,1641,1206,57,72,86,243,115,26,3753,0
65.32,82,1635,1206,56,71,86,243,115,26,3751,0
65.36,82,1631,1205,56,71,86,243,115,26,3748,0
65.32,82,1627,1206,56,71,86,243,115,26,3741,0
65.36,82,1623,1205,56,71,86,242,115,26,3738,0
65.34,82,1620,1205,56,71,86,242,115,26,3733,0
65.43,82,1617,1205,56,71,86,242,114,26,3731,0
65.35,82,1614,1204,56,71,86,242,114,26,3727,0
65.29,81,1611,1204,56,70,85,242,114,26,3721,0
65.3,81,1609,1204,56,70,85,242,114,26,3719,0
65.28,81,1606,1204,55,70,85,242,114,26,3714,0
65.33,81,1605,1204,55,70,85,242,114,26,3710,0
65.28,81,1602,1203,55,70,85,242,114,25,3708,0
65.29,81,1600,1203,55,70,85,242,114,26,3704,0
65.32,81,1599,1204,55,70,85,242,114,25,3702,0
65.32,81,1597,1203,55,70,85,242,114,25,3700,0
65.38,81,1595,1203,55,70,84,242,114,25,3694,0
65.3,81,1594,1203,55,70,85,242,114,25,3695,0
65.35,81,1593,1203,55,69,85,242,114,25,3691,0
65.37,81,1591,1203,55,69,85,242,113,25,3690,0
65.33,81,1590,1204,55,69,85,241,113,25,3684,0
65.38,81,1589,1203,55,69,85,241,113,25,3685,0
65.36,81,1588,1203,55,69,85,241,113,25,3682,0
65.34,81,1587,1203,55,69,85,241,113,25,3680,0
65.39,81,1585,1203,55,69,85,241,113,25,3677,0
65.37,81,1584,1203,55,69,85,241,113,25,3676,0
65.37,81,1584,1203,55,69,85,241,113,25,3674,0
65.36,81,1583,1203,55,69,85,241,113,25,3672,0
65.39,81,1582,1203,55,69,85,241,113,25,3671,0
65.39,81,1582,1203,54,69,84,241,113,25,3669,0
65.44,81,1581,1203,54,69,84,241,113,25,3669,0
65.36,81,1580,1203,54,69,84,241,113,25,3667,0
65.32,81,1579,1204,54,69,84,241,113,25,3663,0
65.37,81,1579,1203,54,69,84,241,113,25,3664,0
65.33,81,1578,1203,54,69,84,241,113,25,3662,0
65.34,81,1578,1204,54,69,84,241,113,25,3659,0
65.29,81,1577,1203,54,69,84,241,113,25,3659,0
