Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.28,55,1595,1300,46,64,77,215,99,19,2639,0
64.96,55,1573,1295,46,63,76,215,99,19,2602,0
65.15,54,1539,1285,45,62,75,214,97,18,2575,0
65.25,54,1519,1280,45,62,74,212,96,18,2558,0
65.15,53,1508,1272,45,61,74,213,95,18,2548,0
65.18,53,1487,1268,44,61,73,212,94,18,2534,0
65.14,53,1484,1265,44,61,73,212,94,18,2538,0
65.15,53,1471,1265,44,61,73,212,93,18,2524,0
65.14,53,1461,1262,44,60,72,211,92,18,2540,0
65.16,53,1447,1257,43,60,72,211,92,18,2514,0
65.14,53,1446,1256,43,60,72,211,92,18,2523,0
65.17,52,1428,1251,43,59,71,209,91,18,2504,0
65.13,53,1428,1249,43,59,71,210,91,18,2508,0
65.14,52,1426,1246,43,59,71,209,91,18,2503,0
65.15,52,1418,1243,43,59,71,209,90,18,2482,0
65.17,52,1416,1242,43,59,71,209,90,17,2482,0
65.24,52,1409,1240,42,58,71,209,90,17,2477,0
65.18,52,1404,1238,42,58,70,208,89,17,2469,0
65.24,52,1410,1239,42,58,70,208,90,17,2464,0
65.23,52,1400,1238,42,58,70,208,89,17,2467,0
65.23,52,1400,1238,42,58,70,208,89,17,2466,0
65.22,52,1401,1237,42,58,70,208,89,17,2462,0
65.24,52,1401,1236,42,58,70,208,89,17,2464,0
65.25,52,1398,1236,42,58,70,208,89,17,2464,0
65.27,52,1394,1235,42,58,70,208,89,17,2457,0
65.26,52,1395,1234,42,58,70,208,89,17,2457,0
65.18,52,1388,1233,42,58,70,208,89,17,2455,0
65.17,52,1383,1232,42,57,69,208,88,17,2457,0
65.16,52,1381,1231,42,57,69,207,88,17,2456,0
65.2,52,1379,1230,41,57,69,207,88,17,2449,0
65.2,52,1378,1230,41,57,69,206,88,17,2438,0
65.19,52,1380,1230,41,57,69,207,88,17,2444,0
65.19,52,1380,1230,41,57,69,207,88,17,2451,0
65.24,52,1378,1230,41,57,69,207,88,17,2445,0
65.22,52,1383,1229,41,57,69,207,88,17,2444,0
65.17,52,1372,1231,41,57,69,207,88,17,2453,0
65.19,51,1368,1225,41,57,69,206,87,17,2431,0
65.22,51,1366,1224,41,57,69,206,88,17,2428,0
65.25,51,1365,1223,41,57,69,206,87,17,2426,0
65.23,51,1362,1222,41,57,69,206,87,17,2422,0
65.21,51,1359,1221,41,57,69,206,87,17,2416,0
65.21,51,1361,1221,41,56,69,206,87,17,2417,0
65.19,51,1359,1220,41,56,69,206,87,17,2415,0
65.21,51,1358,1220,41,56,69,206,87,17,2415,0
65.18,51,1357,1219,41,56,68,206,87,17,2414,0
