Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,83,2076,1184,57,69,87,226,130,29,4438,1
65.3,82,2022,1169,56,68,85,225,127,28,4372,1
65.19,82,2010,1166,56,68,85,226,126,28,4322,1
65.33,82,1963,1155,55,67,84,223,125,27,4268,1
65.34,81,1942,1152,55,67,84,222,124,27,4248,1
65.39,81,1925,1147,55,67,83,222,123,27,4230,1
65.41,82,1922,1150,55,67,83,222,123,27,4216,1
65.3,82,1903,1147,54,66,83,221,122,27,4186,1
65.25,82,1896,1147,54,66,83,221,122,27,4202,1
65.27,82,1912,1155,54,67,83,223,123,27,4211,1
65.27,82,1890,1150,54,67,83,222,122,27,4191,1
65.29,82,1886,1150,54,66,83,222,122,27,4166,1
65.26,82,1880,1150,54,66,83,222,121,27,4159,1
65.29,82,1871,1148,54,66,83,222,121,27,4154,1
65.27,82,1867,1149,54,66,83,222,121,27,4154,1
65.29,82,1876,1152,54,66,83,223,121,26,4117,1
65.36,82,1871,1151,54,66,83,223,121,26,4121,1
65.27,82,1863,1150,54,66,82,223,121,26,4114,1
65.28,82,1856,1149,54,66,82,223,120,26,4104,1
65.28,82,1851,1148,53,66,82,223,120,26,4094,1
65.28,81,1847,1150,53,66,82,222,120,26,4069,1
65.31,82,1845,1147,53,66,82,222,120,26,4082,1
65.31,82,1841,1146,53,66,82,222,120,26,4073,1
65.3,81,1838,1149,53,66,82,222,120,26,4046,1
65.32,82,1836,1146,53,66,82,222,120,26,4061,1
65.34,81,1833,1148,53,66,82,222,119,26,4035,1
65.37,82,1831,1145,53,66,82,222,119,26,4053,1
65.36,82,1830,1145,53,66,82,222,119,26,4049,1
65.34,81,1826,1147,53,65,81,221,119,26,4022,1
65.35,82,1825,1144,53,65,81,221,119,26,4039,1
65.34,81,1824,1145,53,65,81,221,119,26,4022,1
65.39,81,1820,1146,53,65,81,221,119,26,4011,1
65.35,82,1819,1142,53,65,81,221,119,26,4029,1
65.33,82,1818,1142,53,65,81,221,119,26,4026,1
65.38,81,1815,1144,52,65,81,220,119,26,3999,1
65.43,81,1815,1143,52,65,81,220,119,26,4003,1
65.35,80,1810,1146,52,65,81,220,119,26,3966,1
65.41,81,1812,1143,52,65,81,220,119,26,3996,1
65.43,81,1811,1142,52,65,81,220,118,26,3998,1
65.38,81,1808,1143,52,65,81,220,118,26,3984,1
65.3,81,1808,1140,52,65,81,220,118,26,4001,1
65.37,81,1805,1142,52,65,81,220,118,26,3978,1
65.34,81,1804,1141,52,65,81,220,118,26,3980,1
65.4,81,1803,1142,52,64,81,220,118,26,3973,1
65.35,81,1802,1141,52,64,81,220,118,26,3969,1
