Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.34,65,2145,1219,52,72,99,225,175,16,1784,0
65.24,65,2127,1224,52,72,98,226,174,16,1822,0
65.34,64,2116,1219,52,72,98,226,173,16,1825,0
65.32,64,2092,1213,51,71,97,223,172,16,1821,0
65.35,64,2087,1213,51,71,97,226,171,16,1846,0
65.32,64,2075,1209,51,71,97,225,170,16,1847,0
65.34,63,2066,1204,50,71,96,223,169,16,1836,0
65.34,63,2039,1195,50,70,96,223,167,16,1848,0
65.41,63,2030,1192,50,70,95,224,167,16,1839,0
65.22,63,2029,1196,50,70,95,223,167,16,1841,0
65.36,63,2028,1195,50,70,95,224,166,16,1850,0
65.39,63,2023,1193,49,69,95,224,166,16,1850,0
65.3,63,2019,1188,49,69,95,222,165,16,1831,0
65.29,63,2002,1186,49,69,95,222,164,16,1872,0
65.27,63,2009,1189,49,69,95,223,164,16,1855,0
65.32,62,2003,1187,49,69,94,219,164,16,1880,0
65.31,62,1993,1183,49,68,94,219,163,16,1858,0
65.33,62,1992,1184,49,68,94,221,163,16,1869,0
65.26,62,1991,1184,49,68,94,222,163,16,1867,0
65.3,62,1993,1186,49,68,94,222,163,16,1892,0
65.34,62,1989,1185,48,68,94,221,163,16,1885,0
65.28,62,1992,1188,48,68,94,221,163,16,1884,0
65.33,62,1988,1186,48,68,94,220,163,16,1905,0
65.31,62,1990,1189,48,68,94,221,163,16,1899,0
65.33,62,1981,1178,48,68,93,217,163,15,1820,0
65.34,62,1989,1187,48,68,94,220,163,16,1880,0
65.37,62,1981,1178,48,67,93,218,163,15,1826,0
65.35,62,1975,1178,48,68,93,218,162,16,1854,0
65.37,62,1980,1180,48,68,93,218,162,16,1842,0
65.32,61,1971,1178,48,67,92,217,162,15,1822,0
65.31,62,1978,1182,48,68,93,217,163,15,1833,0
65.37,62,1981,1184,48,68,93,221,163,16,1870,0
65.4,62,1967,1176,48,67,93,220,162,15,1864,0
65.4,62,1973,1181,48,67,93,220,162,15,1867,0
65.34,62,1969,1179,48,67,93,219,162,15,1865,0
65.38,62,1961,1179,48,67,93,219,161,16,1888,0
65.36,61,1954,1173,47,67,92,219,161,15,1819,0
65.33,61,1941,1171,47,67,92,216,160,15,1846,0
65.35,61,1951,1171,47,67,92,216,160,15,1834,0
65.33,61,1953,1171,47,67,92,216,160,15,1809,0
65.42,61,1952,1172,47,67,92,216,161,15,1805,0
65.29,61,1951,1170,47,67,92,216,160,15,1821,0
65.33,61,1947,1174,47,67,92,216,161,15,1849,0
65.38,61,1952,1168,47,67,92,215,161,15,1812,0
65.31,61,1946,1172,47,67,92,215,160,15,1812,0
