Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,91,2276,1288,64,74,96,256,133,54,7400,1
65.19,92,2379,1308,66,77,100,278,142,53,7484,1
65.24,93,2132,1338,64,76,96,259,142,57,7682,1
65.37,88,1830,1217,60,70,94,234,127,46,6671,1
65.29,89,1883,1194,61,71,99,248,131,46,6747,1
65.27,89,1982,1206,60,72,93,251,126,46,6693,1
65.31,82,1740,1141,56,66,84,221,115,40,6109,1
65.26,78,1607,1079,53,63,78,210,106,38,5918,1
65.32,76,1619,1063,52,62,77,209,105,37,5872,1
65.32,75,1531,1027,51,61,75,201,101,34,5620,1
65.31,75,1570,1049,51,61,76,205,103,34,5590,1
65.35,74,1532,1029,50,60,75,199,101,32,5358,1
65.29,74,1536,1021,50,60,75,200,101,33,5432,1
65.34,74,1513,1010,50,60,74,197,100,31,5323,1
65.34,74,1541,1023,50,60,74,200,101,31,5295,1
65.27,73,1521,1017,49,60,74,196,101,31,5244,1
65.31,75,1541,1026,50,60,75,198,102,31,5248,1
65.35,75,1546,1024,50,60,75,198,102,31,5269,1
65.29,75,1558,1026,50,61,75,199,102,32,5265,1
65.34,74,1540,1028,49,60,74,198,102,32,5147,1
65.3,74,1542,1027,50,60,75,201,102,31,5126,1
65.34,74,1552,1032,49,60,75,202,102,31,5075,1
65.31,74,1568,1040,49,60,75,201,103,31,5058,1
65.35,75,1573,1039,49,61,75,201,104,30,5011,1
65.36,75,1580,1048,50,60,75,205,105,30,5032,1
65.39,75,1586,1059,50,61,76,205,105,30,5009,1
65.36,77,1628,1076,50,61,76,207,108,31,5021,1
65.37,77,1639,1079,50,62,77,210,109,31,4986,1
65.36,76,1637,1081,50,61,76,208,109,30,4945,1
65.37,77,1651,1083,50,62,77,207,110,30,4925,1
65.41,78,1686,1106,51,62,78,208,112,30,4998,1
65.4,77,1659,1090,50,62,77,209,110,30,4912,1
65.41,77,1651,1088,50,61,77,206,110,30,4937,1
65.39,77,1654,1086,50,61,77,206,110,30,4913,1
65.42,78,1678,1094,50,62,77,208,111,30,4950,1
65.4,78,1701,1106,50,62,78,211,112,30,4896,1
65.42,78,1684,1096,50,62,78,209,111,30,4852,1
65.34,79,1700,1105,50,62,78,210,112,30,4823,1
65.38,79,1716,1113,50,63,78,211,113,30,4847,1
65.33,78,1702,1106,50,62,77,209,112,29,4770,1
65.33,78,1719,1112,50,62,78,211,113,29,4792,1
65.27,79,1751,1117,51,63,78,214,115,29,4830,1
65.33,79,1738,1116,51,63,78,213,114,30,4772,1
65.37,79,1766,1129,51,63,79,215,116,29,4773,1
65.35,80,1770,1125,51,63,79,214,116,30,4789,1
