Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.3,87,2196,1242,60,72,90,244,135,32,4889,1
65.21,87,2165,1243,60,73,89,248,134,32,4871,1
65.32,86,2143,1244,59,73,89,248,133,32,4881,1
65.28,86,2120,1245,59,72,88,247,132,32,4837,1
65.34,86,2112,1248,58,72,88,247,132,32,4740,1
65.36,86,2078,1239,58,72,87,245,130,31,4742,1
65.39,86,2070,1239,58,71,87,245,130,31,4786,1
65.29,86,2059,1246,58,71,87,245,130,31,4609,1
65.25,86,2045,1244,57,71,87,244,130,31,4704,1
65.26,87,2043,1246,57,71,88,246,130,31,4676,1
65.3,87,2030,1242,57,71,87,244,130,31,4612,1
65.26,87,2036,1249,57,70,87,245,130,31,4541,1
65.27,87,2004,1246,57,70,87,243,128,30,4518,1
65.3,87,2002,1244,56,70,87,243,128,30,4521,1
65.29,87,1992,1243,56,70,87,242,128,30,4406,1
65.29,87,1986,1244,56,70,87,242,128,30,4416,1
65.36,87,2002,1241,56,70,87,243,128,30,4418,1
65.39,87,1993,1231,56,69,87,242,128,29,4421,1
65.32,87,1983,1225,56,69,87,242,127,29,4386,1
65.29,87,1972,1229,56,69,86,241,127,29,4301,1
65.4,86,1961,1234,55,69,86,240,127,29,4296,1
65.4,86,1948,1220,55,69,85,240,126,29,4303,1
65.38,85,1936,1219,55,68,85,239,125,29,4277,1
65.43,86,1937,1219,55,69,85,239,125,29,4286,1
65.36,85,1927,1218,55,68,85,238,125,29,4254,1
65.38,86,1928,1215,55,68,85,238,125,29,4260,1
65.34,86,1922,1214,55,68,85,238,125,28,4238,1
65.37,85,1921,1216,54,68,84,237,124,28,4194,1
65.38,85,1917,1213,54,68,84,237,124,28,4189,1
65.35,85,1912,1208,54,68,84,237,124,28,4188,1
65.35,85,1909,1208,54,67,84,236,124,28,4163,1
65.41,85,1908,1203,54,67,84,236,124,28,4183,1
65.36,85,1905,1203,54,67,84,236,124,27,4158,1
65.37,85,1900,1198,54,67,84,235,123,27,4154,1
65.43,84,1894,1194,54,67,84,235,123,27,4103,1
65.4,84,1894,1191,54,67,84,235,123,27,4106,1
65.42,84,1890,1190,54,67,84,235,123,27,4104,1
65.42,84,1888,1191,53,67,83,235,123,27,4096,1
65.44,84,1882,1187,54,67,83,234,122,26,4085,1
65.39,84,1875,1187,53,66,83,233,122,26,4055,1
65.43,84,1872,1187,53,66,83,233,122,26,4048,1
65.42,84,1871,1186,53,66,83,233,122,26,4046,1
65.42,84,1866,1183,53,66,83,233,122,26,4046,1
65.45,84,1865,1183,53,66,83,233,121,26,4036,1
65.41,84,1863,1183,53,66,83,233,121,26,4035,1
