Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.34,25,369,288,21,22,24,53,25,9,654,0
65.35,25,360,290,21,22,24,51,24,9,661,0
65.22,25,359,292,20,22,24,52,24,9,666,0
65.35,25,355,294,20,22,24,51,24,9,670,0
65.43,24,349,295,20,21,23,50,24,9,666,0
65.24,24,347,296,20,21,23,51,23,9,670,0
65.43,24,344,297,20,21,23,51,23,9,676,0
65.45,24,341,298,20,21,23,51,23,9,678,0
65.4,24,339,299,19,21,23,51,23,9,682,0
65.39,24,337,299,19,21,23,50,23,9,682,0
65.43,24,335,300,19,21,22,50,23,9,684,0
65.44,24,333,300,19,20,22,50,23,9,683,0
65.43,24,332,301,19,20,22,50,22,9,689,0
65.43,24,331,301,19,20,22,50,22,9,687,0
65.43,24,330,302,19,20,22,50,22,9,692,0
65.42,23,329,301,19,20,22,50,22,9,696,0
65.44,23,328,302,19,20,22,50,22,9,697,0
65.47,23,327,302,19,20,22,50,22,9,695,0
65.36,23,320,300,18,20,22,49,22,9,680,0
65.45,23,320,301,18,20,22,49,22,9,684,0
65.35,23,319,300,18,20,22,49,22,9,683,0
65.36,23,318,301,18,20,22,49,22,9,682,0
65.36,23,318,301,18,19,21,49,22,9,681,0
65.38,23,318,301,18,19,21,49,22,9,683,0
65.43,23,316,300,18,19,21,48,21,9,678,0
65.37,23,316,301,18,19,21,49,21,9,678,0
65.41,23,314,301,18,19,21,48,21,9,677,0
65.42,23,314,300,18,19,21,48,21,9,675,0
65.37,23,314,301,18,19,21,48,21,9,676,0
65.44,23,313,301,18,19,21,48,21,9,675,0
65.46,22,311,300,18,19,21,48,21,9,669,0
65.45,22,311,300,18,19,21,48,21,9,670,0
65.41,22,311,300,18,19,21,47,21,9,670,0
65.47,22,310,299,18,19,21,47,21,9,669,0
65.43,22,310,300,18,19,21,47,21,9,669,0
65.47,22,310,300,18,19,21,47,21,9,670,0
65.44,22,309,300,18,19,21,47,21,9,669,0
65.48,22,309,300,18,19,21,47,21,9,669,0
65.5,22,309,300,18,19,21,47,21,9,670,0
65.47,22,307,299,18,19,21,47,21,9,667,0
65.5,22,307,299,17,19,21,47,21,9,666,0
65.47,22,306,299,17,19,21,47,21,9,665,0
65.46,22,305,300,17,18,21,47,21,9,662,0
65.5,22,307,299,17,19,21,47,21,9,666,0
65.49,22,306,299,17,19,21,47,21,9,665,0
