Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.32,83,1833,1229,59,76,89,250,124,25,3697,0
65.21,83,1816,1229,59,75,89,250,123,25,3712,0
65.32,83,1802,1227,58,75,88,250,122,25,3719,0
65.28,83,1789,1226,58,74,89,249,122,25,3722,0
65.39,83,1780,1225,58,74,88,249,121,25,3726,0
65.32,83,1768,1223,58,74,88,249,120,25,3728,0
65.21,83,1761,1224,57,74,88,249,120,25,3729,0
65.35,83,1755,1223,57,74,87,249,120,25,3729,0
65.38,82,1750,1224,57,73,88,249,120,25,3725,0
65.34,82,1745,1224,57,73,88,249,119,25,3725,0
65.39,82,1739,1224,57,73,88,249,119,25,3725,0
65.41,82,1735,1224,57,73,87,249,119,25,3723,0
65.39,82,1731,1224,57,73,87,249,119,25,3720,0
65.43,82,1728,1224,56,73,87,249,118,25,3717,0
65.43,82,1725,1224,56,72,87,249,118,24,3714,0
65.38,82,1721,1224,56,72,87,249,118,24,3713,0
65.39,82,1718,1224,56,72,87,249,118,24,3709,0
65.38,82,1717,1224,56,72,87,249,118,25,3707,0
65.39,82,1715,1224,56,72,87,249,118,24,3704,0
65.36,82,1712,1224,56,72,87,249,118,24,3702,0
65.39,82,1711,1225,56,72,87,249,118,24,3701,0
65.36,82,1710,1225,56,72,87,249,118,24,3699,0
65.37,82,1709,1225,56,72,87,249,118,24,3697,0
65.4,82,1707,1225,56,72,87,249,118,24,3695,0
65.33,82,1706,1226,56,72,86,249,118,24,3691,0
65.37,82,1706,1227,56,72,86,249,118,24,3690,0
65.38,82,1704,1226,56,72,85,249,118,24,3689,0
65.38,82,1703,1226,55,72,86,249,118,24,3686,0
65.44,82,1702,1226,55,72,86,249,118,24,3685,0
65.41,82,1702,1226,55,72,86,249,118,24,3685,0
65.39,82,1700,1226,55,72,86,249,117,24,3681,0
65.42,82,1700,1226,55,72,86,249,117,24,3680,0
65.44,82,1699,1225,55,72,86,249,117,24,3678,0
65.41,82,1699,1226,55,71,86,249,118,24,3677,0
65.41,82,1698,1226,55,71,86,249,117,24,3674,0
65.44,82,1698,1226,55,71,85,249,117,24,3673,0
65.44,82,1697,1225,55,71,86,249,117,24,3671,0
65.4,82,1697,1226,55,71,86,249,117,24,3668,0
65.44,82,1696,1226,55,71,86,249,117,24,3667,0
65.42,82,1696,1226,55,71,86,249,117,24,3666,0
65.35,82,1696,1226,55,71,86,249,117,24,3664,0
65.36,82,1696,1226,55,71,86,249,117,24,3664,0
65.34,82,1694,1226,55,71,86,249,117,24,3662,0
65.38,82,1694,1227,55,71,86,249,117,24,3659,0
65.42,82,1694,1227,55,71,86,249,117,24,3658,0
