Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.29,87,1831,1263,61,78,93,261,126,26,3862,0
65.22,87,1819,1265,61,77,93,261,125,27,3855,0
65.19,87,1807,1261,61,77,93,261,125,27,3864,0
65.31,87,1793,1259,61,77,92,261,124,27,3859,0
65.37,87,1784,1260,60,76,92,260,124,27,3850,0
65.3,87,1776,1260,60,76,92,260,124,27,3839,0
65.35,87,1764,1258,60,76,92,259,123,26,3832,0
65.32,87,1756,1258,60,75,91,259,123,27,3820,0
65.37,87,1749,1257,59,75,91,259,123,26,3813,0
65.38,87,1742,1256,59,75,91,258,123,26,3806,0
65.42,87,1737,1255,59,75,91,258,122,26,3797,0
65.41,87,1732,1255,59,74,91,258,122,26,3788,0
65.28,86,1728,1254,59,74,90,258,122,26,3781,0
65.27,86,1724,1253,59,74,90,258,122,26,3774,0
65.3,86,1720,1252,59,74,90,257,122,26,3770,0
65.35,86,1717,1251,59,74,90,257,122,26,3764,0
65.35,86,1714,1252,58,74,90,257,122,26,3751,0
65.31,86,1712,1250,58,74,90,257,121,26,3748,0
65.31,86,1709,1249,58,73,91,257,121,26,3744,0
65.36,86,1708,1249,58,73,90,257,121,26,3737,0
65.41,86,1706,1249,58,73,89,257,121,26,3731,0
65.38,86,1704,1248,58,73,89,257,121,26,3727,0
65.37,86,1701,1247,58,73,89,256,121,26,3723,0
65.36,86,1701,1248,58,73,89,256,121,26,3715,0
65.4,86,1698,1246,58,73,89,256,121,26,3715,0
65.39,86,1697,1246,58,73,89,256,121,26,3710,0
65.37,86,1693,1246,58,73,89,256,121,26,3707,0
65.42,86,1695,1245,58,73,89,256,121,26,3705,0
65.44,86,1690,1244,58,73,89,256,121,26,3703,0
65.43,85,1691,1250,57,72,90,255,121,26,3674,0
65.4,86,1690,1243,58,72,89,256,120,26,3693,0
65.44,86,1690,1244,58,72,89,256,121,26,3690,0
65.47,86,1689,1244,58,72,89,256,121,26,3686,0
65.34,86,1689,1244,58,72,89,256,121,26,3682,0
65.38,86,1688,1244,57,72,89,256,121,26,3681,0
65.39,86,1686,1243,57,72,89,256,121,26,3677,0
65.34,86,1685,1243,57,72,88,256,120,26,3674,0
65.44,85,1685,1243,57,72,89,256,121,26,3672,0
65.41,86,1684,1242,57,72,88,255,120,26,3671,0
65.41,86,1683,1243,57,72,88,255,120,26,3669,0
65.41,85,1682,1242,57,72,89,255,120,26,3664,0
65.37,86,1681,1242,57,72,88,255,120,26,3662,0
65.35,85,1681,1242,57,72,88,255,120,26,3659,0
65.37,85,1680,1242,57,72,88,255,120,26,3658,0
65.39,85,1679,1241,57,72,89,255,120,26,3654,0
