Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.29,63,2093,1172,51,71,96,209,172,15,1562,0
65.23,63,2070,1171,50,71,95,209,170,15,1582,0
65.28,63,2052,1168,50,70,94,209,169,15,1595,0
65.36,62,2034,1164,49,70,94,208,168,15,1604,0
65.37,62,2027,1161,49,70,94,208,167,15,1613,0
65.33,62,2016,1159,49,69,93,208,167,15,1618,0
65.31,62,2005,1157,49,69,93,208,166,15,1623,0
65.33,62,1999,1156,49,69,93,208,166,15,1626,0
65.38,62,1991,1154,48,69,93,208,165,15,1630,0
65.36,62,1986,1153,48,69,92,208,165,15,1631,0
65.39,62,1981,1152,48,68,92,208,164,15,1634,0
65.3,61,1975,1150,48,68,92,207,164,15,1636,0
65.36,61,1972,1150,48,68,92,207,164,15,1637,0
65.31,61,1967,1149,48,68,92,207,164,15,1639,0
65.29,61,1965,1149,48,68,91,207,163,15,1640,0
65.31,61,1961,1148,47,68,91,207,163,15,1641,0
65.34,61,1959,1148,47,68,91,207,163,15,1642,0
65.33,61,1958,1148,47,68,91,207,163,15,1644,0
65.32,61,1955,1148,47,67,91,207,163,15,1645,0
65.32,61,1952,1147,47,67,91,207,163,15,1644,0
65.39,61,1953,1147,47,67,91,207,163,15,1646,0
65.4,61,1950,1147,47,67,91,207,163,15,1647,0
65.38,61,1949,1147,47,67,91,207,163,15,1647,0
65.41,61,1949,1147,47,67,91,207,163,15,1648,0
65.42,61,1948,1147,47,67,91,207,162,15,1648,0
65.38,61,1946,1147,47,67,91,207,162,15,1648,0
65.36,61,1946,1147,47,67,91,206,162,15,1648,0
65.39,61,1944,1147,47,67,91,207,162,15,1649,0
65.42,61,1944,1147,47,67,91,207,162,15,1650,0
65.34,61,1943,1147,47,67,90,206,162,15,1649,0
65.35,61,1942,1146,47,67,90,206,162,15,1650,0
65.33,61,1941,1146,47,67,90,206,162,15,1650,0
65.38,61,1941,1146,46,67,90,206,162,15,1650,0
65.38,60,1933,1146,46,66,90,205,162,14,1646,0
65.33,61,1938,1146,46,67,90,206,162,14,1649,0
65.3,61,1938,1147,46,67,90,206,162,14,1650,0
65.37,61,1937,1146,46,67,90,206,162,14,1650,0
65.38,61,1938,1146,46,66,90,206,162,14,1650,0
65.41,61,1938,1147,46,66,90,206,162,14,1651,0
65.32,61,1938,1146,46,66,90,206,162,14,1651,0
65.33,60,1930,1146,46,66,90,205,162,14,1647,0
65.35,61,1936,1147,46,66,90,206,162,14,1650,0
65.41,61,1936,1147,46,66,90,206,162,14,1651,0
65.43,61,1936,1147,46,66,90,206,162,14,1651,0
65.39,61,1935,1146,46,66,90,206,162,14,1651,0
