Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
65.27,61,1931,1158,50,69,92,207,161,15,1662,0
65.18,61,1904,1153,49,68,92,207,159,15,1666,0
65.26,61,1885,1148,49,67,91,206,157,15,1668,0
65.31,61,1871,1144,49,67,90,206,156,15,1670,0
65.41,60,1855,1141,48,67,90,205,155,15,1669,0
65.32,60,1843,1136,48,66,89,205,154,15,1668,0
65.31,60,1833,1133,48,66,89,204,153,15,1666,0
65.34,60,1824,1131,48,66,89,204,153,15,1664,0
65.3,59,1815,1128,48,65,89,204,152,15,1663,0
65.31,59,1810,1126,47,65,88,204,152,15,1662,0
65.32,59,1803,1125,47,65,88,203,151,15,1661,0
65.36,59,1798,1123,47,65,88,203,151,15,1660,0
65.4,59,1792,1120,47,65,88,203,151,15,1659,0
65.37,59,1787,1119,47,65,88,203,150,15,1658,0
65.37,59,1783,1118,47,64,88,203,150,15,1657,0
65.38,59,1780,1116,47,64,88,203,150,15,1656,0
65.37,59,1775,1115,47,64,87,202,149,15,1654,0
65.41,59,1773,1115,47,64,87,202,149,15,1654,0
65.33,59,1769,1114,46,64,87,202,149,15,1652,0
65.34,59,1767,1113,46,64,87,202,149,15,1651,0
65.36,59,1766,1113,46,64,87,202,149,14,1651,0
65.29,58,1762,1112,46,64,87,202,149,14,1649,0
65.37,58,1762,1112,46,64,87,202,148,14,1650,0
65.36,58,1760,1111,46,64,87,202,148,14,1649,0
65.3,58,1759,1110,46,63,87,202,148,14,1648,0
65.33,58,1757,1110,46,63,87,202,148,14,1647,0
65.36,58,1756,1109,46,63,87,202,148,14,1647,0
65.31,58,1754,1109,46,63,87,202,148,14,1646,0
65.31,58,1754,1108,46,63,87,202,148,14,1645,0
65.36,58,1752,1108,46,63,86,202,148,14,1645,0
65.38,58,1751,1107,46,63,86,201,148,14,1644,0
65.37,58,1750,1107,46,63,87,201,148,14,1644,0
65.34,58,1749,1106,46,63,86,201,147,14,1643,0
65.36,58,1748,1106,46,63,86,201,147,14,1642,0
65.39,58,1747,1106,45,63,86,201,147,14,1642,0
65.38,58,1748,1106,46,63,86,201,147,14,1642,0
65.36,58,1746,1105,45,63,86,201,147,14,1641,0
65.35,58,1746,1105,45,63,86,201,147,14,1641,0
65.37,58,1745,1104,45,63,86,201,147,14,1641,0
65.36,58,1746,1104,45,63,86,201,147,14,1640,0
65.4,58,1744,1104,45,63,86,201,147,14,1640,0
65.37,58,1746,1104,46,63,86,201,147,14,1640,0
65.38,58,1744,1103,45,62,86,201,147,14,1639,0
65.33,58,1743,1103,45,63,86,201,147,14,1638,0
65.42,58,1744,1103,45,62,86,201,147,14,1639,0
