Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
66.34,24,273,271,33,30,25,45,25,10,373,0
65.41,24,267,270,32,30,25,45,25,10,372,0
65.37,24,263,269,32,29,25,45,25,10,370,0
65.39,23,259,269,32,29,24,44,24,10,368,0
65.56,23,256,268,31,29,24,44,24,10,368,0
65.38,23,253,267,31,28,24,44,24,10,366,0
65.5,23,251,266,31,28,24,43,24,10,364,0
65.47,23,250,266,31,28,23,43,24,10,364,0
65.49,23,248,266,31,28,23,43,24,10,363,0
65.49,23,247,265,31,28,23,43,24,10,362,0
65.52,23,246,265,30,27,23,43,24,10,362,0
65.5,22,245,265,30,27,23,43,24,10,361,0
65.53,22,244,265,30,27,23,42,24,10,361,0
65.54,22,244,265,30,27,23,42,24,10,360,0
65.53,22,243,264,30,27,23,42,24,10,360,0
65.53,22,242,265,30,27,23,42,24,10,360,0
65.56,22,242,264,30,27,23,42,24,10,360,0
65.54,22,241,264,30,27,23,42,24,10,359,0
65.54,22,241,264,30,27,23,42,24,10,360,0
65.54,22,240,264,29,27,22,42,24,10,360,0
65.51,22,240,264,29,27,22,42,24,10,358,0
65.57,22,240,264,29,26,22,42,24,10,359,0
65.52,22,239,264,29,26,22,42,24,10,358,0
65.52,22,239,264,29,26,22,42,23,10,359,0
65.55,22,239,264,29,26,22,42,23,10,360,0
65.53,22,238,263,29,26,22,42,23,10,358,0
65.55,22,238,263,29,26,22,42,23,10,357,0
65.54,22,238,264,29,26,22,42,23,10,358,0
65.56,22,237,264,29,26,22,41,23,10,357,0
65.55,22,237,263,29,26,22,42,23,10,358,0
65.57,22,237,263,29,26,22,41,23,10,358,0
65.53,22,237,263,29,26,22,41,23,10,358,0
65.57,22,236,263,29,26,22,41,23,10,357,0
65.58,22,236,263,29,26,22,41,23,10,358,0
65.55,22,236,263,29,26,22,41,23,10,358,0
65.56,22,236,263,29,26,22,41,23,10,357,0
65.59,22,236,263,28,26,22,41,23,10,358,0
65.51,22,235,263,28,26,22,41,23,10,358,0
65.53,22,235,263,28,26,22,41,23,10,356,0
65.52,22,235,263,28,26,22,41,23,10,357,0
65.52,22,235,263,28,26,22,41,23,10,357,0
65.55,22,235,263,28,26,22,41,23,10,357,0
65.5,22,235,263,28,26,22,41,23,9,356,0
65.54,22,234,262,28,25,22,41,23,9,357,0
65.54,22,234,263,28,25,22,41,23,9,357,0
