Temp,415,445,480,515,555,590,630,680,NIR,CLR,DARK
66.44,25,269,252,35,34,27,49,23,10,392,0
65.4,24,264,251,34,34,27,49,23,10,392,0
65.45,24,263,253,34,34,27,49,23,10,400,0
65.46,24,260,254,33,33,26,49,23,10,407,0
65.56,24,258,255,33,34,26,49,23,10,413,0
65.51,24,257,256,33,33,26,49,23,10,414,0
65.51,23,254,256,33,33,26,48,23,10,415,0
65.51,23,250,254,33,33,26,48,22,10,407,0
65.52,23,248,254,32,33,26,48,22,10,411,0
65.53,23,249,256,32,33,25,48,22,10,413,0
65.55,23,247,256,32,33,25,48,22,10,414,0
65.53,23,247,256,32,33,25,48,22,10,415,0
65.52,23,248,258,32,33,26,48,22,10,422,0
65.54,23,245,257,32,32,25,47,22,10,419,0
65.58,23,245,257,32,32,25,48,22,10,418,0
65.53,23,244,258,32,32,25,48,22,10,422,0
65.58,23,244,259,32,32,25,48,22,10,430,0
65.55,23,243,259,32,32,25,47,22,10,429,0
65.58,23,242,259,32,32,25,47,22,10,442,0
65.61,23,241,259,32,32,25,47,22,10,442,0
65.6,23,241,260,32,32,25,48,22,10,446,0
65.59,23,240,260,31,32,25,47,22,10,441,0
65.57,23,240,260,31,32,25,47,22,10,447,0
65.57,23,240,260,31,32,25,48,22,10,452,0
65.6,23,239,261,31,32,25,47,22,10,456,0
65.59,23,240,261,31,32,25,48,22,10,460,0
65.59,23,245,264,31,32,25,48,22,10,466,0
65.62,23,237,260,31,32,25,47,22,10,457,0
65.62,23,236,261,31,32,25,47,22,10,459,0
65.64,23,237,261,31,32,25,47,22,10,457,0
65.53,23,239,263,31,32,25,48,22,10,468,0
65.58,23,237,261,31,32,25,47,22,10,464,0
65.57,23,238,262,31,32,25,47,22,10,471,0
65.6,23,237,262,31,31,25,47,22,10,465,0
65.58,23,238,262,31,32,25,47,22,10,465,0
65.63,23,238,262,31,32,25,47,22,10,468,0
65.58,23,238,263,31,32,25,48,22,10,473,0
65.59,23,237,263,31,31,25,47,22,10,474,0
65.55,23,239,263,31,31,25,47,22,10,474,0
65.55,23,238,263,31,31,24,47,22,10,481,0
65.59,23,239,264,31,31,25,48,22,10,475,0
65.6,23,238,264,31,31,25,47,22,10,473,0
65.58,23,239,265,31,31,25,48,22,10,479,0
65.6,23,236,264,31,31,24,47,22,10,482,0
65.6,23,236,264,31,31,24,47,22,10,473,0
